セクション,セクション_ja,項目,項目_ja,2026年モデル レンジローバー イヴォーク L SE,2026年モデル レンジローバー イヴォーク L HSE,2024年モデル レンジローバー イヴォーク L SE 光駆尊耀版,2024年モデル レンジローバー イヴォーク L HSE 凝光限定版
基本参数,基本仕様,发动机,エンジン,2.0T 249馬力 直列4気筒,2.0T 249馬力 直列4気筒,2.0T 249馬力 直列4気筒,2.0T 249馬力 直列4気筒
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4531×全幅1904×全高1650mm,全長4531×全幅1904×全高1650mm,全長4531×全幅1904×全高1650mm,全長4531×全幅1904×全高1650mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.2,8.2,8.2,8.2
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),229,229,229,229
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.98,8.98,8.98,8.98
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2000,2000,2000,2000
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2505,2505,2505,2505
车身,車体,长度(mm),全長(mm),4531,4531,4531,4531
车身,車体,宽度(mm),全幅(mm),1904,1904,1904,1904
车身,車体,高度(mm),全高(mm),1650,1650,1650,1650
车身,車体,轴距(mm),ホイールベース(mm),2841,2841,2841,2841
车身,車体,前轮距(mm),前トレッド(mm),1636,1636,1636,1636
车身,車体,后轮距(mm),後トレッド(mm),1642,1642,1642,1642
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),179,179,179,179
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),216,216,216,216
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),31,31,31,31
车身,車体,纵向通过角(°),縦方向通過角(°),20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),6.11,6.11,6.11,6.11
车身,車体,最大涉水深度(mm),最大渡河深度(mm),600,600,600,600
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
车身,車体,油箱容积(L),燃料タンク容量(L),67,67,67,67
车身,車体,后备厢容积(L),トランク容量(L),492-1256,492-1256,492-1256,492-1256
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,PT204（型式）,PT204（型式）,PT204（型式）,PT204（型式）
发动机,エンジン,排量(mL),排気量(mL),1997,1997,1997,1997
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,压缩比,圧縮比,10.5,10.5,10.5,10.5
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),249,249,249,249
发动机,エンジン,最大功率(kW),最大出力(kW),183,183,183,183
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),365,365,365,365
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1300-4500,1300-4500,1300-4500,1300-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),183,183,183,183
发动机,エンジン,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン対応,95オクタンガソリン対応,95オクタンガソリン対応,95オクタンガソリン対応
发动机,エンジン,供油方式,燃料供給方式,直噴エンジン,直噴エンジン,直噴エンジン,直噴エンジン
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,环保标准,環境基準,国6排ガス規制対応,国6排ガス規制対応,国6排ガス規制対応,国6排ガス規制対応
变速箱,トランスミッション,简称,略称,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,9,9,9,9
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 走行状況に応じた4WD切替式,● 走行状況に応じた4WD切替式,● 走行状況に応じた4WD切替式,● 走行状況に応じた4WD切替式
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,● 多板クラッチ式,● 多板クラッチ式,● 多板クラッチ式,● 多板クラッチ式
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/50 R20タイヤ,● 235/50 R20タイヤ,● 235/50 R20タイヤ,● 235/50 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/50 R20タイヤ,● 235/50 R20タイヤ,● 235/50 R20タイヤ,● 235/50 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない,● フルサイズスペアタイヤではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）,前席●／後席（エアバッグ）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,-,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,●,-,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー（雪道）モード","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー（雪道）モード","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー（雪道）モード","● スポーツ
● エコ
● 標準／コンフォート
● オフロード
● スノー（雪道）モード"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●
四驱/越野,四驱/越野,限滑差速器/差速锁,LSD/デフロック,● リアアクスルLSD（リミテッドスリップデフ）,● リアアクスルLSD（リミテッドスリップデフ）,● リアアクスルLSD（リミテッドスリップデフ）,● リアアクスルLSD（リミテッドスリップデフ）
四驱/越野,四驱/越野,涉水感应系统,渡河感知システム,-,●,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ,-,●,-,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個（数）,● 5個（数）,● 2個（数）,● 5個（数）
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個（数）,● 12個（数）,● 8個（数）,● 12個（数）
驾驶功能,運転機能,巡航系统,クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,-,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ渋滞情報表示,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,-,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,●,-,●
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル,● スポーツスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミホイール,● アルミホイール,● アルミホイール,● アルミホイール
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,スマートキーシステム,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LEDライト,● LEDライト,● LEDライト,● LEDライト
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ,● 開閉式パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感知式ワイパー,● 雨量感知式ワイパー,● 雨量感知式ワイパー,● 雨量感知式ワイパー
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩機能"
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,● タッチ式液晶ディスプレイ,● タッチ式液晶ディスプレイ,● タッチ式液晶ディスプレイ,● タッチ式液晶ディスプレイ
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,● 11.4インチ,● 11.4インチ,● 11.4インチ,● 11.4インチ
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,● CarPlay対応
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能","● マルチメディアシステム
● ナビゲーション
● 電話機能"
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,● InControl OS,● InControl OS,● InControl OS,● InControl OS
互联/智能化,互联/智能化,车联网,コネクテッドカー,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,-,-,-,-
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車両探索"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （2000元）,○ （2000元）,○ （2000元）,○ （2000元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 45W,● 45W,● 45W,● 45W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 本革,● 合成皮革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター付き,"● ヒーター付き
● ベンチレーション付き",● ヒーター付き,"● ヒーター付き
● ベンチレーション付き"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,"● 運転席
● 助手席",● 運転席,"● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,● ヒーター付き,-,● ヒーター付き
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● Meridian（英国製）,● Meridian（英国製）,● Meridian（英国製）,● Meridian（英国製）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 12スピーカー
○ 15スピーカー（2000元）",● 15スピーカー,"● 12スピーカー
○ 15スピーカー（2000元）",● 15スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 10色,● 10色,● 10色,● 10色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
选装包,オプションパッケージ,颜值控（曜黑运动装备）,デザイン重視（曜黒スポーツ装備）,○ オプション（4500元）,-,○ オプション（4500元）,-
