セクション,セクション_ja,項目,項目_ja,2026年モデル 240Max Huawei 乾崑 ADS SE版,2026年モデル 240Ultra Huawei 乾崑 ADS SE版,2026年モデル 550Max Huawei 乾崑 ADS SE版,2026年モデル 550Ultra Huawei 乾崑 ADS SE版,2026年モデル 660Max Huawei 乾崑 ADS SE版,2026年モデル 660Ultra Huawei 乾崑 ADS SE版,2025年モデル 230Max 深藍智駕 AD PRO 増程版,2025年モデル 530Max 深藍智駕 AD PRO 純電版,2025年モデル 230Ultra 深藍智駕 AD PRO 増程版,2025年モデル 530Ultra 深藍智駕 AD PRO 純電版,2025年モデル 300Max 深藍智駕 AD PRO 増程版,2025年モデル 300Ultra 深藍智駕 AD PRO 増程版,2025年モデル 230Ultra 乾崑智駕 ADS SE 増程版,2025年モデル 530Ultra 乾崑智駕 ADS SE 純電版,2025年モデル 300Ultra 乾崑智駕 ADS SE 増程版
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,1.5L 98馬力 L4,1.5L 98馬力 L4,-,-,-,-,1.5L 98馬力 L4,-,1.5L 98馬力 L4,-,1.5L 98馬力 L4,1.5L 98馬力 L4,1.5L 98馬力 L4,-,1.5L 98馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),238,238,272,272,272,272,218,252,218,252,258,258,218,252,258
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480,4875×1890×1480
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.4,7.4,6.2,6.2,6.6,6.6,7.5,6.2,7.5,6.2,6.8,6.8,7.5,6.2,6.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),185,185,180,180,180,180,175,170,175,170,175,175,175,170,175
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.71,0.71,-,-,-,-,0.73,-,0.73,-,0.75,0.75,0.73,-,0.75
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.40,4.40,-,-,-,-,4.70,-,4.70,-,4.78,4.78,4.70,-,4.78
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低荷電状態燃費(L/100km)NEDC,3.48,3.48,-,-,-,-,3.8,-,3.8,-,3.88,3.88,3.8,-,3.88
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,1.39,1.39,1.43,1.43,-,1.44,-,1.44,-,-,-,1.44,-
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃料消費量(L/100km),2.43,2.43,-,-,-,-,2.53,-,2.53,-,2.61,2.61,2.53,-,2.61
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1835,1835,1820,1820,1890,1890,1865,1825,1865,1825,1920,1920,1865,1825,1920
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2250,2250,2235,2235,2305,2305,2295,2270,2295,2270,2335,2335,2295,2270,2335
车身,車体,长度(mm),全長(mm),4875,4875,4875,4875,4875,4875,4875,4875,4875,4875,4875,4875,4875,4875,4875
车身,車体,宽度(mm),全幅(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
车身,車体,高度(mm),全高(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
车身,車体,轴距(mm),ホイールベース(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
车身,車体,前轮距(mm),前トレッド(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,車体,后轮距(mm),後トレッド(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.6,5.6,5.6,5.6,-,-,-,-,-,-,-,-,-
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),45,45,-,-,-,-,45,-,45,-,45,45,45,-,45
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,70,70,70,70,-,70,-,70,-,-,-,70,-
车身,車体,后备厢容积(L),リアトランク容量(L),473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215
发动机,エンジン,发动机型号,エンジン型式,JL469Q1,JL469Q1,-,-,-,-,JL469Q1,-,JL469Q1,-,JL469Q1,JL469Q1,JL469Q1,-,JL469Q1
发动机,エンジン,排量(mL),排気量(mL),1497,1497,-,-,-,-,1497,-,1497,-,1497,1497,1497,-,1497
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,-,-,-,1.5,-,1.5,-,1.5,1.5,1.5,-,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,-,-,-,-,自然吸気,-,自然吸気,-,自然吸気,自然吸気,自然吸気,-,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,-,-,-,-,横置き,-,横置き,-,横置き,横置き,横置き,-,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,-,-,-,L,-,L,-,L,L,L,-,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,-,-,-,4,-,4,-,4,4,4,-,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,-,-,-,4,-,4,-,4,4,4,-,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,-,-,-,-,DOHC,-,DOHC,-,DOHC,DOHC,DOHC,-,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),98,98,-,-,-,-,98,-,98,-,98,98,98,-,98
发动机,エンジン,最大功率(kW),最大出力(kW),72,72,-,-,-,-,72,-,72,-,72,72,72,-,72
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5600,5600,-,-,-,-,5600,-,5600,-,5600,5600,5600,-,5600
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),125,125,-,-,-,-,125,-,125,-,125,125,125,-,125
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3000,3000,-,-,-,-,3000,-,3000,-,3000,3000,3000,-,3000
发动机,エンジン,最大净功率(kW),最大正味出力(kW),70,70,-,-,-,-,70,-,70,-,70,70,70,-,70
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,レンジエクステンダー式,純電動,レンジエクステンダー式,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,-,-,-,-,レギュラーガソリン（92）,-,レギュラーガソリン（92）,-,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,-,レギュラーガソリン（92）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-,マルチポイント燃料噴射,-,マルチポイント燃料噴射,-,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,-,-,-,アルミ合金,-,アルミ合金,-,アルミ合金,アルミ合金,アルミ合金,-,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,-,-,-,アルミ合金,-,アルミ合金,-,アルミ合金,アルミ合金,アルミ合金,-,アルミ合金
发动机,エンジン,环保标准,環境基準,国6,国6,-,-,-,-,国6,-,国6,-,国6,国6,国6,-,国6
电动机,モーター,后电动机品牌,リアモーターブランド,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車
电动机,モーター,后电动机型号,リアモーター型式,XTDM67,XTDM67,XTDM67,XTDM67,XTDM67,XTDM67,XTDM16,XTDM33,XTDM16,XTDM33,XTDM16,XTDM16,XTDM16,XTDM33,XTDM16
电动机,モーター,电机类型,モーター種類,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),175,175,200,200,200,200,160,185,160,185,190,190,160,185,190
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),238,238,272,272,272,272,218,252,218,252,258,258,218,252,258
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),290,290,290,290,290,290,320,310,320,310,320,320,320,310,320
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),175,175,200,200,200,200,160,185,160,185,190,190,160,185,190
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),290,290,290,290,290,290,320,310,320,310,320,320,320,310,320
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電装初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー,金鐘罩バッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),175,175,-,-,-,-,170,-,170,-,220,220,170,-,220
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),240,240,550,550,660,660,230,530,230,530,300,300,230,530,300
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1500,1500,-,-,-,-,1330,-,1330,-,1400,1400,1330,-,1400
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),28.39,28.39,56.12,56.12,68.82,68.82,28.39,56.12,28.39,56.12,35.07,35.07,28.39,56.12,35.07
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),14.8,14.8,12,12,12.3,12.3,13.1,12.4,13.1,12.4,13.4,13.4,13.1,12.4,13.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側,車右後側
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),12,12,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱,トランスミッション,简称,略称,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機,電気自動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク,● ディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R18,● 245/45 R19,● 225/55 R18,● 245/45 R19,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R18,● 245/45 R19,● 225/55 R18,● 245/45 R19,● 225/55 R18,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
