セクション,項目,eπ007 2026款 007+ 增程 308 Ultra+激光雷达版,eπ007 2026款 007+ 纯电 650 Ultra+激光雷达版,eπ007 2026款 纯电 610闪现版,eπ007 2026款 007+ 纯电 565 Ultra+四驱激光雷达版,eπ007 2025款 增程 230Max巡航版,eπ007 2025款 纯电 550Air巡航版,eπ007 2025款 纯电 550Max巡航版,eπ007 2025款 纯电 550行政版,eπ007 2025款 纯电 650Max巡航版,eπ007 2025款 纯电 650行政版
车身,后备厢容积(L),420-1020,490-1090,452-1026,490-1090,452-1026,452-1026,452-1026,452-1026,452-1026,452-1026
车身,风阻系数(Cd),0.209,0.209,-,0.209,0.209,0.209,0.209,0.209,0.209,0.209
发动机,发动机型号,DFMC15DE,-,-,-,DFMC15DE,-,-,-,-,-
发动机,排量(mL),1497,-,-,-,1497,-,-,-,-,-
发动机,排量(L),1.5,-,-,-,1.5,-,-,-,-,-
发动机,进气形式,自然吸气,-,-,-,自然吸气,-,-,-,-,-
发动机,发动机布局,横置,-,-,-,横置,-,-,-,-,-
发动机,气缸排列形式,L,-,-,-,L,-,-,-,-,-
发动机,气缸数(个),4,-,-,-,4,-,-,-,-,-
发动机,每缸气门数(个),4,-,-,-,4,-,-,-,-,-
发动机,配气机构,DOHC,-,-,-,DOHC,-,-,-,-,-
发动机,最大马力(Ps),105,-,-,-,105,-,-,-,-,-
发动机,最大功率(kW),77,-,-,-,77,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),137,-,-,-,137,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),74,-,-,-,74,-,-,-,-,-
发动机,能源类型,增程式,纯电动,纯电动,纯电动,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,-,-,-,92号,-,-,-,-,-
发动机,供油方式,直喷,-,-,-,直喷,-,-,-,-,-
发动机,缸盖材料,铝合金,-,-,-,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,-,-,-,铝合金,-,-,-,-,-
发动机,环保标准,国VI,-,-,-,国VI,-,-,-,-,-
电动机,前电动机品牌,-,-,-,智新科技,-,-,-,-,-,-
电动机,后电动机品牌,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技
电动机,前电动机型号,-,-,-,TZ200XS3F1,-,-,-,-,-,-
电动机,后电动机型号,TZ200XS3F0,TZ200XS3F1,TZ200XS3F1,TZ200XS3F1,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ200XS3F1,TZ200XS3F1
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),160,200,200,400,160,160,160,160,200,200
电动机,电动机总马力(Ps),218,272,272,544,218,218,218,218,272,272
电动机,电动机总扭矩(N·m),310,310,310,620,310,310,310,310,310,310
电动机,前电动机最大功率(kW),-,-,-,200,-,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),-,-,-,310,-,-,-,-,-,-
电动机,后电动机最大功率(kW),160,200,200,200,160,160,160,160,200,200
电动机,后电动机最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310
电动机,驱动电机数,单电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,前置+后置,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟,● 东昱欣晟
电池/充电,电池特有技术,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),225,-,-,-,170,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),308,650,610,565,230,550,550,550,650,650
电池/充电,CLTC综合续航(km),1308,-,-,-,1230,-,-,-,-,-
电池/充电,电池能量(kWh),35.03,73.5,73.5,73.5,28.4,58.4,58.4,58.4,73.5,73.5
电池/充电,百公里耗电量(kWh/100km),16.7,12.6,13.6,15.2,12.8,11.9,11.9,11.9,12.6,12.6
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),144,245,245,245,116,188,188,188,245,245
电池/充电,电池快充时间(小时),0.2,0.27,0.27,0.27,0.2,0.27,0.27,0.27,0.27,0.27
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车左后侧,车左后侧,车左后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车右后侧,车左后侧,车左后侧,车左后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,四驱形式,-,-,-,● 电动四驱,-,-,-,-,-,-
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 235/50 R18,● 245/45 R19,● 235/50 R18,● 245/45 R19,● 235/50 R18
车轮制动,后轮胎规格,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 245/45 R19,● 235/50 R18,● 245/45 R19,● 235/50 R18,● 245/45 R19,● 235/50 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 前排,● 全车,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,●,●,●,-,●,-,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,-,●,-,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,-,●,-,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,● 悬架软硬调节,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 地平线征程J6M,● 地平线征程J6M,-,● 地平线征程J6M,-,-,-,-,-,-
驾驶硬件,芯片总算力,● 128 TOPS,● 128 TOPS,-,● 128 TOPS,-,-,-,-,-,-
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 单目,● 双目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 11个,● 11个,● 10个,● 11个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,-,● 800万,-,-,-,-,-,-
驾驶硬件,环境感知摄像头像素,● 250万,● 250万,-,● 250万,-,-,-,-,-,-
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 100万,● 300万,● 100万,● 100万,● 100万,● 100万,● 100万,● 100万
驾驶硬件,车内摄像头数量,● 2个,● 2个,● 1个,● 2个,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 6个,● 4个,● 6个,● 4个,● 6个,● 6个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 5个,● 1个,● 2个,-,● 2个,-,● 2个,-
驾驶硬件,激光雷达品牌,● HESAI禾赛科技,● HESAI禾赛科技,-,● HESAI禾赛科技,-,-,-,-,-,-
驾驶硬件,激光雷达型号,● ATX,● ATX,-,● ATX,-,-,-,-,-,-
驾驶硬件,激光雷达数量,● 1个,● 1个,-,● 1个,-,-,-,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot,● eπ Pilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,-,●,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,-,-,●,-,-,-,-,-,-,-
驾驶功能,并线辅助,●,●,●,●,●,-,●,-,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,-,-,-,-,-,-
驾驶功能,遥控泊车,●,●,●,●,-,-,-,-,-,-
驾驶功能,记忆泊车,●,●,●,●,-,-,-,-,-,-
驾驶功能,循迹倒车,●,●,●,●,-,-,-,-,-,-
驾驶功能,辅助变道,●,●,●,●,-,-,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,-,-,-,-,-,-
驾驶功能,信号灯识别,●,●,-,●,-,-,-,-,-,-
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段",● 高速路段,"● 城市路段
● 高速路段",-,-,-,-,-,-
外观/防盗,电动扰流板,●,●,-,●,●,-,●,-,●,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,-,●,-,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,-,●,-,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,-,●,-,●,-,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,-,●,-,●,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,●,●,-,●,●,●,●
车外灯光,辅助驾驶灯,●,●,-,●,-,-,-,-,-,-
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,中控液晶屏分屏显示,●,●,-,●,-,-,-,-,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink"
