セクション,項目,奥迪Q6 2026款 40 TFSI quattro 纪念版 羽林套装 7座,奥迪Q6 2026款 45 TFSI quattro 齐云型 羽林套装 6座,奥迪Q6 2026款 45 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2026款 50 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2025款 40 TFSI quattro 纪念版 羽林套装 7座,奥迪Q6 2025款 45 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2025款 50 TFSI quattro 黑武士版 飞骑套装 6座,奥迪Q6 2024款 45 TFSI quattro 齐云型 羽林套装 6座
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),231,265,265,299,231,265,299,265
发动机,最大功率(kW),170,195,195,220,170,195,220,195
发动机,最大功率转速(rpm),5000-6500,5250-6500,5250-6500,6000,5000-6500,5250-6500,6000,5250-6500
发动机,最大扭矩(N·m),370,400,400,500,370,400,500,400
发动机,最大扭矩转速(rpm),1600-4300,1750-4300,1750-4300,2750-3500,1600-4300,1750-4300,2750-3500,1750-4300
发动机,最大净功率(kW),170,195,195,220,170,195,220,195
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铸铁,铸铁,铸铁,未知,铸铁,铸铁,未知,铸铁
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱,● 适时四驱
底盘转向,中央差速器结构,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器,● 多片离合器
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/50 R20
○ 265/45 R21 (6000元)","● 255/50 R20
○ 265/45 R21 (10000元)",● 265/45 R21,● 265/45 R21,"● 255/50 R20
○ 265/45 R21 (6000元)",● 265/45 R21,● 265/45 R21,"● 255/50 R20
○ 265/45 R21 (10000元)"
车轮制动,后轮胎规格,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21",● 265/45 R21,● 265/45 R21,"● 255/50 R20
○ 265/45 R21",● 265/45 R21,● 265/45 R21,"● 255/50 R20
○ 265/45 R21"
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,-,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,被动行人保护,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,●,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像",● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目,-
驾驶硬件,摄像头数量,● 2个,● 5个,● 5个,● 5个,"● 2个
○ 5个",● 5个,● 5个,-
驾驶硬件,超声波雷达数量,● 8个,● 12个,● 12个,● 12个,"● 8个
○ 12个",● 12个,● 12个,-
驾驶功能,巡航系统,● 全速自适应巡航,"● 定速巡航
○ 全速自适应巡航",● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,"● 定速巡航
○ 全速自适应巡航"
驾驶功能,辅助驾驶等级,● L2,○ L2,● L2,● L2,● L2,● L2,● L2,○ L2
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,○,●,●,●,●,●,○
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,○,●,●,●,○,●,●,●
外观/防盗,外观套件,-,-,● 运动风格,● 运动风格,-,● 运动风格,● 运动风格,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,○ (1200元),●,●,●,○ (1200元),●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,转向头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯清洗装置,-,-,-,-,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
○ 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
○ 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,○ 手动 (3000元),● 手动,● 手动,● 手动,○ 手动 (3000元),● 手动,● 手动,● 手动
天窗/玻璃,后排侧隐私玻璃,○ (2000元),●,●,●,○ (2000元),●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,● 10.1英寸
互联/智能化,中控下屏幕尺寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸,● 8.6英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,车载智能系统,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect,● 奥迪Connect
互联/智能化,触屏振动反馈,●,●,●,●,●,●,●,●
互联/智能化,车联网,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,-,-,-,-,-,-,-,-
互联/智能化,V2X通讯,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,●,●,●,-,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,○ (1.20万元),○ (1.20万元),●,●,○ (1.20万元),●,●,○ (1.20万元)
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个
车内充电,手机无线充电功能,○ 前排 (1500元),● 前排,● 前排,● 前排,○ 前排 (1500元),● 前排,● 前排,● 前排
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,运动风格座椅,-,-,●,●,-,●,●,-
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,○ 加热,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",○ 加热,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,○ 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,○ 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,●,●,●,-,●,●,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部调节","● 前后调节
● 靠背调节
● 腰部调节","● 前后调节
● 靠背调节
● 腰部调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部调节","● 前后调节
● 靠背调节
● 腰部调节","● 前后调节
● 靠背调节
● 腰部调节"
座椅配置,第二排座椅电动调节,-,●,●,●,-,●,●,●
座椅配置,第二排座椅功能,-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,第二排独立座椅,-,●,●,●,-,●,●,●
座椅配置,座椅布局,● 2-3-2,● 2-2-2,● 2-2-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-2-2,● 2-2-2
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ Bang & Olufsen,○ Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,○ Bang & Olufsen,● Bang & Olufsen,● Bang & Olufsen,○ Bang & Olufsen
音响/车内灯光,扬声器数量,"● 10喇叭
○ 14喇叭 (1.20万元)","● 10喇叭
○ 14喇叭 (1.20万元)",● 14喇叭,● 14喇叭,"● 10喇叭
○ 14喇叭 (1.20万元)",● 14喇叭,● 14喇叭,"● 10喇叭
○ 14喇叭 (1.20万元)"
音响/车内灯光,车内环境氛围灯,● 单色,● 30色,● 30色,● 30色,● 单色,● 30色,● 30色,● 30色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,●,●,●,-,●,●,●
空调/冰箱,空气质量监测,-,-,●,●,-,●,●,-
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,Audi AI Pro领航套装,-,○ 选配 (10000元),-,-,-,-,-,○ 选配 (10000元)
选装包,六座前排尊享套装,-,-,-,-,-,-,-,○ 选配 (8000元)
