セクション,セクション_ja,項目,項目_ja,2026年モデル Ultra,2026年モデル Livis,Unnamed 4
发动机,エンジン,最大净功率(kW),最大出力(kW),112,112,–
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,–
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,–
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,–
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,–
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,–
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,–
电动机,モーター,前电动机型号,前モーター型式,DY63YS210HX1,DY63YS210HX1,–
电动机,モーター,后电动机型号,後モーター型式,QT63TZ220112,QT63TZ220112,–
电动机,モーター,电机类型,モーター種類,前：感応式/非同期 後：永磁式/同期,前：感応式/非同期 後：永磁式/同期,–
电动机,モーター,电动机总功率(kW),モーター総出力(kW),420,420,–
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),571,571,–
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),710,710,–
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),145,145,–
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),265,265,–
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),275,275,–
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),445,445,–
电动机,モーター,系统综合功率(kW),システム総合出力(kW),420,420,–
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),571,571,–
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),710,710,–
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,–
电动机,モーター,电机布局,モーター配置,前後配置,前後配置,–
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,–
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● 三元系リチウム電池,● 三元系リチウム電池,–
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● CATL（寧徳時代・江蘇時代）製,● CATL（寧徳時代・江蘇時代）製,–
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,–
电池/充电,バッテリー／充電,WLTC纯电续航里程(km),WLTC航続距離(km),350,350,–
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),420,420,–
电池/充电,バッテリー／充電,WLTC综合续航(km),WLTC総合航続距離(km),1370,1370,–
电池/充电,バッテリー／充電,CLTC综合续航(km),CLTC総合航続距離(km),1650,1650,–
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),72.7,72.7,–
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),22.8,22.8,–
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,–
电池/充电,バッテリー／充電,高压快充,高圧急速充電,対応,対応,–
电池/充电,バッテリー／充電,高压平台（V）,高圧プラットフォーム(V),800,800,–
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.17,–
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,–
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,–
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,–
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),3.5,3.5,–
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,–
变速箱,トランスミッション,挡位个数,段数,1,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,–
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立懸架,● 5リンク独立懸架,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電子制御電動パワーステアリング,● 電子制御電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,–
底盘转向,シャシー・ステアリング,线控智能底盘,ワイヤ制御インテリジェントシャシー,● ワイヤ制御ステアリング,"● ワイヤ制御ブレーキ
● ワイヤ制御ステアリング
● アクティブサスペンション",–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 285/45 R21
○ 285/40 R22（10,000元）",● 285/40 R22タイヤ,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 285/45 R21
○ 285/40 R22",● 285/40 R22タイヤ,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●（エアバッグ）,運転席●／助手席●（エアバッグ）,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,–
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,–
被动安全,衝突安全,后排座椅防下滑气囊,後部座席滑り止めエアバッグ,●,●,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両対応,● 全車両対応,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,–
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,–
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,–
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,–
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,–
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ",–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,–
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,–
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",–
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,–
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,● デュアルチャンバー（マフラー）,● シングルチャンバー,–
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,●,●,–
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,●,●,–
驾驶操控,ドライビングコントロール,后轮转向角度(°),後輪操舵角度(°),● ±7,● ±7,–
驾驶操控,ドライビングコントロール,拖挂模式,トレーラーモード,○,○,–
四驱/越野,四驱/越野,拖挂钩,トレーラーフック,"○ 電動（6,000元）","○ 電動（6,000元）",–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマビュー
● サイドブラインドビューカメラ","● 360度パノラマビュー
● サイドブラインドビューカメラ",–
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,–
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● マッハM100,● マッハM100×2個,–
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 1280 TOPS,● 2560 TOPS,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,–
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,–
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 800万画素,● 800万画素,–
驾驶硬件,運転ハードウェア,环视摄像头像素,全方位カメラ画素数,● 300万画素,● 300万画素,–
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,–
驾驶硬件,運転ハードウェア,UWB高精度雷达,UWB高精度レーダー,● 10個,● 10個,–
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 1個,● 1個,–
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HESAI（禾赛科技）,● HESAI（禾赛科技）,–
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型番,● ATL-P,● ATL-P,–
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 1個,● 4個,–
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● マッハインテリジェント運転支援,● マッハインテリジェント運転支援,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,–
驾驶功能,運転機能,高精定位,高精度測位,●,●,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,–
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,–
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,–
驾驶功能,運転機能,记忆泊车,メモリーパーク,●,●,–
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,–
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,–
驾驶功能,運転機能,信号灯识别,信号認識,●,●,–
驾驶功能,運転機能,远程召唤,リモートサモン,●,●,–
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,–
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,–
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間",–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車両対応,● 全車両対応,–
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,-,●,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,–
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,–
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● 機械キー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● 機械キー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー",–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車両対応,● 全車両対応,–
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,–
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,"○ 電動（10,000元）","○ 電動（10,000元）",–
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,–
外观/防盗,エクステリア・盗難防止,对外放电,外部放電対応,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,–
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,–
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ウインドウワンタッチ昇降機能,● 全車両対応,● 全車両対応,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,–
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,"● 前席
● 後席","● 前席
● 後席",–
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後部側窓サンシェード,● 電動,● 電動,–
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,–
天窗/玻璃,サンルーフ・ガラス,后排调光隐私玻璃,後部調光プライバシーガラス,"○ （10,000元）","○ （10,000元）",–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯
● 後席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯
● 後席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,● 雨量感知式,● 雨量感知式,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目",–
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 29インチ,● 29インチ,–
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 6K,● 6K,–
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,–
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,-,–
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウィンドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ",–
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● Li Xiang同学（音声アシスタント）,● Li Xiang同学（音声アシスタント）,–
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,–
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,–
互联/智能化,コネクティビティ／スマート機能,语音连续识别,音声連続認識,●,●,–
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,–
互联/智能化,コネクティビティ／スマート機能,手势控制,ジェスチャー操作,●,●,–
互联/智能化,コネクティビティ／スマート機能,声纹识别,声紋認証,●,●,–
互联/智能化,コネクティビティ／スマート機能,车外语音交互,車外音声インタラクション,●,●,–
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,–
互联/智能化,コネクティビティ／スマート機能,车机智能芯片,車載インテリジェントチップ,● Qualcomm Snapdragon 8797 Max,● Qualcomm Snapdragon 8797 Elite,–
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕,後席液晶ディスプレイ,●,●,–
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕尺寸,後席液晶ディスプレイサイズ,● 21インチ,● 21インチ,–
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕分辨率,後席液晶ディスプレイ解像度,● 4K,● 4K,–
互联/智能化,コネクティビティ／スマート機能,后排多媒体屏幕数量,後席マルチメディアディスプレイ数,● 1個,● 1個,–
互联/智能化,コネクティビティ／スマート機能,后排控制多媒体,後席マルチメディア操作,●,●,–
互联/智能化,コネクティビティ／スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 32,● 48,–
互联/智能化,コネクティビティ／スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,–
互联/智能化,コネクティビティ／スマート機能,多指飞屏操控,マルチタッチ画面操作,●,●,–
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,–
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,–
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,–
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,–
互联/智能化,コネクティビティ／スマート機能,车内生物监测系统,車内バイオモニタリングシステム,●,●,–
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● ウィンドウコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約",–
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,–
互联/智能化,コネクティビティ／スマート機能,车载KTV,車載カラオケ機能,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式セレクターレバー,● 電子式セレクターレバー,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングメディア","● 自動防眩目
● ストリーミングメディア",–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,–
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 67W,● 67W,–
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,–
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,–
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,●,●,–
