セクション,セクション_ja,項目,項目_ja,2026年モデル 9X 2.0T 自動2WD 豪華型,2026年モデル 9X 2.0T 自動2WD 尊貴型,2026年モデル 9X 2.0T 自動2WD 先導型,2026年モデル 2.0T デュアルクラッチ2WD 快適版,2026年モデル 2.0T デュアルクラッチ2WD 豪華版,2026年モデル 2.0T 自動2WD 輝享版,2026年モデル 2.0T 自動4WD 至高版,2026年モデル 2.0T 自動4WD 旗艦版,2025年モデル 2.0T デュアルクラッチ2WD 快適版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 快適版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 5人乗り,2025年モデル 2.0T デュアルクラッチ2WD 豪華版 7人乗り,2025年モデル 2.0T 自動2WD 尊享版 5人乗り,2025年モデル 2.0T 自動2WD 尊享版 7人乗り,2025年モデル 2.0T 自動4WD 至高版 5人乗り,2025年モデル 2.0T 自動4WD 至高版 7人乗り,2025年モデル 2.0T 自動4WD 旗艦版 5人乗り,2025年モデル 2.0T 自動4WD 旗艦版 7人乗り,2025年モデル 2.0T デュアルクラッチ2WD ブラックウォリアー版 5人乗り,2027年モデル 2.0T 自動4WD上級グレード
车身,車体,长度(mm),全長(mm),4817,4817,4817,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4853
车身,車体,宽度(mm),全幅(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,車体,高度(mm),全高(mm),1729,1729,1729,1699,1699,1699,1699,1699,1699,1710,1699,1710,1699,1710,1699,1710,1699,1710,1699,1718
车身,車体,轴距(mm),ホイールベース(mm),2770,2770,2770,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
车身,車体,前轮距(mm),前トレッド(mm),1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638
车身,車体,后轮距(mm),後トレッド(mm),1638,1638,1638,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
车身,車体,接近角(°),アプローチアングル(°),18,18,18,19,19,19,19,19,19,20,19,20,19,20,19,20,19,20,19,19
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,18,18,18,18,18,18,17,18,17,18,17,18,17,18,17,18,19
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),"● 5人乗り
○ 7人乗り（4000元）","● 5人乗り
○ 7人乗り（4000元）","● 5人乗り
○ 7人乗り（6000元）","● 5人乗り
○ 7人乗り","● 5人乗り
○ 7人乗り","● 5人乗り
○ 7人乗り","● 5人乗り
○ 7人乗り","● 5人乗り
○ 7人乗り",● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,"● 5人乗り
○ 7人乗り"
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,-
车身,車体,后备厢容积(L),トランク容量(L),2065,2065,2065,717-2021,717-2021,717-2021,717-2021,717-2021,717-2021,200-2021,717-2021,200-2021,717-2021,200-2021,717-2021,200-2021,717-2021,200-2021,717-2021,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C,SQRF4J20C
发动机,エンジン,排量(mL),排気量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),254,254,254,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
发动机,エンジン,最大功率(kW),最大出力(kW),187,187,187,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),390,390,390,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),180,180,180,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92）,レギュラーガソリン（92）,レギュラーガソリン（92）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）,ハイオクガソリン（95）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,8速AT,8速AT,8速AT,7速湿式DCT,7速湿式DCT,8速AT,8速AT,8速AT,7速湿式DCT,7速湿式DCT,7速湿式DCT,7速湿式DCT,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT,7速湿式DCT,8速AT
变速箱,トランスミッション,挡位个数,段数,8,8,8,7,7,8,8,8,7,7,7,7,8,8,8,8,8,8,7,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,湿式DCT,湿式DCT,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,湿式DCT,湿式DCT,湿式DCT,湿式DCT,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,自動変速機（AT）,湿式DCT,自動変速機（AT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置前輪駆動,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,-,-,● 走行状況対応型4WD,● 走行状況対応型4WD,-,-,-,-,-,-,● 走行状況対応型4WD,● 走行状況対応型4WD,● 走行状況対応型4WD,● 走行状況対応型4WD,-,● 走行状況対応型4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,-,-,-,-,-,-,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架,● マクファーソン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 235/55 R19
○ 245/50 R20（3000元）",● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 235/55 R19
○ 245/50 R20",● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20,● 245/50 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● 底部装着式,● トランク内,● 底部装着式,● トランク内,● 底部装着式,● トランク内,● 底部装着式,● トランク内,● 底部装着式,● トランク内,● トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席●,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席●,前席●／後席●,前席●／後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,-
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,-,-,● 運転席膝部エアバッグ,-,-,-,-,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
