セクション,項目,岚图梦想家 2027款 PHEV 冠军版,岚图梦想家 2026款 PHEV 鲲鹏Pro,岚图梦想家 2026款 PHEV 鲲鹏Max,岚图梦想家 2026款 PHEV 乾崑Pro,岚图梦想家 2026款 PHEV 乾崑Max,岚图梦想家 2026款 PHEV 乾崑Ultra,岚图梦想家 2026款 PHEV 典藏版,岚图梦想家 2026款 PHEV 山河四座版,岚图梦想家 2026款 EV 鲲鹏Max,岚图梦想家 2026款 EV 乾崑Max,岚图梦想家 2026款 EV 乾崑Ultra,岚图梦想家 2025款 PHEV 四驱卓越鲲鹏版,岚图梦想家 2025款 PHEV 四驱卓越乾崑版,岚图梦想家 2025款 PHEV 四驱尊贵鲲鹏版,岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,岚图梦想家 2025款 PHEV 超长续航世纪版,岚图梦想家 2025款 领航系列 PHEV 超长续航 舒享版,岚图梦想家 2025款 领航系列 PHEV 超长续航 尊享版,岚图梦想家 2025款 EV 长续航世纪版,岚图梦想家 2025款 EV 四驱卓越鲲鹏版,岚图梦想家 2025款 EV 四驱卓越乾崑版,岚图梦想家 2025款 领航系列 EV 超长续航 豪华版,岚图梦想家 2025款 领航系列 EV 超长续航 舒享版,岚图梦想家 2024款 PHEV 超长续航卓越版,岚图梦想家 2024款 PHEV 超长续航尊贵版,岚图梦想家 2024款 EV 长续航卓越版,岚图梦想家 2024款 EV 长续航尊贵版,岚图梦想家 2024款 EV 超长续航卓越版,岚图梦想家 2024款 EV 超长续航尊贵版,岚图梦想家 2024款 EV 超长续航旗舰版,岚图梦想家 2026款 梦想家9 EV 基本型,岚图梦想家 2026款 梦想家9 PHEV 基本型
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门4座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,纯电动,纯电动,纯电动,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,纯电动,纯电动,纯电动,纯电动,纯电动,1.5T 150马力 L4,1.5T 150马力 L4,纯电动,纯电动,纯电动,纯电动,纯电动,-,1.5T 150马力 L4
基本参数,电动机(Ps),503,503,517,503,517,517,517,517,551,551,551,422,422,422,422,286,422,422,292,435,435,435,435,422,422,435,435,435,435,435,646,612
基本参数,长*宽*高(mm),5315*1998*1820,5315*1985*1820,5315*1985*1820,5315*1998*1820,5315*1998*1820,5315*1998*1800,5315*1998*1800,5315*1998*1800,5315*1985*1820,5315*1985*1820,5315*1998*1800,5315*1985*1820,5315*1998*1820,5315*1985*1820,5315*1985*1800,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1998*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1800,5325*1998*1805,5325*1998*1805
基本参数,官方0-100km/h加速(s),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,9.1,5.9,5.9,8.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.8,5.9,5.9,5.9,-,-
基本参数,官方100-0km/h制动(m),35.79,-,-,-,-,-,-,-,-,-,-,35.79,35.79,35.79,35.79,-,-,-,-,35.79,35.79,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),203,203,200,203,200,200,200,200,200,200,200,203,203,203,203,180,203,203,180,200,200,200,200,203,203,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),0.56,0.56,0.34,0.56,0.34,0.34,0.34,-,-,-,-,0.65,0.65,0.65,0.65,0.54,0.65,0.65,-,-,-,-,-,0.65,0.65,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.90,6.90,6.6,6.90,6.6,6.6,6.6,-,-,-,-,6.90,6.90,6.90,6.90,6.30,6.9,6.9,-,-,-,-,-,6.9,6.9,-,-,-,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,5.41,5.41,5.26,5.41,5.26,5.26,5.26,5.72,-,-,-,5.42,5.42,5.42,5.42,5.12,5.36,5.36,-,-,-,-,-,5.36,5.36,-,-,-,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,-,-,-,-,1.97,1.97,1.97,3.08,3.08,3.08,3.08,-,-,-,1.95,2.05,2.05,-,-,-,-,-,-,-,-,-,-,-
基本参数,油电综合燃料消耗量(L/100km),3.02,3.02,2.77,3.02,2.77,2.77,2.77,-,-,-,-,-,-,-,-,2.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,-,-
基本参数,首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-
基本参数,整备质量(kg),2740,2740,2780,2740,2780,2780,2780,2950,2735,2735,2735,2642,2642,2642,2642,2558,2590,2590,2480,2682,2682,2645,2645,2590,2590,2620,2620,2645,2645,2645,3020,2919
基本参数,最大满载质量(kg),3265,3265,3305,3265,3305,3305,3305,-,3260,3260,3260,3177,3177,3177,3177,3083,3125,3125,3015,3217,3217,3180,3180,3125,3125,3155,3155,3180,3180,3180,3545,3444
车身,长度(mm),5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5325,5325
车身,宽度(mm),1998,1985,1985,1998,1998,1998,1998,1998,1985,1985,1998,1985,1998,1985,1985,1985,1985,1985,1985,1985,1998,1985,1985,1985,1985,1985,1985,1985,1985,1985,1998,1998
车身,高度(mm),1820,1820,1820,1820,1820,1800,1800,1800,1820,1820,1800,1820,1820,1820,1800,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1800,1805,1805
车身,轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
车身,前轮距(mm),1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1709,1709
车身,后轮距(mm),1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1707,1707
车身,满载最小离地间隙(mm),133,-,-,-,-,-,-,-,-,-,-,133,133,133,133,-,133,133,-,133,133,133,133,133,133,133,133,133,133,133,-,-
车身,空载最小离地间隙(mm),150,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,133,133,150,150,150,150,133,133,133,-,-
车身,接近角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,-,-,13,13,14,14,14,14,13,13,13,13,13
车身,离去角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,-,-,16,16,17,17,17,17,16,16,16,16,16
车身,最大爬坡度(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,-,-,-,30,30,30,30,30,30,30,30,30,-,-
车身,最小转弯半径(m),6.4,-,-,-,-,-,-,-,-,-,-,6.4,6.4,6.4,6.4,-,6.4,6.4,-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,-,-
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 4,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),65,65,65,65,65,65,65,65,-,-,-,65,65,65,65,65,51,51,-,-,-,-,-,51,51,-,-,-,-,-,-,-
车身,前备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,40,-,-,40,40,40,40,40,-,-
车身,后备厢容积(L),348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,652,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,427-2680,427-2680,348-2700,348-2700,348-2700,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,-,-,-,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TDE3,DFMC15TDE3,-,-,-,-,-,DFMC15TE3,DFMC15TE3,-,-,-,-,-,-,DFMC15TE3
发动机,排量(mL),1497,1497,1497,1497,1497,1497,1497,1497,-,-,-,1497,1497,1497,1497,1497,1497,1497,-,-,-,-,-,1497,1497,-,-,-,-,-,-,1497
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,-,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,涡轮增压,涡轮增压,-,-,-,-,-,-,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,-,-,-,横置,横置,横置,横置,横置,横置,横置,-,-,-,-,-,横置,横置,-,-,-,-,-,-,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,-,-,-,L,L,L,L,L,L,L,-,-,-,-,-,L,L,-,-,-,-,-,-,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,-,-,-,4,4,4,4,4,4,4,-,-,-,-,-,4,4,-,-,-,-,-,-,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,-,-,-,4,4,4,4,4,4,4,-,-,-,-,-,4,4,-,-,-,-,-,-,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,DOHC,DOHC,-,-,-,-,-,-,DOHC
发动机,最大马力(Ps),150,150,150,150,150,150,150,150,-,-,-,150,150,150,150,150,150,150,-,-,-,-,-,150,150,-,-,-,-,-,-,150
发动机,最大功率(kW),110,110,110,110,110,110,110,110,-,-,-,110,110,110,110,110,110,110,-,-,-,-,-,110,110,-,-,-,-,-,-,110
发动机,最大功率转速(rpm),4500,4500,4500,4500,4500,4500,4500,4500,-,-,-,4500,4500,4500,4500,4500,4500,4500,-,-,-,-,-,4500,4500,-,-,-,-,-,-,4500
发动机,最大扭矩(N·m),220,220,220,220,220,220,220,220,-,-,-,220,220,220,220,220,220,220,-,-,-,-,-,220,220,-,-,-,-,-,-,220
发动机,最大扭矩转速(rpm),2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,-,-,-,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,-,-,-,-,-,2000-4500,2000-4500,-,-,-,-,-,-,2000-4500
发动机,最大净功率(kW),105,105,105,105,105,105,105,105,-,-,-,105,105,105,105,105,105,105,-,-,-,-,-,105,105,-,-,-,-,-,-,105
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,-,-,-,95号,95号,95号,95号,95号,95号,95号,-,-,-,-,-,95号,95号,-,-,-,-,-,-,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,-,-,-,直喷,直喷,直喷,直喷,直喷,直喷,直喷,-,-,-,-,-,直喷,直喷,-,-,-,-,-,-,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,铝合金,铝合金,-,-,-,-,-,-,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,铝合金,铝合金,-,-,-,-,-,-,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,国VI,国VI,-,-,-,-,-,-,国VI
电动机,前电动机品牌,-,-,-,-,-,-,-,-,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,-,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,-
电动机,后电动机品牌,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,-,智新科技,智新科技,-,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,青山工业,-
电动机,前电动机型号,DY38TZ225210,DY38TZ225210,DY60YS225150,DY38TZ225210,DY60YS225150,DY60YS225150,DY60YS225150,DY60YS225150,YS225XYH02,YS225XYH02,YS225XYH02,TZ236XY150,TZ236XY150,TZ236XY150,TZ236XY150,-,TZ236XY150,TZ236XY150,TZ225XYH02,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ236XY150,TZ236XY150,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,YS225XYH02,-
电动机,后电动机型号,TZ200XSP08,TZ200XSP08,TZ225XYH01,TZ200XSP08,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ225XYH01,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,-,TZ200XSP08,TZ200XSP08,-,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ200XSP08,TZ220QY002,-
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-
电动机,电动机总功率(kW),370,370,380,370,380,380,380,380,405,405,405,310,310,310,310,210,310,310,215,320,320,320,320,310,310,320,320,320,320,320,475,450
电动机,电动机总马力(Ps),503,503,517,503,517,517,517,517,551,551,551,422,422,422,422,286,422,422,292,435,435,435,435,422,422,435,435,435,435,435,646,612
电动机,电动机总扭矩(N·m),620,620,695,620,695,695,695,695,770,770,770,620,620,620,620,310,620,620,380,620,620,620,620,620,620,620,620,620,620,620,-,-
电动机,前电动机最大功率(kW),210,210,150,210,150,150,150,150,175,175,175,150,150,150,150,210,150,150,215,160,160,160,160,150,150,160,160,160,160,160,175,150
电动机,前电动机最大扭矩(N·m),310,310,300,310,300,300,300,300,375,375,375,310,310,310,310,310,310,310,380,310,310,310,310,310,310,310,310,310,310,310,-,-
电动机,后电动机最大功率(kW),160,160,230,160,230,230,230,230,230,230,230,160,160,160,160,-,160,160,-,160,160,160,160,160,160,160,160,160,160,160,300,300
电动机,后电动机最大扭矩(N·m),310,310,395,310,395,395,395,395,395,395,395,310,310,310,310,-,310,310,-,310,310,310,310,310,310,310,310,310,310,310,-,-
电动机,系统综合功率(kW),480,480,490,480,490,490,490,490,405,405,405,420,420,420,420,-,420,420,-,320,320,320,320,420,420,320,320,320,320,320,-,-
电动机,系统综合马力(Ps),653,653,666,653,666,666,666,666,551,551,551,571,571,571,571,-,571,571,-,435,435,435,435,571,571,435,435,435,435,435,-,-
电动机,系统综合扭矩(N·m),840,840,915,840,915,915,915,915,770,770,770,840,840,840,840,-,840,840,-,620,620,620,620,840,840,620,620,620,620,620,-,-
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,单电机,双电机,双电机,单电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置,前置+后置,前置+后置,前置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
