セクション,セクション_ja,項目,項目_ja,2027年モデル PHEV チャンピオン版,2026年モデル PHEV 鯤鵬Pro,2026年モデル PHEV 鯤鵬Max,2026年モデル PHEV 乾崑Pro,2026年モデル PHEV 乾崑Max,2026年モデル PHEV 乾崑Ultra,2026年モデル PHEV 典蔵版,2026年モデル PHEV 山河4人乗り版,2026年モデル EV 鯤鵬Max,2026年モデル EV 乾崑Max,2026年モデル EV 乾崑Ultra,2025年モデル PHEV 4WD 卓越鯤鵬版,2025年モデル PHEV 4WD 卓越乾崑版,2025年モデル PHEV 4WD 尊貴鯤鵬版,2025年モデル PHEV 4WD 旗艦鯤鵬版,2025年モデル PHEV 超長航続世紀版,2025年モデル 先導シリーズ PHEV 超長航続 快適版,2025年モデル 先導シリーズ PHEV 超長航続 尊享版,2025年モデル EV 長航続世紀版,2025年モデル EV 4WD 卓越鯤鵬版,2025年モデル EV 4WD 卓越乾崑版,2025年モデル 先導シリーズ EV 超長航続 豪華版,2025年モデル 先導シリーズ EV 超長航続 快適版,2024年モデル PHEV 超長航続 卓越版,2024年モデル PHEV 超長距離プレミアム版,2024年モデル EV 長距離エクセレント版,2024年モデル EV 長距離プレミアム版,2024年モデル EV 超長距離エクセレント版,2024年モデル EV 超長距離プレミアム版,2024年モデル EV 超長距離フラッグシップ版,2026年モデル 夢想家9 EV 基本型,2026年モデル 夢想家9 PHEV 基本型
基本参数,基本仕様,电池慢充时间(小时),バッテリー低速充電時間（時間）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-,-
基本参数,基本仕様,电池慢充电量范围(%),バッテリー低速充電量範囲（％）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0-100,-,-,0-100,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),480,480,490,480,490,490,490,490,405,405,405,420,420,420,420,-,420,420,215,320,320,320,320,420,420,320,320,320,320,320,475,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),840,840,915,840,915,915,915,915,770,770,770,840,840,840,840,-,840,840,380,620,620,620,620,840,840,620,620,620,620,620,-,-
基本参数,基本仕様,变速箱,トランスミッション,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,1速DHT,1速DHT,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,1速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア4人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,純電動,純電動,純電動,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,1.5T 150馬力 L4,純電動,純電動,純電動,純電動,純電動,1.5T 150馬力 L4,1.5T 150馬力 L4,純電動,純電動,純電動,純電動,純電動,-,1.5T 150馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),503,503,517,503,517,517,517,517,551,551,551,422,422,422,422,286,422,422,292,435,435,435,435,422,422,435,435,435,435,435,646,612
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5315×1998×1820,5315×1985×1820,5315×1985×1820,5315×1998×1820,5315×1998×1820,5315×1998×1800,5315×1998×1800,5315×1998×1800,5315×1985×1820,5315×1985×1820,5315×1998×1800,5315×1985×1820,5315×1998×1820,5315×1985×1820,5315×1985×1800,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1998×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1820,5315×1985×1800,5325*1998*1805,5325*1998*1805
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,9.1,5.9,5.9,8.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.8,5.9,5.9,5.9,-,-
基本参数,基本仕様,官方100-0km/h制动(m),公式100-0km/h制動距離(m),35.79,-,-,-,-,-,-,-,-,-,-,35.79,35.79,35.79,35.79,-,-,-,-,35.79,35.79,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),203,203,200,203,200,200,200,200,200,200,200,203,203,203,203,180,203,203,180,200,200,200,200,203,203,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.56,0.56,0.34,0.56,0.34,0.34,0.34,-,-,-,-,0.65,0.65,0.65,0.65,0.54,0.65,0.65,-,-,-,-,-,0.65,0.65,-,-,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,6.90,6.90,6.6,6.90,6.6,6.6,6.6,-,-,-,-,6.90,6.90,6.90,6.90,6.30,6.9,6.9,-,-,-,-,-,6.9,6.9,-,-,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)CLTC,最低荷電状態燃費(L/100km)CLTC,5.41,5.41,5.26,5.41,5.26,5.26,5.26,5.72,-,-,-,5.42,5.42,5.42,5.42,5.12,5.36,5.36,-,-,-,-,-,5.36,5.36,-,-,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,-,-,-,-,1.97,1.97,1.97,3.08,3.08,3.08,3.08,-,-,-,1.95,2.05,2.05,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力総合燃料消費量(L/100km),3.02,3.02,2.77,3.02,2.77,2.77,2.77,-,-,-,-,-,-,-,-,2.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,● 5年または10万km,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),2740,2740,2780,2740,2780,2780,2780,2950,2735,2735,2735,2642,2642,2642,2642,2558,2590,2590,2480,2682,2682,2645,2645,2590,2590,2620,2620,2645,2645,2645,3020,2919
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),3265,3265,3305,3265,3305,3305,3305,-,3260,3260,3260,3177,3177,3177,3177,3083,3125,3125,3015,3217,3217,3180,3180,3125,3125,3155,3155,3180,3180,3180,3545,3444
车身,車体,长度(mm),全長(mm),5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5315,5325,5325
车身,車体,宽度(mm),全幅(mm),1998,1985,1985,1998,1998,1998,1998,1998,1985,1985,1998,1985,1998,1985,1985,1985,1985,1985,1985,1985,1998,1985,1985,1985,1985,1985,1985,1985,1985,1985,1998,1998
车身,車体,高度(mm),全高(mm),1820,1820,1820,1820,1820,1800,1800,1800,1820,1820,1800,1820,1820,1820,1800,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1800,1805,1805
车身,車体,轴距(mm),ホイールベース(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
车身,車体,前轮距(mm),前トレッド(mm),1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1709,1709
车身,車体,后轮距(mm),後トレッド(mm),1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1707,1707
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),133,-,-,-,-,-,-,-,-,-,-,133,133,133,133,-,133,133,-,133,133,133,133,133,133,133,133,133,133,133,-,-
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),150,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,133,133,150,150,150,150,133,133,133,-,-
车身,車体,接近角(°),アプローチアングル(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,-,-,13,13,14,14,14,14,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,-,-,16,16,17,17,17,17,16,16,16,16,16
车身,車体,最大爬坡度(%),最大登坂能力(%),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,-,-,-,30,30,30,30,30,30,30,30,30,-,-
车身,車体,最小转弯半径(m),最小回転半径(m),6.4,-,-,-,-,-,-,-,-,-,-,6.4,6.4,6.4,6.4,-,6.4,6.4,-,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,-,-
车身,車体,车身结构,ボディ構造,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,車体,车门开启方式,ドア開閉方式,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア,開き戸＋スライドドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 4,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,車体,油箱容积(L),燃料タンク容量(L),65,65,65,65,65,65,65,65,-,-,-,65,65,65,65,65,51,51,-,-,-,-,-,51,51,-,-,-,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,40,-,-,40,40,40,40,40,-,-
车身,車体,后备厢容积(L),リアトランク容量(L),348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,652,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,348-2700,427-2680,427-2680,348-2700,348-2700,348-2700,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,427-2680,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,-,-,-,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TDE3,DFMC15TDE3,-,-,-,-,-,DFMC15TE3,DFMC15TE3,-,-,-,-,-,-,DFMC15TE3
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,1497,1497,1497,1497,-,-,-,1497,1497,1497,1497,1497,1497,1497,-,-,-,-,-,1497,1497,-,-,-,-,-,-,1497
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-,-,-,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,-,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-,-,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,-,-,-,-,-,ターボチャージャー,ターボチャージャー,-,-,-,-,-,-,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,-,-,-,横置き,横置き,横置き,横置き,横置き,横置き,横置き,-,-,-,-,-,横置き,横置き,-,-,-,-,-,-,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,-,-,-,L,L,L,L,L,L,L,-,-,-,-,-,L,L,-,-,-,-,-,-,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,-,-,-,4,4,4,4,4,4,4,-,-,-,-,-,4,4,-,-,-,-,-,-,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,-,-,-,4,4,4,4,4,4,4,-,-,-,-,-,4,4,-,-,-,-,-,-,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,DOHC,DOHC,-,-,-,-,-,-,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,150,150,150,150,150,150,150,-,-,-,150,150,150,150,150,150,150,-,-,-,-,-,150,150,-,-,-,-,-,-,150
发动机,エンジン,最大功率(kW),最大出力(kW),110,110,110,110,110,110,110,110,-,-,-,110,110,110,110,110,110,110,-,-,-,-,-,110,110,-,-,-,-,-,-,110
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),4500,4500,4500,4500,4500,4500,4500,4500,-,-,-,4500,4500,4500,4500,4500,4500,4500,-,-,-,-,-,4500,4500,-,-,-,-,-,-,4500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),220,220,220,220,220,220,220,220,-,-,-,220,220,220,220,220,220,220,-,-,-,-,-,220,220,-,-,-,-,-,-,220
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,-,-,-,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,-,-,-,-,-,2000-4500,2000-4500,-,-,-,-,-,-,2000-4500
发动机,エンジン,最大净功率(kW),最大出力(kW),105,105,105,105,105,105,105,105,-,-,-,105,105,105,105,105,105,105,-,-,-,-,-,105,105,-,-,-,-,-,-,105
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,-,-,-,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,95号（ガソリン）,-,-,-,-,-,95号（ガソリン）,95号（ガソリン）,-,-,-,-,-,-,95号（ガソリン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,-,-,-,直噴,直噴,直噴,直噴,直噴,直噴,直噴,-,-,-,-,-,直噴,直噴,-,-,-,-,-,-,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,アルミ合金,アルミ合金,-,-,-,-,-,-,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,アルミ合金,アルミ合金,-,-,-,-,-,-,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,国VI（排ガス規制）
