セクション,項目,MG7 2026款 1.5T 300 DCT优雅版,MG7 2026款 2.0T 405 AT奢享版,MG7 2026款 2.0T Trophy+ 超级运动版,MG7 2026款 2.0T Trophy+ 超级智驾版,MG7 2025款 1.5T 300 DCT怡享定制版,MG7 2025款 1.5T 300 DCT豪华版,MG7 2025款 1.5T 300 DCT优雅版,MG7 2025款 2.0T 405 AT尊享版,MG7 2025款 2.0T 405 AT奢享版,MG7 2025款 2.0T Trophy+ 超级运动版,MG7 2025款 2.0T Trophy+ 超级智驾版
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭 (5000元)","● 仿皮
○ 皮/翻毛材质混搭 (5000元)","● 仿皮
○ 皮/翻毛材质混搭 (5000元)",● 仿皮,● 仿皮,● 仿皮,● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭 (5000元)","● 仿皮
○ 皮/翻毛材质混搭 (5000元)","● 仿皮
○ 皮/翻毛材质混搭 (5000元)"
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风",○ 加热,-,● 加热,● 加热,● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,● 驾驶位,-,-,-,-,-,● 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● BOSE,● BOSE,● BOSE,● BOSE,-,-,● BOSE,-,● BOSE,● BOSE,● BOSE
音响/车内灯光,扬声器数量,● 9喇叭,● 9喇叭,● 14喇叭,● 14喇叭,● 6喇叭,● 6喇叭,● 9喇叭,● 6喇叭,● 9喇叭,● 14喇叭,● 14喇叭
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,● 256色,-,-,● 256色,-,● 256色,● 256色,● 256色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
特色配置,可调式运动排气声浪,●,●,●,●,-,-,○,-,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–
选装包,纵擎翼动包,-,-,-,-,○ 选配 (8000元),-,-,-,-,-,-
选装包,纵擎翼动包,-,-,-,-,-,-,○ 选配 (5000元),-,-,-,-
