セクション,項目,丰田bZ3 2026款 智享家 JOY,丰田bZ3 2026款 智享家 PRO,丰田bZ3 2026款 智享家 PRO+,丰田bZ3 2026款 智享家 MAX,丰田bZ3 2024款 517km 精英 PRO,丰田bZ3 2024款 616km 长续航 PRO,丰田bZ3 2024款 616km 长续航 Premium
车身,后备厢容积(L),439,439,439,439,439,439,439
车身,风阻系数(Cd),0.23,0.23,0.23,0.24,0.23,0.23,0.23
电动机,前电动机品牌,弗迪动力,弗迪动力,弗迪动力,弗迪动力,弗迪动力,弗迪动力,弗迪动力
电动机,前电动机型号,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002,TZ200-XS002
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),135,135,180,180,135,180,180
电动机,电动机总马力(Ps),184,184,245,245,184,245,245
电动机,电动机总扭矩(N·m),303,303,303,303,303,303,303
电动机,前电动机最大功率(kW),135,135,180,180,135,180,180
电动机,前电动机最大扭矩(N·m),303,303,303,303,303,303,303
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置
电动机,三电系统质保,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里,● 十年或20万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,CLTC纯电续航里程(km),517,510,610,600,517,616,616
电池/充电,电池能量(kWh),49.9,49.9,65.3,65.3,49.92,65.28,65.28
电池/充电,电池能量密度(Wh/kg),-,-,-,-,146.39,148.7,148.7
电池/充电,百公里耗电量(kWh/100km),11,11.1,12.2,12.4,11,12,12
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),70,70,90,90,70,90,90
电池/充电,电池快充时间(小时),0.45,0.45,0.45,0.45,0.45,0.45,0.45
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,80,80,80
电池/充电,电池慢充时间(小时),7,7,9.5,9.5,7,9.5,9.5
电池/充电,电池慢充电量范围(%),0-100,0-100,0-100,0-100,100,100,100
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,-,-,-
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,-,-,-
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,-,-,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 双连杆独立悬架,● 双连杆独立悬架,● 双连杆独立悬架,● 双连杆独立悬架,● 双连杆独立悬架,● 双连杆独立悬架,● 双连杆独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18
车轮制动,后轮胎规格,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18,● 225/50 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,"● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊",● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,●,●,●,●,●,●,●
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,○,○,●
主动安全,DOW开门预警,-,-,●,●,○,○,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,●,○,○,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,"● 倒车影像
○ 360度全景影像","● 倒车影像
○ 360度全景影像",● 360度全景影像
驾驶硬件,芯片总算力,-,-,-,● 544 TOPS,-,-,-
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 双目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,● 5个,● 11个,● 2个,● 2个,● 5个
驾驶硬件,车内摄像头数量,-,-,● 1个,● 1个,○ 1个,○ 1个,● 1个
驾驶硬件,超声波雷达数量,● 4个,● 6个,● 6个,● 12个,● 6个,● 6个,● 6个
驾驶硬件,毫米波雷达数量,● 1个,● 1个,● 3个,● 5个,-,-,-
驾驶硬件,激光雷达数量,-,-,-,● 1个,-,-,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Pilot,● Toyota Safety Sense,● Toyota Safety Sense,● Toyota Safety Sense
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,○,○,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,-,-,-,●,-,-,-
驾驶功能,并线辅助,-,-,●,●,○,○,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,●,-,-,-
驾驶功能,遥控泊车,-,-,-,●,-,-,-
驾驶功能,记忆泊车,-,-,-,●,-,-,-
驾驶功能,辅助变道,-,-,-,●,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,-,-,●,-,-,-
驾驶功能,信号灯识别,-,-,-,●,-,-,-
驾驶功能,方向盘离手检测,-,-,-,●,-,-,-
驾驶功能,起步提醒,●,●,●,●,-,-,-
驾驶功能,辅助驾驶路段,-,-,-,"● 城市路段
● 高速路段",-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,-,-,○
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠","● 电动调节
● 电动折叠
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 12.8英寸,● 15.6英寸,● 15.6英寸,● 12.8英寸,● 12.8英寸,● 12.8英寸
互联/智能化,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,-,-,● 原厂互联/映射,● 原厂互联/映射,-,-,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗"
互联/智能化,语音助手唤醒词,● 你好，小扉,● 你好，小扉,● 你好，小扉,● 你好，小扉,● 你好，小扉,● 你好，小扉,● 你好，小扉
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●
互联/智能化,面部识别,-,-,●,●,○,○,●
互联/智能化,应用商店,●,●,●,●,●,●,●
互联/智能化,车联网,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 5G,● 5G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,● 塑料,● 真皮,● 真皮,● 真皮,"● 塑料
○ 真皮","● 塑料
○ 真皮",● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,●,○,○,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-
方向盘/内后视镜,仪表盘屏幕材质,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,"● 手动防眩目
○ 自动防眩目","● 手动防眩目
○ 自动防眩目",● 自动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,● 前排,-,-,● 前排
座椅配置,座椅材质,● 仿皮,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 皮/翻毛材质混搭,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ○,主 ● /副 ○,主 ● /副 ●
座椅配置,前排座椅功能,-,-,● 加热,● 加热,○ 加热,○ 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-
座椅配置,第二排座椅功能,-,-,-,-,○ 加热,○ 加热,● 加热
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后 ●
座椅配置,后排杯架,-,-,●,●,-,-,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 7喇叭
音响/车内灯光,车内环境氛围灯,-,● 多色,● 多色,● 多色,○ 31色,○ 31色,● 31色
音响/车内灯光,主动式环境氛围灯,-,-,●,●,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,●,●,-,-,●
空调/冰箱,空气质量监测,-,-,●,●,-,-,●
颜色,外观颜色,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–
选装包,先进智能套装,-,-,-,-,○ 选配 (暂无价格),-,-
选装包,智能安全辅助套装,-,-,-,-,○ 选配 (暂无价格),○ 选配 (暂无价格),-
选装包,先进舒适套装,-,-,-,-,-,○ 选配 (暂无价格),-
