セクション,セクション_ja,項目,項目_ja,2025年モデル FREE+ 後輪駆動 乾崑版,2025年モデル FREE+ 4WD 乾崑版,2025年モデル FREE+ 4WD スポーツカスタム版,2025年モデル 318 318km 後輪駆動 周遊版,2025年モデル 318 259km 4WD 探索版
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,-,-,-,15,15
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),129,129,129,150,150
发动机,エンジン,最大功率(kW),最大出力(kW),95,95,95,110,110
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,220,220
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,2500-4000,2500-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),95,95,95,110,110
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,ミラーサイクル,ミラーサイクル
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,-,TZ180XS003,TZ180XS003,-,TZ200XSP10
电动机,モーター,后电动机型号,後モーター型式,TZ225XYH02,TZ225XYH02,TZ225XYH02,TZ220XSP01,TZ220XSP01
电动机,モーター,电机类型,モーター種類,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),215,350,350,200,360
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),292,476,476,272,490
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),380,570,570,410,720
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,135,135,-,160
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,190,190,-,310
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),215,215,215,200,200
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),380,380,380,410,410
电动机,モーター,驱动电机数,駆動モーター数,単モーター,デュアルモーター,デュアルモーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置き,前後置き,前後置き,後置き,前後置き
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL（江蘇時代）,● CATL,● CATL
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,-,-,-,アンバー電池システム,アンバー電池システム
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),225,190,190,235,190
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),318,259,259,318,259
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1458,1357,1357,1458,1357
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),45,45,45,43,43
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),18.3,21.7,21.7,20.5,22.5
电池/充电,バッテリー/充電,电池组质保,バッテリー保証,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 初代オーナー生涯保証／非営業用（免責条項は公式基準による）,● 8年または12万km,● 8年または12万km
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,-,0.43,0.43
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),-,-,-,30-80,30-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),-,-,-,4.45,4.45
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),-,-,-,20-80,20-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,3.6,3.6
电池/充电,バッテリー/充電,对外放电最低允许值(%),外部放電最低許容値(%),-,-,-,10,10
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,● 電動四輪駆動,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ,● 255/45 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,"● サスペンション硬さ調整
● サスペンション高さ調整","● サスペンション硬さ調整
● サスペンション高さ調整",-,"● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,●,●,-,●
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,● シングルチャンバー,● シングルチャンバー,-,● シングルチャンバー
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,-,●,●,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,-,-,● Horizon Journey 3,● デュアルTDA4
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,-,-,● 13 TOPS,● 16 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● モノカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 11個,● 11個,● 11個,● 5個,● 10個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 2個,● 2個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,● 3個,● 3個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,-,-
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR数,● 1個,● 1個,● 1個,-,-
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARライン数,● 192ライン,● 192ライン,● 192ライン,-,-
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検知距離,-,-,-,● 190メートル,● 190メートル
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● ファーウェイ乾崑インテリジェントドライブADS,● ファーウェイ乾崑インテリジェントドライブADS,● ファーウェイ乾崑インテリジェントドライブADS,● Horizon（地平線）,● Baidu Apollo（バイドゥアポロ）
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）,● レベル2（L2）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● Gaode（高徳）,● Gaode（高徳）,● Gaode（高徳）,● Baidu（バイドゥ）,● Baidu（バイドゥ）
驾驶功能,運転機能,高精地图,高精度地図,-,-,-,-,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,-,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,○,○,○,-,●
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,-,-
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,-,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,-,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,-,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,-,-
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",-,● 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,"○ 車両全体（8,000元）","○ 車両全体（8,000元）","○ 車両全体（8,000元）",-,-
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,● マトリクス式,● マトリクス式,● マトリクス式,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,"● 開閉可能パノラマサンルーフ
○ 開閉不可パノラマサンルーフ（1.3万元）","● 開閉可能パノラマサンルーフ
○ 開閉不可パノラマサンルーフ（1.3万元）"
天窗/玻璃,サンルーフ・ガラス,光感天幕,光感サンルーフ,-,-,-,○,○
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側プライバシーガラス,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 12.3インチ,● 12.3インチ
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センター画面解像度,● 2K,● 2K,● 2K,● 1920×720,● 1920×720
互联/智能化,コネクティビティ/スマート機能,中控屏幕像素密度,センター画面ピクセル密度,-,-,-,● 167PPI,● 167PPI
