セクション,セクション_ja,項目,項目_ja,2026年モデル 245Ultra版,2026年モデル 245Ultra+レーザー版,2026年モデル 560Max,2026年モデル 560Ultraレーザー版,2026年モデル 670Max,2026年モデル 670Ultraレーザー版,2026年モデル 560Ultra+レーザー版,2026年モデル 670Ultra+レーザー版
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,JL469Q1（型式）,JL469Q1（型式）,-,-,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1497,1497,-,-,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,-,-,-,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,-,-,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,-,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,-,-,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,-,-,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,-,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,-,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),98,98,-,-,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),72,72,-,-,-,-,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),125,125,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3000,3000,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力(kW),70,70,-,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,-,-,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,-,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,国6排ガス基準,国6排ガス基準,-,-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車,ディープブルー自動車
电动机,モーター,后电动机型号,後モーター型式,XTDM35,XTDM35,XTDM67,XTDM67,XTDM67,XTDM67,XTDM67,XTDM67
电动机,モーター,电机类型,モーター種類,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),175,175,200,200,200,200,200,200
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),238,238,272,272,272,272,272,272
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),290,290,290,290,290,290,290,290
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),175,175,200,200,200,200,200,200
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),290,290,290,290,290,290,290,290
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池,● リン酸鉄リチウムイオン電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー,ゴールデンシールドバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),180,180,-,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),245,245,560,560,670,670,560,670
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),28.39,28.39,56.12,56.12,68.82,68.82,56.12,68.82
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),15.0,15.0,11.5,11.5,11.8,11.8,11.5,11.8
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/50 R18,● 235/45 R19,● 225/50 R18,"● 225/50 R18
○ 235/45 R19（2999元）",● 225/50 R18,"● 225/50 R18
○ 235/45 R19（2999元）",● 235/45 R19,● 235/45 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/50 R18,● 235/45 R19,● 225/50 R18,"● 225/50 R18
○ 235/45 R19",● 225/50 R18,"● 225/50 R18
○ 235/45 R19",● 235/45 R19,● 235/45 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主席 ● / 副席 ●,主席 ● / 副席 ●,主席 ● / 副席 ●,主席 ● / 副席 ●,主席 ● / 副席 ●,主席 ● / 副席 ●,主席 ● / 副席 ●,主席 ● / 副席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,-,●,-,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,○ サスペンション硬さ調整,● サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,● サスペンション硬さ調整,● サスペンション硬さ調整
驾驶操控,ドライビングコントロール,电磁感应悬架,電磁誘導サスペンション,○ （3999元）,●,○ （3999元）,○ （3999元）,○ （3999元）,○ （3999元）,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● 2基 地平線J6Mカメラ,● 2基 地平線J6Mカメラ,-,● 2基 地平線J6Mカメラ,-,● 2基 地平線J6Mカメラ,● 2基 地平線J6Mカメラ,● 2基 地平線J6Mカメラ
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 256 TOPS,● 256 TOPS,-,● 256 TOPS,-,● 256 TOPS,● 256 TOPS,● 256 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● 単眼,● ステレオカメラ,● 単眼,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 11個（エアバッグ数）,● 11個（エアバッグ数）,● 5個,● 11個（エアバッグ数）,● 5個,● 11個（エアバッグ数）,● 11個（エアバッグ数）,● 11個（エアバッグ数）
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 300万画素,● 300万画素,-,● 300万画素,-,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 100万,● 300万画素,● 100万,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,-,● 1個,-,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 3個,● 3個,● 5個,● 3個,● 5個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,-,● HESAI禾赛テクノロジー,-,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー,● HESAI禾赛テクノロジー
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR数,● 1個,● 1個,-,● 1個,-,● 1個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Deepal AD Max,● Deepal AD Max,● Deepal AD Pro,● Deepal AD Max,● Deepal AD Pro,● Deepal AD Max,● Deepal AD Max,● Deepal AD Max
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ渋滞情報表示,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,駐車位置記憶,●,●,-,●,-,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバック,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,-,●,-,●,●,●
驾驶功能,運転機能,信号灯识别,信号認識,●,●,●,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,支援運転区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間",● 高速道路区間,"● 市街地区間
● 高速道路区間",● 高速道路区間,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間"
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,-,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置記憶,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
