セクション,項目,尚界Z7 2026款 Max,尚界Z7 2026款 Max+,尚界Z7 2026款 Ultra,
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,●,–
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,–
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,–
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,–
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,–
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,–
驾驶硬件,激光雷达品牌,● HUAWEI华为,● HUAWEI华为,● HUAWEI华为,–
驾驶硬件,激光雷达数量,● 2个,● 2个,● 2个,–
驾驶硬件,激光雷达线数,● 896线,● 896线,● 896线,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,–
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 华为Petal,● 华为Petal,● 华为Petal,–
驾驶功能,高精定位,●,●,●,–
驾驶功能,并线辅助,●,●,●,–
驾驶功能,车道保持辅助系统,●,●,●,–
驾驶功能,车道居中保持,●,●,●,–
驾驶功能,道路交通标识识别,●,●,●,–
驾驶功能,辅助泊车入位,●,●,●,–
驾驶功能,遥控泊车,●,●,●,–
驾驶功能,记忆泊车,○,○,○,–
驾驶功能,循迹倒车,●,●,●,–
驾驶功能,辅助变道,●,●,●,–
驾驶功能,辅助匝道自动驶出(入),●,●,●,–
驾驶功能,信号灯识别,●,●,●,–
驾驶功能,起步提醒,●,●,●,–
驾驶功能,辅助驾驶路段,"○ 城市路段
● 高速路段","○ 城市路段
● 高速路段","○ 城市路段
● 高速路段",–
外观/防盗,外观套件,○ 运动风格 (6000元),○ 运动风格 (6000元),○ 运动风格 (6000元),–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,–
外观/防盗,无框设计车门,●,●,●,–
外观/防盗,电动后备厢,●,●,●,–
外观/防盗,电动后备厢位置记忆,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙","● 遥控钥匙
● 蓝牙钥匙
● 星闪钥匙
● NFC/RFID钥匙
● 智能手表/手环钥匙",–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,–
外观/防盗,主动闭合式进气格栅,●,●,●,–
外观/防盗,远程启动功能,●,●,●,–
外观/防盗,电池预加热,●,●,●,–
外观/防盗,对外放电,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,●,●,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
车外灯光,辅助驾驶灯,●,●,●,–
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,–
天窗/玻璃,光感天幕,○ (8000元),○ (8000元),●,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,后排侧隐私玻璃,●,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,-,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,–
互联/智能化,向日葵旋转屏,●,●,●,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风
● 座椅按摩",–
互联/智能化,语音助手唤醒词,● 小艺小艺,● 小艺小艺,● 小艺小艺,–
互联/智能化,语音免唤醒词,●,●,●,–
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,–
互联/智能化,语音连续识别,●,●,●,–
互联/智能化,可见即可说,●,●,●,–
互联/智能化,面部识别,●,●,●,–
互联/智能化,声纹识别,●,●,●,–
互联/智能化,车外语音交互,●,●,●,–
互联/智能化,应用商店,●,●,●,–
互联/智能化,车载智能系统,● HarmonyOS,● HarmonyOS,● HarmonyOS,–
互联/智能化,车联网,●,●,●,–
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,–
互联/智能化,OTA升级,●,●,●,–
互联/智能化,Wi-Fi热点,●,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",–
互联/智能化,车载KTV,●,●,●,–
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,–
方向盘/内后视镜,方向盘位置调节,"● 手动上下+前后调节
○ 电动上下+前后调节","● 手动上下+前后调节
○ 电动上下+前后调节",● 电动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘加热,●,●,●,–
方向盘/内后视镜,方向盘记忆,○,○,●,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 8.88英寸,● 8.88英寸,● 8.88英寸,–
方向盘/内后视镜,HUD抬头数字显示,●,●,●,–
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体",–
方向盘/内后视镜,ETC装置,○,○,○,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排4个/后排2个,● 前排4个/后排2个,● 前排4个/后排2个,–
车内充电,USB/Type-C最大充电功率,● 66W,● 66W,● 66W,–
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,–
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,–
车内充电,行李厢12V电源接口,●,●,●,–
座椅配置,座椅材质,"○ 真皮 (8000元)
● 仿皮","○ 真皮 (8000元)
● 仿皮","● 真皮
○ 皮/翻毛材质混搭",–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)",–
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",–
座椅配置,副驾驶位后排可调节按钮,-,-,-,–
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,–
座椅配置,第二排座椅功能,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风",–
座椅配置,零重力座椅,"○ 主驾驶 (10000元)
● 副驾驶","○ 主驾驶 (10000元)
● 副驾驶","● 主驾驶
● 副驾驶",–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,●,–
音响/车内灯光,扬声器品牌名称,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,–
音响/车内灯光,扬声器数量,● 21喇叭,● 21喇叭,● 21喇叭,–
音响/车内灯光,车外扬声器数量,"● 1喇叭
○ 2喇叭","● 1喇叭
○ 2喇叭","● 1喇叭
○ 2喇叭",–
音响/车内灯光,触摸式阅读灯,●,●,●,–
音响/车内灯光,车内环境氛围灯,● 256色,● 256色,● 256色,–
音响/车内灯光,主动式环境氛围灯,●,●,●,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,热泵空调,●,●,●,–
空调/冰箱,后排独立空调,-,-,-,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,●,●,●,–
空调/冰箱,车载空气净化器,-,-,-,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
空调/冰箱,负离子发生器,●,●,●,–
空调/冰箱,空气质量监测,●,●,●,–
空调/冰箱,车载冰箱,○ (3000元),○ (3000元),○ (3000元),–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,追风运动套件,○ 选配 (6000元),○ 选配 (6000元),○ 选配 (6000元),–
