セクション,項目,长安启源A06 2026款 510Pro,长安启源A06 2026款 510Max,长安启源A06 2026款 630Max,长安启源A06 2026款 630舒享Ultra,长安启源A06 2026款 630激光Ultra,长安启源A06 2026款 630激光Ultra+,长安启源A06 2026款 240Max,长安启源A06 2026款 240激光Ultra
基本参数,WLTC综合油耗(L/100km),-,-,-,-,-,-,0.58,0.58
基本参数,最低荷电状态油耗(L/100km)WLTC,-,-,-,-,-,-,4.36,4.36
基本参数,最低荷电状态油耗(L/100km)NEDC,-,-,-,-,-,-,2.8,2.8
基本参数,电能当量燃料消耗量(L/100km),1.32,1.32,1.31,1.31,1.31,1.31,1.7,1.7
基本参数,油电综合燃料消耗量(L/100km),-,-,-,-,-,-,2.28,2.28
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1750,1750,1887,1887,1887,1887,1800,1800
基本参数,最大满载质量(kg),2200,2200,2337,2337,2337,2337,2250,2250
车身,长度(mm),4885,4885,4885,4885,4885,4885,4885,4885
车身,宽度(mm),1916,1916,1916,1916,1916,1916,1916,1916
车身,高度(mm),1496,1496,1496,1496,1496,1496,1496,1496
车身,轴距(mm),2922,2922,2922,2922,2922,2922,2922,2922
车身,前轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660
车身,后轮距(mm),1668,1668,1668,1668,1668,1668,1668,1668
车身,接近角(°),14,14,14,14,14,14,14,14
车身,离去角(°),18,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
车身,车身结构,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),-,-,-,-,-,-,60,60
车身,前备厢容积(L),108,108,108,108,108,108,-,-
车身,后备厢容积(L),656-1770,656-1770,656-1770,656-1770,656-1770,656-1770,615-1729,615-1729
车身,风阻系数(Cd),0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205
发动机,发动机型号,-,-,-,-,-,-,JL469Q1,JL469Q1
发动机,排量(mL),-,-,-,-,-,-,1497,1497
发动机,排量(L),-,-,-,-,-,-,1.5,1.5
发动机,进气形式,-,-,-,-,-,-,自然吸气,自然吸气
发动机,发动机布局,-,-,-,-,-,-,横置,横置
发动机,气缸排列形式,-,-,-,-,-,-,L,L
发动机,气缸数(个),-,-,-,-,-,-,4,4
发动机,每缸气门数(个),-,-,-,-,-,-,4,4
发动机,压缩比,-,-,-,-,-,-,16,16
发动机,配气机构,-,-,-,-,-,-,DOHC,DOHC
发动机,最大马力(Ps),-,-,-,-,-,-,98,98
发动机,最大功率(kW),-,-,-,-,-,-,72,72
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,125,125
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,3000,3000
发动机,最大净功率(kW),-,-,-,-,-,-,70,70
发动机,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,增程式,增程式
发动机,燃油标号,-,-,-,-,-,-,92号,92号
发动机,供油方式,-,-,-,-,-,-,多点电喷,多点电喷
发动机,缸盖材料,-,-,-,-,-,-,铝合金,铝合金
发动机,缸体材料,-,-,-,-,-,-,铝合金,铝合金
发动机,环保标准,-,-,-,-,-,-,国VI,国VI
电动机,后电动机品牌,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山,重庆青山
电动机,后电动机型号,TZ180XS002,TZ180XS002,ATDM04,ATDM04,ATDM04,ATDM04,TZ180XS002,TZ180XS002
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,210,210,210,210,120,120
电动机,电动机总马力(Ps),163,163,286,286,286,286,163,163
电动机,电动机总扭矩(N·m),190,190,290,290,290,290,190,190
电动机,后电动机最大功率(kW),120,120,210,210,210,210,120,120
电动机,后电动机最大扭矩(N·m),190,190,290,290,290,290,190,190
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 宁德时代,● 宁德时代
电池/充电,电池特有技术,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池,金钟罩电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),-,-,-,-,-,-,180,180
电池/充电,CLTC纯电续航里程(km),510,510,630,630,630,630,240,240
电池/充电,电池能量(kWh),51.48,51.48,63.18,63.18,63.18,63.18,28.39,28.39
电池/充电,百公里耗电量(kWh/100km),-,-,-,-,-,-,14.6,14.6
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),-,-,-,-,-,-,113.5,113.5
电池/充电,高压快充,-,-,支持,支持,支持,支持,-,-
电池/充电,高压平台（V）,400,400,800,800,800,800,400,400
电池/充电,电池快充时间(小时),0.15,0.15,0.15,0.15,0.15,0.15,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/60 R17,"● 225/55 R18
○ 245/45 R19 (2000元)","● 225/55 R18
○ 245/45 R19 (2000元)","● 225/55 R18
○ 245/45 R19 (2000元)","● 225/55 R18
○ 245/45 R19 (2000元)",● 245/45 R19,"● 225/55 R18
○ 245/45 R19 (2000元)","● 225/55 R18
○ 245/45 R19 (2000元)"
车轮制动,后轮胎规格,● 225/60 R17,"● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19",● 245/45 R19,"● 225/55 R18
○ 245/45 R19","● 225/55 R18
○ 245/45 R19"
车轮制动,备胎规格,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,-,● 地平线J6M,● 地平线J6M,-,● 地平线J6M
驾驶硬件,芯片总算力,-,-,-,-,● 128 TOPS,● 128 TOPS,-,● 128 TOPS
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 双目,● 双目,● 单目,● 双目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个,● 11个,● 11个,● 5个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环视摄像头像素,-,-,-,-,● 300万,● 300万,-,● 300万
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 3个,● 3个,● 5个,● 3个
驾驶硬件,激光雷达品牌,-,-,-,-,● HESAI禾赛科技,● HESAI禾赛科技,-,● HESAI禾赛科技
驾驶硬件,激光雷达数量,-,-,-,-,● 1个,● 1个,-,● 1个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助激光版,● 天枢智能驾驶辅助激光版,● 天枢智能驾驶辅助视觉版,● 天枢智能驾驶辅助激光版
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,-,-,-,-,●,●,-,●
驾驶功能,并线辅助,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,-,-,-,-,●,●,-,●
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,●,●,-,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段",● 高速路段,"● 城市路段
● 高速路段"
外观/防盗,外观套件,-,-,-,-,-,-,-,○ 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢,-,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●,●,●,●
外观/防盗,电动前备厢,-,-,-,●,-,●,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,-,●,●,●,●,●,-,○
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,-,-,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",-,"● 前排
● 后排"
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
屏幕/系统,中控屏幕类型,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,中控屏幕分辨率,● 2560x1440,● 2560x1440,● 2560x1440,● 2560x1440,● 2560x1440,● 2560x1440,● 2560x1440,● 2560x1440
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,●,●,●,●,●,●,●,●
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
屏幕/系统,语音助手唤醒词,● 你好，小安,● 你好，小安,● 你好，小安,● 你好，小安,● 你好，小安,● 你好，小安,● 你好，小安,● 你好，小安
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●
屏幕/系统,声纹识别,●,●,●,●,●,●,●,●
屏幕/系统,DeepSeek应用,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入,● 已接入
屏幕/系统,应用商店,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● 天枢智能座舱,● 天枢智能座舱,● 天枢智能座舱,● 天枢智能座舱,● 天枢智能座舱,● 天枢智能座舱,● 天枢智能座舱,● 天枢智能座舱
屏幕/系统,车机智能芯片,● MTK8676,● MTK8676,● MTK8676,● MTK8676,● MTK8676,● MTK8676,● MTK8676,● MTK8676
屏幕/系统,车机系统内存(GB),● 24,● 24,● 24,● 24,● 24,● 24,● 24,● 24
屏幕/系统,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 4G,● 4G,● 4G,● 5G,● 5G,● 5G,● 4G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 多媒体控制
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
智能化配置,车载KTV,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
