セクション,セクション_ja,項目,項目_ja,2026年モデル 530km AIRエリート版,2026年モデル 雅宇版,2026年モデル 540km エリート版,2026年モデル 540km エリート4エアバッグ版,2026年モデル 530 越享型,2026年モデル 530 尊享型,2026年モデル 530km AIR,2025年モデル 110 長距離快適型,2025年モデル 205 超長距離快適型,2025年モデル 205 超長距離プレミアム型,2025年モデル 205 超長距離ラグジュアリー型,2025年モデル 430 ライト快適型,2025年モデル 430 快適型,2025年モデル 430 快適＋型,2025年モデル 518 快適型,2025年モデル 518 快適型 チャンピオン版,2025年モデル 430 快適型 エクセレント版,2025年モデル 518 風捷版,2025年モデル 518 プレミアム型,2025年モデル 518 プレミアム型 チャンピオン版,2025年モデル 改良版 518 エグゼクティブ版,2024年モデル 205 睿驰版,2024年モデル 205 臻享版,2024年モデル 518 フラッグシップ版,2024年モデル 110 Pro,2024年モデル 205 Air,2024年モデル 205 Pro,2024年モデル 205 Plus,2024年モデル 518 Air,2024年モデル 518 Pro
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,電気自動車用単速変速機,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,4速DHT（デュアルハイブリッドトランスミッション）,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,純電動,純電動,純電動,純電動,純電動,純電動,純電動,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,-,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,1.5T 154馬力 L4エンジン,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,163,184,184,184,184,218,136,136,136,136,163,163,163,163,163,163,163,218,218,218,136,136,218,136,136,136,136,163,218
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4670×全幅1900×全高1613mm,全長4685×全幅1900×全高1617mm,全長4670×全幅1900×全高1613mm,全長4670×全幅1900×全高1613mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1617mm,全長4670×全幅1900×全高1617mm,全長4685×全幅1900×全高1610mm,全長4685×全幅1900×全高1610mm,全長4685×全幅1900×全高1625mm,全長4670×全幅1900×全高1625mm,全長4685×全幅1900×全高1613mm,全長4685×全幅1900×全高1613mm,全長4685×全幅1900×全高1613mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1613mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1625mm,全長4670×全幅1900×全高1625mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1625mm,全長4685×全幅1900×全高1625mm,全長4685×全幅1900×全高1625mm,全長4685×全幅1900×全高1625mm,全長4685×全幅1900×全高1617mm,全長4685×全幅1900×全高1617mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.2,-,-,-,-,-,8,6.9,6.9,6.9,6.9,-,-,-,-,-,-,-,-,-,-,6.9,6.9,-,6.9,6.9,6.9,6.9,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,170,170,170,170,170,170,170,170,170,160,160,160,160,160,160,160,170,170,170,170,170,170,170,170,170,170,160,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),-,-,-,-,-,-,-,1.49,0.56,0.56,0.56,-,-,-,-,-,-,-,-,-,-,0.56,0.56,-,1.49,0.56,0.56,0.56,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,-,-,-,-,-,-,-,4.84,4.81,4.81,4.81,-,-,-,-,-,-,-,-,-,-,4.81,4.81,-,4.81,4.81,4.81,4.81,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低充電状態燃費(L/100km)NEDC,-,-,-,-,-,-,-,3.8,3.8,3.8,3.8,-,-,-,-,-,-,-,-,-,-,3.8,3.8,-,3.8,3.8,3.8,3.8,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.57,1.59,1.54,1.54,-,-,1.57,1.72,1.98,1.98,1.98,1.47,1.47,1.47,1.59,1.59,1.47,1.59,1.57,1.57,1.57,1.98,1.98,1.57,1.72,1.98,1.98,1.98,-,1.57
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),-,-,-,-,-,-,-,3.25,2.59,2.59,2.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,-,-,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,-,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,-,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）,● 10年走行距離無制限保証（免責条項は公式発表による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1712,1720,1678,1678,1706,1740,1720,1725,1760,1800,1800,1618,1618,1618,1720,1720,1618,1720,1740,1740,1740,1800,1800,1740,1725,1800,1800,1800,1720,1740
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2134,2134,2134,2134,2134,2134,2134,2121,2194,2194,2194,2011,2011,2011,2134,2134,2011,2134,2134,2134,2134,2194,2194,2134,2121,2194,2194,2194,2134,2134
车身,車体,长度(mm),全長(mm),4670,4685,4670,4670,4685,4685,4670,4685,4685,4685,4670,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4670,4685,4685,4685,4685,4685,4685,4685
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1613,1617,1613,1613,1617,1617,1617,1610,1610,1625,1625,1613,1613,1613,1617,1617,1613,1617,1617,1617,1617,1625,1625,1617,1625,1625,1625,1625,1617,1617
车身,車体,轴距(mm),ホイールベース(mm),2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775
车身,車体,前轮距(mm),前トレッド(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
车身,車体,后轮距(mm),後トレッド(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
车身,車体,最小离地间隙(mm),最低地上高(mm),145,-,145,145,145,145,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,接近角(°),アプローチアングル(°),17,17,17,17,17,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,17,18,18,17,18,18,18,18,17,17
车身,車体,离去角(°),デパーチャーアングル(°),24,24,24,24,24,24,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,24,25,25,25,25,24,24
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),-,-,-,-,-,-,-,55,55,55,55,-,-,-,-,-,-,-,-,-,-,55,55,-,55,55,55,55,-,-
车身,車体,后备厢容积(L),トランク容量(L),413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,-,-,-,-,-,-,-,DFMC15TE3（型式）,DFMC15TE3（型式）,DFMC15TE3（型式）,DFMC15TE3（型式）,-,-,-,-,-,-,-,-,-,-,DFMC15TE3（型式）,DFMC15TE3（型式）,-,DFMC15TE3（型式）,DFMC15TE3（型式）,DFMC15TE3（型式）,DFMC15TE3（型式）,-,-
发动机,エンジン,排量(mL),排気量(mL),-,-,-,-,-,-,-,1497,1497,1497,1497,-,-,-,-,-,-,-,-,-,-,1497,1497,-,1497,1497,1497,1497,-,-
发动机,エンジン,排量(L),排気量(L),-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,1.5,1.5,-,1.5,1.5,1.5,1.5,-,-
发动机,エンジン,进气形式,過給形式,-,-,-,-,-,-,-,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-,-,-,-,-,-,-,-,-,ターボチャージャー付き,ターボチャージャー付き,-,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-
发动机,エンジン,发动机布局,エンジン配置,-,-,-,-,-,-,-,横置エンジン,横置エンジン,横置エンジン,横置エンジン,-,-,-,-,-,-,-,-,-,-,横置エンジン,横置エンジン,-,横置エンジン,横置エンジン,横置エンジン,横置エンジン,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,-,-,-,-,-,-,-,L,L,L,L,-,-,-,-,-,-,-,-,-,-,L,L,-,L,L,L,L,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),-,-,-,-,-,-,-,4,4,4,4,-,-,-,-,-,-,-,-,-,-,4,4,-,4,4,4,4,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),-,-,-,-,-,-,-,4,4,4,4,-,-,-,-,-,-,-,-,-,-,4,4,-,4,4,4,4,-,-
发动机,エンジン,配气机构,バルブ機構,-,-,-,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,-,-,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),-,-,-,-,-,-,-,154,154,154,154,-,-,-,-,-,-,-,-,-,-,154,154,-,154,154,154,154,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),-,-,-,-,-,-,-,113,113,113,113,-,-,-,-,-,-,-,-,-,-,113,113,-,113,113,113,113,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,5200,5200,5200,5200,-,-,-,-,-,-,-,-,-,-,5200,5200,-,5200,5200,5200,5200,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,240,240,240,240,-,-,-,-,-,-,-,-,-,-,240,240,-,240,240,240,240,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,3500-4500,3500-4500,3500-4500,3500-4500,-,-,-,-,-,-,-,-,-,-,3500-4500,3500-4500,-,3500-4500,3500-4500,3500-4500,3500-4500,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),-,-,-,-,-,-,-,110,110,110,110,-,-,-,-,-,-,-,-,-,-,110,110,-,110,110,110,110,-,-
发动机,エンジン,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,プラグインハイブリッド,プラグインハイブリッド,純電動,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,-,-,-,-,-,-,-,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-,-,-,-,-,-,-,-,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-
发动机,エンジン,供油方式,燃料供給方式,-,-,-,-,-,-,-,直噴,直噴,直噴,直噴,-,-,-,-,-,-,-,-,-,-,直噴,直噴,-,直噴,直噴,直噴,直噴,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,-,-,-,-,-,-,-,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,-,-,-,-,-,-,-,-,-,-,アルミ合金製,アルミ合金製,-,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,-,-,-,-,-,-,-,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,-,-,-,-,-,-,-,-,-,-,アルミ合金製,アルミ合金製,-,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,-,-
发动机,エンジン,环保标准,環境基準,-,-,-,-,-,-,-,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-,-,-,-,-,-,-,-,-,国VI排ガス基準,国VI排ガス基準,-,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,-,-
电动机,モーター,前电动机品牌,前モーターブランド,智新テクノロジー,珠海英搏尔（メーカー名）,英搏尔電気（メーカー名）,英搏尔電気（メーカー名）,-,-,智新テクノロジー,-,-,-,-,珠海英搏尔（メーカー名）,珠海英搏尔（メーカー名）,珠海英搏尔（メーカー名）,珠海英搏尔（メーカー名）,珠海英搏尔（メーカー名）,珠海英搏尔（メーカー名）,珠海英搏尔（メーカー名）,智新テクノロジー,智新テクノロジー,智新テクノロジー,-,-,智新テクノロジー,-,-,-,-,珠海英搏尔（メーカー名）,智新テクノロジー
电动机,モーター,前电动机型号,前モーター型式,TZ200XS3F0（型式）,TZ180XSS01（型式）,YY39TZ180S01（型式）,YY39TZ180S01（型式）,-,-,TZ200XS3F0（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ180XSS01（型式）,TZ180XSS01（型式）,TZ180XSS01（型式）,TZ180XSS01（型式）,TZ180XSS01（型式）,TZ180XSS01（型式）,TZ180XSS01（型式）,TZ200XS3F0（型式）,TZ200XS3F0（型式）,TZ200XS3F0（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ200XS3F0（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ220XY003（型式）,TZ180XSS01（型式）,TZ200XS3F0（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),120,120,135,135,135,135,160,100,100,100,100,120,120,120,120,120,120,120,160,160,160,100,100,160,100,100,100,100,120,160
