セクション,項目,东风风神L7 2026款 530km AIR精英版,东风风神L7 2026款 雅宇版,东风风神L7 2026款 530乐享型,东风风神L7 2026款 530越享型,东风风神L7 2026款 530尊享型,东风风神L7 2026款 540km 精英版,东风风神L7 2026款 540km 精英四气囊版,东风风神L7 2026款 530km AIR,东风风神L7 2025款 110长续航舒享型,东风风神L7 2025款 205超长续航畅享型,东风风神L7 2025款 205超长续航纵享型,东风风神L7 2025款 205超长续航尊享型,东风风神L7 2025款 430轻享型,东风风神L7 2025款 430舒享型,东风风神L7 2025款 518畅享型,东风风神L7 2025款 430舒享+型,东风风神L7 2025款 518畅享型冠军版,东风风神L7 2025款 430舒享型卓越版,东风风神L7 2025款 518 风捷版,东风风神L7 2025款 518纵享型,东风风神L7 2025款 518纵享型冠军版,东风风神L7 2025款 改款 518 行政版,东风风神L7 2024款 205 睿驰版,东风风神L7 2024款 205 臻享版,东风风神L7 2024款 518 旗舰版,东风风神L7 2024款 518 Air,东风风神L7 2024款 110 Pro,东风风神L7 2024款 205 Air,东风风神L7 2024款 518 Pro,东风风神L7 2024款 205 Pro,东风风神L7 2024款 205 Plus
基本参数,长*宽*高(mm),4670*1900*1613,4685*1900*1617,4685*1900*1617,4685*1900*1617,4685*1900*1617,4670*1900*1613,4670*1900*1613,4670*1900*1617,4685*1900*1610,4685*1900*1610,4685*1900*1625,4670*1900*1625,4685*1900*1613,4685*1900*1613,4685*1900*1617,4685*1900*1613,4685*1900*1617,4685*1900*1613,4685*1900*1617,4685*1900*1617,4685*1900*1617,4685*1900*1617,4685*1900*1625,4670*1900*1625,4685*1900*1617,4685*1900*1617,4685*1900*1625,4685*1900*1625,4685*1900*1617,4685*1900*1625,4685*1900*1625
基本参数,官方0-100km/h加速(s),9.2,-,-,-,-,-,-,8,6.9,6.9,6.9,6.9,-,-,-,-,-,-,-,-,-,-,6.9,6.9,-,-,6.9,6.9,-,6.9,6.9
基本参数,最高车速(km/h),160,160,170,170,170,170,170,170,170,170,170,170,160,160,160,160,160,160,160,170,170,170,170,170,170,160,170,170,170,170,170
基本参数,WLTC综合油耗(L/100km),-,-,-,-,-,-,-,-,1.49,0.56,0.56,0.56,-,-,-,-,-,-,-,-,-,-,0.56,0.56,-,-,1.49,0.56,-,0.56,0.56
基本参数,最低荷电状态油耗(L/100km)WLTC,-,-,-,-,-,-,-,-,4.84,4.81,4.81,4.81,-,-,-,-,-,-,-,-,-,-,4.81,4.81,-,-,4.81,4.81,-,4.81,4.81
基本参数,最低荷电状态油耗(L/100km)NEDC,-,-,-,-,-,-,-,-,3.8,3.8,3.8,3.8,-,-,-,-,-,-,-,-,-,-,3.8,3.8,-,-,3.8,3.8,-,3.8,3.8
基本参数,电能当量燃料消耗量(L/100km),1.57,1.59,-,-,-,1.54,1.54,1.57,1.72,1.98,1.98,1.98,1.47,1.47,1.59,1.47,1.59,1.47,1.59,1.57,1.57,1.57,1.98,1.98,1.57,-,1.72,1.98,1.57,1.98,1.98
基本参数,油电综合燃料消耗量(L/100km),-,-,-,-,-,-,-,-,3.25,2.59,2.59,2.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,-,-,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,-,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,-,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）,● 十年不限公里（责任免除条款以官方为准）
基本参数,整备质量(kg),1712,1720,1706,1706,1740,1678,1678,1720,1725,1760,1800,1800,1618,1618,1720,1618,1720,1618,1720,1740,1740,1740,1800,1800,1740,1720,1725,1800,1740,1800,1800
基本参数,最大满载质量(kg),2134,2134,2134,2134,2134,2134,2134,2134,2121,2194,2194,2194,2011,2011,2134,2011,2134,2011,2134,2134,2134,2134,2194,2194,2134,2134,2121,2194,2134,2194,2194
车身,长度(mm),4670,4685,4685,4685,4685,4670,4670,4670,4685,4685,4685,4670,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4670,4685,4685,4685,4685,4685,4685,4685
车身,宽度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,高度(mm),1613,1617,1617,1617,1617,1613,1613,1617,1610,1610,1625,1625,1613,1613,1617,1613,1617,1613,1617,1617,1617,1617,1625,1625,1617,1617,1625,1625,1617,1625,1625
车身,轴距(mm),2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775
车身,前轮距(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
车身,后轮距(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
车身,最小离地间隙(mm),145,-,145,145,145,145,145,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,接近角(°),17,17,17,17,17,17,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,17,18,18,17,17,18,18,17,18,18
车身,离去角(°),24,24,24,24,24,24,24,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,24,24,25,25,24,25,25
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),-,-,-,-,-,-,-,-,55,55,55,55,-,-,-,-,-,-,-,-,-,-,55,55,-,-,55,55,-,55,55
车身,后备厢容积(L),413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,-,-,-,-,-,-,-,-,DFMC15TE3,DFMC15TE3,DFMC15TE3,DFMC15TE3,-,-,-,-,-,-,-,-,-,-,DFMC15TE3,DFMC15TE3,-,-,DFMC15TE3,DFMC15TE3,-,DFMC15TE3,DFMC15TE3
发动机,排量(mL),-,-,-,-,-,-,-,-,1497,1497,1497,1497,-,-,-,-,-,-,-,-,-,-,1497,1497,-,-,1497,1497,-,1497,1497
发动机,排量(L),-,-,-,-,-,-,-,-,1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,1.5,1.5,-,-,1.5,1.5,-,1.5,1.5
发动机,进气形式,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压,-,-,涡轮增压,涡轮增压,-,涡轮增压,涡轮增压
发动机,发动机布局,-,-,-,-,-,-,-,-,横置,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,横置,横置,-,-,横置,横置,-,横置,横置
发动机,气缸排列形式,-,-,-,-,-,-,-,-,L,L,L,L,-,-,-,-,-,-,-,-,-,-,L,L,-,-,L,L,-,L,L
发动机,气缸数(个),-,-,-,-,-,-,-,-,4,4,4,4,-,-,-,-,-,-,-,-,-,-,4,4,-,-,4,4,-,4,4
发动机,每缸气门数(个),-,-,-,-,-,-,-,-,4,4,4,4,-,-,-,-,-,-,-,-,-,-,4,4,-,-,4,4,-,4,4
发动机,配气机构,-,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,DOHC,DOHC,-,-,DOHC,DOHC,-,DOHC,DOHC
发动机,最大马力(Ps),-,-,-,-,-,-,-,-,154,154,154,154,-,-,-,-,-,-,-,-,-,-,154,154,-,-,154,154,-,154,154
发动机,最大功率(kW),-,-,-,-,-,-,-,-,113,113,113,113,-,-,-,-,-,-,-,-,-,-,113,113,-,-,113,113,-,113,113
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,5200,5200,5200,5200,-,-,-,-,-,-,-,-,-,-,5200,5200,-,-,5200,5200,-,5200,5200
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-,240,240,240,240,-,-,-,-,-,-,-,-,-,-,240,240,-,-,240,240,-,240,240
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,3500-4500,3500-4500,3500-4500,3500-4500,-,-,-,-,-,-,-,-,-,-,3500-4500,3500-4500,-,-,3500-4500,3500-4500,-,3500-4500,3500-4500
发动机,最大净功率(kW),-,-,-,-,-,-,-,-,110,110,110,110,-,-,-,-,-,-,-,-,-,-,110,110,-,-,110,110,-,110,110
发动机,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,纯电动,纯电动,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,插电式混合动力
发动机,燃油标号,-,-,-,-,-,-,-,-,92号,92号,92号,92号,-,-,-,-,-,-,-,-,-,-,92号,92号,-,-,92号,92号,-,92号,92号
发动机,供油方式,-,-,-,-,-,-,-,-,直喷,直喷,直喷,直喷,-,-,-,-,-,-,-,-,-,-,直喷,直喷,-,-,直喷,直喷,-,直喷,直喷
发动机,缸盖材料,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,-,-,铝合金,铝合金,-,铝合金,铝合金
发动机,缸体材料,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,-,-,铝合金,铝合金,-,铝合金,铝合金
发动机,环保标准,-,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,国VI,国VI,-,-,国VI,国VI,-,国VI,国VI
电动机,前电动机品牌,智新科技,珠海英搏尔,珠海英搏尔,-,-,英搏尔电气,英搏尔电气,智新科技,-,-,-,-,珠海英搏尔,珠海英搏尔,珠海英搏尔,珠海英搏尔,珠海英搏尔,珠海英搏尔,珠海英搏尔,智新科技,智新科技,智新科技,-,-,智新科技,珠海英搏尔,-,-,智新科技,-,-
电动机,前电动机型号,TZ200XS3F0,TZ180XSS01,YY39TZ180S01,-,-,YY39TZ180S01,YY39TZ180S01,TZ200XS3F0,TZ220XY003,TZ220XY003,TZ220XY003,TZ220XY003,TZ180XSS01,TZ180XSS01,TZ180XSS01,TZ180XSS01,TZ180XSS01,TZ180XSS01,TZ180XSS01,TZ200XS3F0,TZ200XS3F0,TZ200XS3F0,TZ220XY003,TZ220XY003,TZ200XS3F0,TZ180XSS01,TZ220XY003,TZ220XY003,TZ200XS3F0,TZ220XY003,TZ220XY003
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,135,135,135,135,135,160,100,100,100,100,120,120,120,120,120,120,120,160,160,160,100,100,160,120,100,100,160,100,100
电动机,电动机总马力(Ps),163,163,184,184,184,184,184,218,136,136,136,136,163,163,163,163,163,163,163,218,218,218,136,136,218,163,136,136,218,136,136
电动机,电动机总扭矩(N·m),240,240,260,260,260,260,260,310,260,260,260,260,240,240,240,240,240,240,240,310,310,310,260,260,310,240,260,260,310,260,260
电动机,前电动机最大功率(kW),120,120,135,135,135,135,135,160,100,100,100,100,120,120,120,120,120,120,120,160,160,160,100,100,160,120,100,100,160,100,100
电动机,前电动机最大扭矩(N·m),240,240,260,260,260,260,260,310,260,260,260,260,240,240,240,240,240,240,240,310,310,310,260,260,310,240,260,260,310,260,260
电动机,系统综合功率(kW),-,-,-,-,-,-,-,-,265,265,265,265,-,-,-,-,-,-,-,-,-,-,265,265,-,-,265,265,-,265,265
电动机,系统综合马力(Ps),-,-,-,-,-,-,-,-,360,360,360,360,-,-,-,-,-,-,-,-,-,-,360,360,-,-,360,360,-,360,360
电动机,系统综合扭矩(N·m),-,-,-,-,-,-,-,-,615,615,615,615,-,-,-,-,-,-,-,-,-,-,615,615,-,-,615,615,-,615,615
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 楚能新能源,● 楚能新能源,● 楚能新能源,● 楚能新能源,● 楚能新能源,● 楚能新能源,● 楚能新能源,● 楚能新能源,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 武汉楚能,● 中创新航,● 武汉楚能,● 中创新航,● 武汉楚能,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 武汉楚能,● 中创新航,● 中创新航,● 中创新航,● 中创新航,● 中创新航
电池/充电,电池特有技术,-,马赫电池,-,-,-,-,-,-,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,马赫电池,-,-,马赫电池,马赫电池,-,-,马赫电池,-,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),-,-,-,-,-,-,-,-,86,158,158,158,-,-,-,-,-,-,-,-,-,-,158,158,-,-,86,158,-,158,158
电池/充电,CLTC纯电续航里程(km),530,518,530,530,530,540,540,530,110,205,205,205,430,430,518,430,518,430,518,518,518,518,205,205,518,518,110,205,518,205,205
电池/充电,CLTC综合续航(km),-,-,-,-,-,-,-,-,1400,1500,1500,1500,-,-,-,-,-,-,-,-,-,-,1500,1500,-,-,1400,1500,-,1500,1500
电池/充电,电池能量(kWh),61.24,61.2,61.83,61.83,61.83,61.83,61.83,62.36,17.0,30.3,30.3,30.3,50.8,50.8,61.2,50.8,61.2,50.8,61.2,62.3,62.3,62.3,30.3,30.3,62.3,61.2,17.0,30.3,62.3,30.3,30.3
电池/充电,百公里耗电量(kWh/100km),13.5,13.7,-,-,-,13.3,13.3,12.9,15.2,17.5,17.5,17.5,13,13,13.7,13,13.7,13,13.7,13.5,13.5,-,17.5,17.5,13.5,-,15.2,17.5,13.5,17.5,17.5
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.47,0.46,0.33,0.33,0.33,0.35,0.35,0.47,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.43,0.46,0.46,0.43,0.43,0.46,0.43,0.43
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),7.9,-,-,-,-,11,11,9.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
