セクション,セクション_ja,項目,項目_ja,2026年モデル 改良版 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 9人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 7人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 8人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 9人乗り CNG,2026年モデル 2.0L AT ロング軸 新年版 7人乗り,2026年モデル 2.0L AT ロング軸 新年版 9人乗り,2026年モデル 2.0L キャンピングカー 美途版 5人乗り,2026年モデル 2.0L キャンピングカー 軽旅版 5人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 改良版 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 9人乗り,2026年モデル 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L CNG 基本版 2人乗り,2025年モデル 2.0L CNG 快適型 6人乗り,2025年モデル 2.0L CNG 快適型 7人乗り,2025年モデル 2.0L CNG エリート版 7人乗り,2025年モデル 2.0L CNG エリート版 9人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 7人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 8人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 9人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 9人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 9人乗り,2025年モデル 1.6L MT 標準軸 快適タイプ 5人乗り,2025年モデル 1.6L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2025年モデル 2.0L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 8人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 5人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ブラインドウィンドウ 基本タイプ 2人乗り,2025年モデル 2.0L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 8・9人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 7人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 9人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 プレミアム 7人乗り,2025年モデル 2.0L CNG 上級営業用 プレミアム 7人乗り,2024年モデル 1.6L ロング軸 創富タイプ 6人乗り,2024年モデル 1.6L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 創享タイプ 9人乗り,2024年モデル 2.0L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 ラグジュアリー営業用 9人乗り,2024年モデル 2.0L ロング軸 中級営業用 7人乗り,2024年モデル 2.0L ロング軸 中級営業用 9人乗り,2024年モデル 2.0L ロング軸 プレミアム 7人乗り,2023年モデル 1.6L 標準軸 創富タイプ 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 9人乗り,2023年モデル 1.6L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L CNG ロング軸 ラグジュアリー営業用 9人乗り 連結シート
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.51
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),117,117,117,117,117,117,117,117,122,122,122,122,122,122,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,117,117,117,117,117,144,117,117,144,144,144,144,144,144,144,122,122,122,122,122,122,122,122,122,122,122,122,124,124,124,124,144,144,144,124,124,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,122,124,124,124,144,124,144,144,144,124,144,144,124,144,122
发动机,エンジン,最大功率(kW),最大出力(kW),86,86,86,86,86,86,86,86,90,90,90,90,90,90,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,86,86,86,86,86,106,86,86,106,106,106,106,106,106,106,90,90,90,90,90,90,90,90,90,90,90,90,91,91,91,91,106,106,106,91,91,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,90,91,91,91,106,91,106,106,106,91,106,106,91,106,90
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,6000,6000,6000,6000,5600,5600,5600,6000,6000,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,6000,6000,6000,5600,6000,5600,5600,5600,6000,5600,5600,6000,5600,5600
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),160,160,160,160,160,160,160,160,175,175,175,175,175,175,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,160,160,160,160,160,200,160,160,200,200,200,200,200,200,200,175,175,175,175,175,175,175,175,175,175,175,175,161,161,161,161,200,200,200,161,161,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,175,161,161,161,200,161,200,200,200,161,200,200,161,200,175
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3600-4400,3600-4400,3750-4250,3750-4250,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3750-4250,3750-4250,3750-4250,3600-4400,3750-4250,3600-4400,3600-4400,3600-4400,3750-4250,3600-4400,3600-4400,3750-4250,3600-4400,3600-4400
发动机,エンジン,最大净功率(kW),最大出力(kW),82,82,82,82,82,82,82,82,85,85,85,85,85,85,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,82,82,82,82,82,98,82,82,98,98,98,98,98,98,98,85,85,85,85,85,85,85,85,85,85,85,85,82,82,82,82,98,98,98,82,82,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,85,82,82,82,98,82,98,98,98,82,98,98,82,98,85
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン+CNG,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン+CNG
发动机,エンジン,燃油标号,燃料オクタン価,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,鋳鉄,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,鋳鉄,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,アルミ合金,鋳鉄,アルミ合金,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,トランスミッション,简称,略称,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,8速オートマチック,8速オートマチック,8速オートマチック,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル,5速マニュアル
变速箱,トランスミッション,挡位个数,段数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,5,5,8,8,8,8,8,8,5,5,5,5,5,5,5,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,8,8,8,5,5,5,5,5,5
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),オートマチックトランスミッション(AT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT),マニュアルトランスミッション(MT)
