セクション,項目,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 9座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 7座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 8座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 9座 CNG,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 7座,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 9座,锐胜王牌M7 2026款 2.0L 宿营车 美途版 5座,锐胜王牌M7 2026款 2.0L 宿营车 轻旅版 5座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 改款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L CNG基本版 2座,锐胜王牌M7 2025款 2.0L CNG舒适型 6座,锐胜王牌M7 2025款 2.0L CNG舒适型 7座,锐胜王牌M7 2025款 2.0L CNG精英版 7座,锐胜王牌M7 2025款 2.0L CNG精英版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 8座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 9座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 9座,锐胜王牌M7 2025款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2025款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 8座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴盲窗基本型 2座,锐胜王牌M7 2025款 2.0L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 8/9座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 7座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 7座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 9座,锐胜王牌M7 2025款 2.0L 自动长轴至尊版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运尊贵版 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 6座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 7座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 9座,锐胜王牌M7 2024款 2.0L 长轴至尊版 7座,锐胜王牌M7 2023款 1.6L 标轴创富型 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 9座,锐胜王牌M7 2023款 1.6L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅
基本参数,车身结构,4门5座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门5座MPV,4门5座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门2座货车,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门7座MPV,4门5座MPV,4门7座MPV,4门2座货车,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门2座货车,4门6座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门5座MPV,4门6/7座MPV,4门2座货车,4门6/7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8/9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门6座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门9座MPV
基本参数,发动机,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,2.0L 144马力 L4,1.6L 117马力 L4,1.6L 117马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,2.0L 122马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 122马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,2.0L 144马力 L4,1.6L 124马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,1.6L 124马力 L4,2.0L 144马力 L4,2.0L 144马力 L4,1.6L 124马力 L4,2.0L 144马力 L4,2.0L 122马力 L4
基本参数,长*宽*高(mm),4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),140,140,140,100,100,140,140,140,140,140,140,100,100,100,140,140,140,140,140,140,140,140,100,100,140,140,140,140,100,100,100,140,140,140,140,100,100,140,140,140,100,100,140,140,140,140,140,140,140,100,100,100,140,140,140,140,140,100,100,100,100,100,100,100,140,140,100,100,140,100,100,140,140,140,140,140,140,100,100,140,140,140,140,100,100,100,100,140,100,140,140,140,140,100,140,140,160,140,140,140,140,140,100
基本参数,WLTC综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.4,9.4,-,-,-,-,7.5,7.5,9.3,9.4,9.3,9.4,9.4,-,7.5,9.4,9.4,9.3,9.4,-
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里,● 三年或6万公里
基本参数,整备质量(kg),1480,1520,1520,1555,1555,1525,1605,1520,1890,1890,1890,1910,1910,1910,1740,1740,1910,1910,1740,1740,1740,1740,1740,1740,1520,1640,1700,1700,1710,1710,1710,1740,1740,1740,1740,1740,1740,1480,1520,1520,1555,1555,1605,1525,1605,1520,1640,1700,1700,1710,1710,1710,1745,1890,1890,1890,1890,1910,1910,1910,1910,1910,1980,1980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1700,1700,-,-,1740,1980,1575,1520,1605,1640,1630,1700,1700,1740,1520,1700,1700,1605,1640,1910
基本参数,最大满载质量(kg),1855,2160,2160,2060,2060,1900,2315,2160,2415,2415,2415,2585,2585,2585,2430,2430,2505,2505,2430,2430,2430,2430,2430,2430,2390,2390,2390,2390,2390,2390,2390,2430,2430,2430,2430,2430,2430,1855,2160,2160,2060,2060,2215,1900,2315,2390,2390,2390,2390,2390,2390,2390,2655,2415,2415,2415,2415,2585,2585,2585,2585,2585,2655,2655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2390,2390,-,-,2430,2655,2315,2160,2315,2390,2315,2390,2390,2430,2160,2390,2390,2315,2390,2585
车身,长度(mm),4880,4880,4880,4880,4880,5240,5240,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,4880,4880,4880,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,4880,4880,4880,4880,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,5240,5240,5240,5240,5240
车身,宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
车身,高度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
车身,轴距(mm),2880,2880,2880,2880,2880,3200,3200,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,2880,2880,2880,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,2880,2880,2880,2880,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,3200,3200,3200,3200,3200,3200,2880,3200,3200,3200,3200,3200
车身,前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,接近角(°),21,21,21,21,21,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,-,-,22,-,21,21,22,22,22,22,22,22,21,22,22,22,22,22
车身,离去角(°),20,20,20,20,20,19,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,-,-,19,-,20,20,19,19,19,19,19,19,20,19,19,19,19,19
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 7,● 7,● 7,● 8,● 5,● 7,● 7,● 7,● 7,● 9,● 7,● 8,● 9,● 7,● 9,● 5,● 5,● 7,● 9,● 7,● 9,● 7,● 9,● 2,● 7,● 7,● 9,● 7,● 8,● 9,● 7,● 9,● 7,● 9,● 7,● 9,● 5,● 7,● 7,● 7,● 8,● 7,● 5,● 7,● 2,● 7,● 7,● 9,● 7,● 8,● 9,● 2,● 6,● 7,● 7,● 9,● 7,● 8,● 9,● 7,● 9,● 7,● 9,● 5,● 7,● 7,● 8,● 7,● 7,● 8,● 5,● 6/7,● 2,● 6/7,● 7,● 9,● 7,● 8/9,● 7,● 9,● 7,● 9,● 7,● 9,● 7,● 9,● 7,● 7,● 6,● 7,● 9,● 7,● 9,● 7,● 9,● 7,● 7,● 7,● 9,● 7,● 7,● 9
车身,油箱容积(L),58,58,58,58,58,58,58,58,15,15,15,15,15,15,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,15,15,15,15,15,15,15,15,15,15,15,15,58,58,58,58,58,58,58,58,58,58,58,58,58,15,58,58,58,58,58,58,58,58,58,58,15,58,58,58,58,58,58,58,58,58,58,58,58,58,15
车身,气罐容积(L),-,-,-,-,-,-,-,-,180,180,180,180,180,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,180,180,180,180,180,180,180,180,180,180,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-,-,-,-,-,-,-,-,-,-,-,-,-,180
