セクション,項目,星光560 2026款 1.5T 6MT 舒适型,星光560 2026款 1.5T CVT 精英型,
方向盘/内后视镜,全液晶仪表盘,-,-,–
方向盘/内后视镜,液晶仪表尺寸,● 3.5英寸,● 3.5英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排3个/后排1个,–
车内充电,手机无线充电功能,-,-,–
座椅配置,座椅材质,● 织物,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,–
座椅配置,前排座椅功能,-,-,–
座椅配置,电动座椅记忆功能,-,-,–
座椅配置,副驾驶位后排可调节按钮,-,-,–
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,-,前 ● /后-,–
座椅配置,后排杯架,-,-,–
音响/车内灯光,扬声器品牌名称,-,-,–
音响/车内灯光,扬声器数量,● 2喇叭,● 6喇叭,–
音响/车内灯光,车内环境氛围灯,-,-,–
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,–
空调/冰箱,后排独立空调,-,-,–
空调/冰箱,后座出风口,●,●,–
空调/冰箱,温度分区控制,-,-,–
空调/冰箱,车载空气净化器,-,-,–
空调/冰箱,车内PM2.5过滤装置,-,-,–
颜色,外观颜色,–,–,–
颜色,内饰颜色,–,–,–
