セクション,セクション_ja,項目,項目_ja,2025年モデル トッププレイヤー版＋スーパー倍増オプションパッケージ,2025年モデル トッププレイヤー版＋ちょっと増量オプションパッケージ,Unnamed 4
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ",–
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,–
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証機能,●,●,–
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,–
互联/智能化,コネクティビティ/スマート機能,车联网,コネクテッドカー,●,●,–
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G対応,● 5G対応,–
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,–
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,–
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,●,●,–
互联/智能化,コネクティビティ/スマート機能,模拟声浪,エンジンサウンドシミュレーション,●,●,–
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,●,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,● 12.15インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,–
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター,● シートヒーター,–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,–
座椅配置,シート装備,后排小桌板,後部小テーブル,-,●,–
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,-,-,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前輪● / 後輪,前輪● / 後輪●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,-,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,–
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 128色,● 128色,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,–
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
