セクション,項目,小鹏P7+ 2026款 增程 1550 Max 科技版,小鹏P7+ 2026款 增程 1550 Max 旗舰版,小鹏P7+ 2026款 纯电 615 Max 旗舰版,小鹏P7+ 2026款 纯电 725 Max 旗舰版,小鹏P7+ 2025款 超长续航 Max 旗舰版,小鹏P7+ 2024款 长续航 Max,小鹏P7+ 2024款 超长续航 Max
车身,油箱容积(L),45,45,-,-,-,-,-
车身,后备厢容积(L),708-2204,708-2204,725-2221,725-2221,725-2221,725-2221,725-2221
车身,风阻系数(Cd),0.206,0.206,0.206,0.206,0.206,0.206,0.206
发动机,发动机型号,DAM15NTE,DAM15NTE,-,-,-,-,-
发动机,排量(mL),1499,1499,-,-,-,-,-
发动机,排量(L),1.5,1.5,-,-,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,-,-,-,-,-
发动机,发动机布局,横置,横置,-,-,-,-,-
发动机,气缸排列形式,L,L,-,-,-,-,-
发动机,气缸数(个),4,4,-,-,-,-,-
发动机,每缸气门数(个),4,4,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,-,-,-,-,-
发动机,最大马力(Ps),150,150,-,-,-,-,-
发动机,最大功率(kW),110,110,-,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-
发动机,最大净功率(kW),110,110,-,-,-,-,-
发动机,能源类型,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,-,-,-,-,-
发动机,供油方式,直喷,直喷,-,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,-,-,-,-,-
发动机,缸体材料,铝合金,铝合金,-,-,-,-,-
发动机,环保标准,国VI,国VI,-,-,-,-,-
电动机,后电动机品牌,武汉小鹏,武汉小鹏,武汉小鹏,武汉小鹏,武汉小鹏,武汉小鹏,武汉小鹏
电动机,后电动机型号,TZ230XY01F57X,TZ230XY01F57X,TZ230XY01F57X,TZ230XY01F57X,TZ230XY01F57X,TZ230XY01F57X,TZ230XY01F57X
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),180,180,180,230,230,180,230
电动机,电动机总马力(Ps),245,245,245,313,313,245,313
电动机,电动机总扭矩(N·m),450,450,450,450,450,450,450
电动机,后电动机最大功率(kW),180,180,180,230,230,180,230
电动机,后电动机最大扭矩(N·m),450,450,450,450,450,450,450
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力,● 亿纬动力
电池/充电,电池特有技术,5C超充AI电池,5C超充AI电池,5C超充AI电池,5C超充AI电池,5C超充AI电池,3C超充AI电池,3C超充AI电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),325,325,-,-,-,-,-
电池/充电,CLTC纯电续航里程(km),430,430,615,725,685,615,725
电池/充电,CLTC综合续航(km),1550,1550,-,-,-,-,-
电池/充电,电池能量(kWh),49.2,49.2,61.7,74.9,74.9,60.7,76.3
电池/充电,百公里耗电量(kWh/100km),16.6,16.6,10.9,11.7,12.7,11.4,12.2
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,800,800,800,800,800,800,800
电池/充电,电池快充时间(小时),0.2,0.2,0.2,0.2,0.2,0.33,0.33
电池/充电,电池快充电量范围(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 235/55 R19
○ 255/45 R20 (6000元)","● 235/55 R19
○ 255/45 R20 (6000元)","● 235/55 R19
○ 255/45 R20 (6000元)","● 235/55 R19
○ 255/45 R20 (6000元)",● 255/45 R20,"● 235/60 R18
○ 255/45 R20 (6000元)","● 235/60 R18
○ 255/45 R20 (6000元)"
车轮制动,后轮胎规格,"● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20","● 235/55 R19
○ 255/45 R20",● 255/45 R20,"● 235/60 R18
○ 255/45 R20","● 235/60 R18
○ 255/45 R20"
车轮制动,备胎规格,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化","● 运动
● 标准/舒适
● 自定义/个性化"
驾驶操控,单踏板模式,●,●,●,●,●,●,●
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,-,-,-
驾驶操控,陡坡缓降,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,"○ 2颗 图灵
● 图灵","○ 2颗 图灵
● 图灵","○ 2颗 图灵
● 图灵","○ 2颗 图灵
● 图灵",● 2颗 英伟达 Orin-X,● 2颗 英伟达 Orin-X,● 2颗 英伟达 Orin-X
驾驶硬件,芯片总算力,"● 750 TOPS
○ 1500 TOPS","● 750 TOPS
○ 1500 TOPS","● 750 TOPS
○ 1500 TOPS","● 750 TOPS
○ 1500 TOPS",● 508 TOPS,● 508 TOPS,● 508 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 12个,● 12个,● 12个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,车内摄像头数量,"● 1个
○ 2个","● 1个
○ 2个","● 1个
○ 2个","● 1个
○ 2个",● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP,● XNGP
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,高精定位,●,●,●,●,●,●,●
驾驶功能,并线辅助,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,-,-,-
驾驶功能,辅助变道,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●
驾驶功能,远程召唤,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",-,-,-
外观/防盗,无框设计车门,●,●,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,-,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙","● 蓝牙钥匙
● UWB数字钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排,-,-,-
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink","● 支持HUAWEI HiCar
● 支持Carlink"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● 你好，小P,● 你好，小P,● 你好，小P,● 你好，小P,● 你好，小P,● 你好，小P,● 你好，小P
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●
互联/智能化,面部识别,○,○,○,○,-,-,-
互联/智能化,应用商店,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● 天玑AIOS,● XOS天玑,● XOS天玑,● XOS天玑
互联/智能化,车机智能芯片,"○ 图灵
● MT8676","○ 图灵
● MT8676","○ 图灵
● MT8676","○ 图灵
● MT8676",● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
互联/智能化,后排液晶屏幕,-,●,●,●,●,●,●
互联/智能化,后排液晶屏幕尺寸,-,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸
互联/智能化,后排多媒体屏幕数量,-,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
互联/智能化,后排控制多媒体,-,●,●,●,●,●,●
互联/智能化,车机系统内存(GB),● 16,● 16,● 16,● 16,● 16,● 16,● 16
互联/智能化,车机系统存储(GB),● 128,● 128,● 128,● 128,● 128,● 128,● 128
互联/智能化,车联网,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 车灯控制
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,●,●,●,●,-,-,-
互联/智能化,车载KTV,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,●,●,●,●,-,-,-
方向盘/内后视镜,HUD抬头尺寸,● 29英寸,● 29英寸,● 29英寸,● 29英寸,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,"● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体"
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
