セクション,項目,北京越野BJ40 2026款 2.0T 探险家 汽油版,北京越野BJ40 2024款 2.0T 城市猎人荣耀版,北京越野BJ40 2026款 2.0T 汽油标准版,北京越野BJ40 2026款 2.0T 汽油进阶版,北京越野BJ40 2026款 2.0T 汽油卓越版,北京越野BJ40 2026款 2.0T 巨幕标准版,北京越野BJ40 2026款 2.0T 巨幕进阶版,北京越野BJ40 2026款 2.0T 恒途版,北京越野BJ40 2026款 2.0D 柴油版,北京越野BJ40 2026款 2.0D 探险家 柴油版,北京越野BJ40 2026款 2.0D 巨幕柴油版,北京越野BJ40 2026款 2.0D 巨幕智驱版,北京越野BJ40 2024款 2.0D 刀锋英雄荣耀版,北京越野BJ40 2024款 2.0T 全新城市猎人版 先锋型,北京越野BJ40 2024款 2.0T 全新刀锋英雄版 攀登者,北京越野BJ40 2024款 2.0T 全新城市猎人版 侠客型,北京越野BJ40 2024款 2.0T 全新城市猎人版 至尊型,北京越野BJ40 2024款 2.0T 全新城市猎人版 进阶型,北京越野BJ40 2024款 2.0T 全新环塔冠军版,北京越野BJ40 2024款 2.0D 全新刀锋英雄穿越者
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地"
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,拖挂模式,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-
四驱/越野,中央差速器锁止功能,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
四驱/越野,限滑差速器/差速锁,"○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁","○ 前桥差速锁 (6000元)
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁",-,"○ 前桥差速锁 (6000元)
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁",● 后桥差速锁,"● 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁",-,"○ 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁","○ 前桥差速锁
○ 后桥差速锁","● 前桥差速锁
● 后桥差速锁","● 前桥差速锁
● 后桥差速锁","○ 前桥差速锁
● 后桥差速锁"
四驱/越野,涉水感应系统,-,-,-,●,-,-,●,-,●,-,●,●,-,-,●,-,-,-,●,●
四驱/越野,低速四驱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,蠕行模式,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
四驱/越野,坦克转弯,-,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●
四驱/越野,拖挂钩,● 手动,-,● 手动,● 手动,-,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,● 手动,-,○ 手动,● 手动,○ 手动,○ 手动,● 手动,● 手动,● 手动
四驱/越野,拖车取电口,●,-,●,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前 ○ /后 ●,前 ○ /后 ●,前-/后 ●,前 ○ /后 ●,前 ○ /后 ●,前 ● /后 ●,前 ○ /后 ●,前-/后 ●,前 ○ /后 ●,前 ○ /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ○ /后 ●,前 ○ /后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
