セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T エクスプローラー ガソリン版,2024年モデル 2.0T シティハンター オナー版,2026年モデル 2.0T ガソリン 標準版,2026年モデル 2.0T ガソリン 上級版,2026年モデル 2.0T ガソリン エクセレント版,2026年モデル 2.0T ジャイアントスクリーン 標準版,2026年モデル 2.0T ジャイアントスクリーン 上級版,2026年モデル 2.0T 恒途版,2026年モデル 2.0D ディーゼル版,2026年モデル 2.0D エクスプローラー ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン ディーゼル版,2026年モデル 2.0D ジャイアントスクリーン インテリジェントドライブ版,2024年モデル 2.0D ブレードヒーロー オナー版,2024年モデル 2.0T 新型シティハンター 先鋒型,2024年モデル 2.0T 新型ブレードヒーロー クライマー,2024年モデル 2.0T 新型シティハンター 侠客型,2024年モデル 2.0T 新型シティハンター 至尊型,2024年モデル 2.0T 新型シティハンター 上級型,2024年モデル 2.0T 新型環塔チャンピオン版,2024年モデル 2.0D 新型ブレードヒーロー トラベラー
基本参数,基本仕様,发动机,エンジン,2.0T 224馬力 L4,2.0T 224馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 163馬力 L4,2.0T 163馬力 L4,2.0T 163馬力 L4,2.0T 163馬力 L4,2.0T 163馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 163馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4630×1925×1871（mm）,4630×1925×1871（mm）,4790×1940×1929（mm）,4790×1940×1949（mm）,4790×1940×1929（mm）,4790×1940×1929（mm）,4790×1940×1949（mm）,4790×1940×1929（mm）,4790×1940×1949（mm）,4630×1925×1871（mm）,4790×1940×1949（mm）,4790×1940×1949（mm）,4630×1925×1871（mm）,4790×1940×1895（mm）,4790×1940×1915（mm）,4790×1940×1895（mm）,4790×1940×1929（mm）,4790×1940×1929（mm）,4790×1940×1915（mm）,4790×1940×1915（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,180,180,180,180,180,180,160,150,160,160,150,180,175,180,180,180,180,160
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),11.84,11.35,11.35,11.80,11.35,11.35,11.80,11.35,9.97,9.34,9.97,9.97,9.34,11.35,11.8,11.35,11.35,11.35,11.8,9.97
基本参数,基本仕様,实测0-100km/h加速(s),実測0-100km/h加速（秒）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.68,-,-,-
基本参数,基本仕様,实测100-0km/h制动(m),実測100-0km/h制動距離（m）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.84,-,-,-
基本参数,基本仕様,实测油耗(L/100km),実測燃費（L/100km）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.62,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 3年または10万km保証,● 5年または15万km保証,● 5年または15万km保証,● 3年または10万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,首任车主质保政策,初代オーナー保証制度,-,-,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,-,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,-,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）,● エンジン・トランスミッション主要部品の生涯保証（免責事項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2080,2080,2130,2180,2130,2130,2180,2130,2250,2140,2250,2250,2140,2130,2180,2130,2130,2130,2180,2250
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2505,2505,2680,2680,2680,2680,2680,2680,2750,2565,2750,2750,2565,2680,2680,2680,2680,2680,2680,2750
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量（kg）,2500,-,2500,2500,-,2500,2500,2500,2500,2500,2500,2500,-,2500,2500,2500,2500,2500,2500,2500
车身,車体,长度(mm),全長(mm),4630,4630,4790,4790,4790,4790,4790,4790,4790,4630,4790,4790,4630,4790,4790,4790,4790,4790,4790,4790
车身,車体,宽度(mm),全幅(mm),1925,1925,1940,1940,1940,1940,1940,1940,1940,1925,1940,1940,1925,1940,1940,1940,1940,1940,1940,1940
车身,車体,高度(mm),全高(mm),1871,1871,1929,1949,1929,1929,1949,1929,1949,1871,1949,1949,1871,1895,1915,1895,1929,1929,1915,1915
车身,車体,轴距(mm),ホイールベース(mm),2745,2745,2760,2760,2760,2760,2760,2760,2760,2745,2760,2760,2745,2760,2760,2760,2760,2760,2760,2760
车身,車体,前轮距(mm),前トレッド(mm),1610,1610,1620,1620,1620,1620,1620,1620,1620,1610,1620,1620,1610,1620,1620,1620,1620,1620,1620,1620
车身,車体,后轮距(mm),後トレッド(mm),1610,1610,1620,1620,1620,1620,1620,1620,1620,1610,1620,1620,1610,1620,1620,1620,1620,1620,1620,1620
车身,車体,满载最小离地间隙(mm),満載時最小最低地上高（mm）,-,-,230,230,230,230,230,230,230,-,230,230,-,230,230,230,230,230,230,230
车身,車体,空载最小离地间隙(mm),空車時最小最低地上高（mm）,220,220,-,-,-,-,-,-,-,220,-,-,220,-,-,-,-,-,-,-
车身,車体,接近角(°),アプローチアングル（°）,37,37,37,38,37,37,38,37,38,37,38,38,37,37,38,37,37,37,38,38
车身,車体,离去角(°),デパーチャーアングル（°）,31,31,35,36,35,35,36,35,36,31,36,36,31,35,36,35,35,35,36,36
车身,車体,纵向通过角(°),ランプブレークオーバーアングル（°）,23,23,-,-,-,-,-,-,-,23,-,-,23,27,28,27,27,27,-,28
车身,車体,最大爬坡度(%),最大登坂能力（％）,60,60,80,100,80,80,100,80,100,60,100,100,60,80,100,80,80,80,-,100
车身,車体,最大涉水深度(mm),最大渡河深度（mm）,750,-,750,800,750,750,800,750,800,750,800,800,-,750,800,750,750,750,800,800
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア,観音開きドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),75,75,85,85,85,85,85,85,85,75,85,85,75,85,85,85,85,85,85,85
车身,車体,后备厢容积(L),トランク容量（L）,532-965,532-965,965,965,965,965,965,965,965,532-965,965,965,532-965,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,HY4C20B,HY4C20B,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,4F20TC20,4F20TC13,4F20TC20,4F20TC20,4F20TC13,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,HY4C20C,4F20TC20
发动机,エンジン,排量(mL),排気量(mL),1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1967,1967,1967,1967,1967,1967,1968
发动机,エンジン,排量(L),排気量（L）,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）,DOHC（ダブルオーバーヘッドカム）
发动机,エンジン,最大马力(Ps),最高出力(Ps),224,224,245,245,245,245,245,245,163,163,163,163,163,245,245,245,245,245,245,163
发动机,エンジン,最大功率(kW),最大出力(kW),165,165,180,180,180,180,180,180,120,120,120,120,120,180,180,180,180,180,180,120
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,5500,5500,5500,5500,5500,5500,3600,-,3600,3600,-,5500,5500,5500,5500,5500,5500,3600
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),380,380,395,395,395,395,395,395,400,380,400,400,380,395,395,395,395,395,395,400
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1500-2400,-,1500-2400,1500-2400,-,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1600-3600,1500-2400
发动机,エンジン,最大净功率(kW),最大出力（kW）,160,160,172,172,172,172,172,172,119,119,119,119,119,172,172,172,172,172,172,119
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ディーゼル,ディーゼル,ディーゼル,ディーゼル,ディーゼル,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ディーゼル
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,軽油（0号）,軽油（0号）,軽油（0号）,軽油（0号）,軽油（0号）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,軽油（0号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD,● フロントエンジン・4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● フルタイム4WD,● パートタイム4WD,● フルタイム4WD,● オンデマンド4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● パートタイム4WD,● フルタイム4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク式非独立サスペンション,● 5リンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● 5リンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● 5リンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション,● マルチリンク式非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● メカニカル油圧パワーステアリング,● メカニカル油圧パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● メカニカル油圧パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● メカニカル油圧パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）,ラダーフレーム（非一体構造）
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
