セクション,セクション_ja,項目,項目_ja,2025年モデル Max,2025年モデル Max+,2025年モデル Pro Max,2025年モデル Ultra,2024年モデル Max 標準版,2024年モデル Max ロングレンジ欧州版,2024年モデル Max ロングレンジ版,2024年モデル Max 超ロングレンジ版,2024年モデル Max ハイパフォーマンス版,2026年モデル 2WD 基本型,2026年モデル 2WD 中間グレード,2026年モデル 4WD 最上位グレード
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),430,430,500,800,450,500,500,500,800,430,-,-
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),333,333,408,787,294,337,337,408,787,333,408,680
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4937×1960×1474,4937×1960×1474,4937×1960×1474,4937×1960×1474,4931×1960×1474,4931×1960×1474,4931×1960×1474,4931×1960×1474,4931×1960×1474,4924×1960×1474,4924×1960×1474,4924×1960×1474
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.9,5.9,4.6,2.74,5.6,4.6,4.6,4.6,2.74,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,222,268,200,220,220,222,268,200,220,268
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.37,1.37,1.49,1.60,1.53,1.47,1.47,1.45,1.56,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km,● 5年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2130,2130,2160,2250,2130,2090,2090,2160,2250,2130,2240,2250
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2580,2580,2610,2700,2580,2540,2540,2610,2700,2580,2690,2700
车身,車体,长度(mm),全長(mm),4937,4937,4937,4937,4931,4931,4931,4931,4931,4924,4924,4924
车身,車体,宽度(mm),全幅(mm),1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
车身,車体,高度(mm),全高(mm),1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474
车身,車体,轴距(mm),ホイールベース(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,車体,前轮距(mm),前トレッド(mm),1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665
车身,車体,后轮距(mm),後トレッド(mm),1672,1672,1672,1672,1672,1672,1672,1672,1672,1672,1672,1672
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14,14,14,14,14,14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18,18,18,18,18,18
车身,車体,最小转弯半径(m),最小回転半径(m),4.69,4.69,4.69,4.39,4.99,4.99,4.99,4.99,4.99,-,-,-
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),457-1300,457-1300,457-1300,457-1300,457-1290,457-1290,457-1290,457-1290,457-1290,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
电动机,モーター,前电动机品牌,前モーター ブランド,-,-,-,ユナイテッド・エレクトロニクス,-,-,-,-,ユナイテッド・エレクトロニクス,-,-,ユナイテッド・エレクトロニクス
电动机,モーター,后电动机品牌,後モーター ブランド,ユナイテッド・エレクトロニクス,ユナイテッド・エレクトロニクス,ホワユー・エレクトリック,ホワユー・エレクトリック,ホワユー・エレクトリック,ホワユー・エレクトリック,ホワユー・エレクトリック,ホワユー・エレクトリック,ホワユー・エレクトリック,ユナイテッド・エレクトロニクス,ホワユー・エレクトリック,ホワユー・エレクトリック
电动机,モーター,前电动机型号,前モーター 型番,-,-,-,TZ180XS0952,-,-,-,-,TZ180XS0952,-,-,TZ180XS0952
电动机,モーター,后电动机型号,後モーター 型番,TZ210XS1141,TZ210XS1141,TZ230XY1251,TZ230XY1351,TZ230XY1301,TZ230XY1251,TZ230XY1251,TZ230XY1251,TZ230XY1351,TZ210XS1141,TZ230XY1252,TZ230XY1252
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),245,245,300,579,216,248,248,300,579,245,300,500
电动机,モーター,电动机总马力(Ps),モーター合計馬力(Ps),333,333,408,787,294,337,337,408,787,333,408,680
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),430,430,500,800,450,500,500,500,800,430,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,200,-,-,-,-,200,-,-,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,300,-,-,-,-,300,-,-,300
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),245,245,300,379,216,248,248,300,379,245,300,300
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),430,430,500,500,450,500,500,500,500,430,-,-
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,フロント＋リア配置,リア配置,リア配置,リア配置,リア配置,フロント＋リア配置,リア配置,リア配置,フロント＋リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km,● 8年または24万km
电池/充电,バッテリー／充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー／充電,电芯品牌,電池セルブランド,● CALB（中创新航）,● CALB（中创新航）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CALB（中创新航）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CATL（寧徳時代）,● CALB（中创新航）,● CATL（寧徳時代・江蘇時代）,● CATL（寧徳時代）
电池/充电,バッテリー／充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー／充電,CLTC纯电续航里程(km),CLTC航続距離(km),690,690,850,780,650,710,710,850,780,-,-,-
电池/充电,バッテリー／充電,电池能量(kWh),バッテリー容量(kWh),74,74,100,100,75,83,83,100,100,-,-,-
电池/充电,バッテリー／充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),-,-,180,180,-,-,-,180,180,-,-,-
电池/充电,バッテリー／充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),11.8,11.8,12.8,13.8,13.5,13,13,12.8,13.8,-,-,-
电池/充电,バッテリー／充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,高压快充,高圧急速充電,対応,対応,対応,対応,-,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー／充電,高压平台（V）,高圧プラットフォーム（V）,800,800,準900,準900,400,800,800,準900,準900,800,800,準900
电池/充电,バッテリー／充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.28,0.28,0.425,0.28,0.28,0.28,0.28,-,-,-
电池/充电,バッテリー／充電,电池快充电量范围(%),バッテリー急速充電範囲(%),10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,-,-,-
电池/充电,バッテリー／充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー／充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6.6,6.6,6.6,6.6,6,6,6
变速箱,トランスミッション,简称,略称,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション,電気自動車用単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置・リア駆動,● リア配置・リア駆動,● リア配置・リア駆動,● デュアルモーター四輪駆動,● リア配置・リア駆動,● リア配置・リア駆動,● リア配置・リア駆動,● リア配置・リア駆動,● デュアルモーター四輪駆動,● リア配置・リア駆動,● リア配置・リア駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,-,-,-,-,● 電動四輪駆動,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20（8000元）","● 245/45 R19
○ 245/40 R20（8000元）","● 245/45 R19
○ 245/40 R20（8000元）","● 245/45 R19
○ 245/40 R20（8000元）","● 245/45 R19
○ 245/40 R20（8000元）","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20","● 245/45 R19
○ 245/40 R20"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）","● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）","● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）","● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）","● 275/40 R19
○ 275/35 R20（8000元）","● 275/40 R19
○ 275/35 R20（8000元）","● 275/40 R19
○ 275/35 R20（8000元）","● 275/40 R19
○ 275/35 R20（8000元）","● 275/40 R19
○ 275/35 R20（8000元）","● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）","● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）","● 245/45 R19
○ 275/35 R20（9800元）
○ 275/40 R19（4000元）"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,メイン ● / サブ ●,-,-,-
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-,-
被动安全,衝突安全,被动行人保护,歩行者保護(受動),●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,-,-,-
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,-,-,-
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● カスタム/パーソナライズ",-,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,-,"○ サスペンション硬さ調整（10000元）
○ サスペンション高さ調整","○ サスペンション硬さ調整（10000元）
○ サスペンション高さ調整","○ サスペンション硬さ調整（10000元）
○ サスペンション高さ調整",-,-,-
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,-,●,-,●,-,-,○ （1.2万元）,○ （1.2万元）,○ （1.2万元）,-,-,-
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,-,● 単室,-,● 単室,-,-,○ 単室,○ 単室,○ 単室,-,-,-
驾驶操控,ドライビングコントロール,整体主动转向系统,全体アクティブステアリングシステム,●,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,后轮转向角度(°),後輪操舵角度(°),● ±9,● ±9,● ±9,● ±9,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,-,-
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ","● 360度全方位カメラ
● 車側死角カメラ",-,-,-
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,-,-,-
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,● NVIDIA Orin-X,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,-,-,-
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,-,-,-
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,-,-,-
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,● RoboSense（速騰聚創）,-,-,-
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型番,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,● RS-LiDAR M1,-,-,-
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,-,-,-
驾驶硬件,運転ハードウェア,激光雷达线数,LiDARライン数,● 126ライン,● 126ライン,● 126ライン,● 126ライン,● 126ライン,● 126ライン,● 126ライン,● 126ライン,● 126ライン,-,-,-
驾驶硬件,運転ハードウェア,激光雷达点云数量,LiDAR点群数,● 78万点/秒,● 78万点/秒,● 78万点/秒,● 78万点/秒,● 78万点/秒,● 78万点/秒,● 78万点/秒,● 78万点/秒,● 78万点/秒,-,-,-
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検知距離,● 200m,● 200m,● 200m,● 200m,● 200m,● 200m,● 200m,● 200m,● 200m,-,-,-
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,-,-,-
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,● IM AD,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,-,-,-
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,-,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,-,-,-
