セクション,項目,夏 2026款 DM-i 1.5T 100KM 进取型,夏 2026款 DM-i 1.5T 100KM 超越型,夏 2026款 DM-i 1.5T 218KM 超越型,夏 2026款 DM-i 1.5T 218KM 卓越型,夏 2025款 DM-i 1.5T 100km 领航版
基本参数,最高车速(km/h),190,190,190,190,190
基本参数,WLTC综合油耗(L/100km),2.05,2.05,0.93,0.93,2.07
基本参数,最低荷电状态油耗(L/100km)WLTC,5.99,5.99,6.10,6.10,6.40
基本参数,最低荷电状态油耗(L/100km)NEDC,4.9,4.9,5.0,5.0,5.3
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,2.09
基本参数,油电综合燃料消耗量(L/100km),4.12,4.12,3.37,3.37,4.22
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2470,2470,2650,2650,2470
基本参数,最大满载质量(kg),3045,3045,3225,3225,3045
车身,长度(mm),5145,5145,5145,5145,5145
车身,宽度(mm),1970,1970,1970,1970,1970
车身,高度(mm),1805,1805,1805,1805,1805
车身,轴距(mm),3045,3045,3045,3045,3045
车身,前轮距(mm),1676,1676,1676,1676,1676
车身,后轮距(mm),1683,1683,1683,1683,1683
车身,最小离地间隙(mm),140,140,140,140,140
车身,接近角(°),14,14,14,14,14
车身,离去角(°),16,16,16,16,16
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7
车身,车身结构,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),50,50,50,50,50
车身,后备厢容积(L),470-2036,470-2036,470-2036,470-2036,470-2036
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB,BYD472ZQB
发动机,排量(mL),1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156,156
发动机,最大功率(kW),115,115,115,115,115
发动机,最大功率转速(rpm),-,-,-,-,-
发动机,最大扭矩(N·m),225,225,225,225,225
发动机,最大扭矩转速(rpm),-,-,-,-,-
发动机,最大净功率(kW),110,110,110,110,110
发动机,发动机特有技术,可变截面涡轮增压/中置式进气VVT/米勒循环/高压缩比/超低摩擦,可变截面涡轮增压/中置式进气VVT/米勒循环/高压缩比/超低摩擦,可变截面涡轮增压/中置式进气VVT/米勒循环/高压缩比/超低摩擦,可变截面涡轮增压/中置式进气VVT/米勒循环/高压缩比/超低摩擦,可变截面涡轮增压/中置式进气VVT/米勒循环/高压缩比/超低摩擦
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD,TZ210XYD
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),200,200,200,200,200
电动机,电动机总马力(Ps),272,272,272,272,272
电动机,电动机总扭矩(N·m),315,315,315,315,315
电动机,前电动机最大功率(kW),200,200,200,200,200
电动机,前电动机最大扭矩(N·m),315,315,315,315,315
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),85,85,160,160,80
电池/充电,CLTC纯电续航里程(km),100,100,218,218,100
电池/充电,电池能量(kWh),20.39,20.39,36.6,36.6,20.39
电池/充电,电池能量密度(Wh/kg),-,-,-,-,102
电池/充电,百公里耗电量(kWh/100km),17.8,17.8,21.0,21.0,18.5
电池/充电,快充功能,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),41,41,73,73,41
电池/充电,电池快充时间(小时),0.3,0.3,0.3,0.3,0.3
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),3.1,3.1,5.4,5.4,3.1
电池/充电,电池慢充电量范围(%),15-100,15-100,15-100,15-100,15-100
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 四连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18
车轮制动,后轮胎规格,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18,● 235/60 R18
车轮制动,备胎规格,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,-,-,● 主驾膝部气囊,● 主驾膝部气囊,● 主驾膝部气囊
被动安全,前排中间气囊,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,"● 前排
● 第二排","● 前排
● 第二排","● 前排
● 第二排",● 全车,"● 前排
● 第二排"
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,●,-
主动安全,DOW开门预警,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,-
主动安全,低速行车警告,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,● 英伟达 Orin-N,● 英伟达 Orin-N,● 英伟达 Orin-X,-
驾驶硬件,芯片总算力,-,● 84 TOPS,● 84 TOPS,● 254 TOPS,-
驾驶硬件,前方感知摄像头,● 单目,● 双目,● 双目,● 双目,● 三目
驾驶硬件,摄像头数量,● 5个,● 11个,● 11个,● 12个,● 12个
驾驶硬件,前方感知摄像头像素,-,● 800万,● 800万,● 800万,● 800万
驾驶硬件,车内摄像头数量,-,-,● 1个,● 1个,-
驾驶硬件,超声波雷达数量,-,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 5个
驾驶硬件,激光雷达数量,-,-,-,● 1个,-
驾驶硬件,前方最大探测距离,-,-,-,-,● 530米
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● DiPilot 100,● DiPilot 100,● DiPilot 300,● DiPilot 100
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 百度
驾驶功能,并线辅助,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●,●
驾驶功能,遥控泊车,-,●,●,●,●
驾驶功能,辅助变道,-,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,●
驾驶功能,信号灯识别,-,-,-,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,● 高速路段,● 高速路段,"● 城市路段
● 高速路段",● 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 双侧手动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,投影感应开启,-,-,-,"○ 后排车门
○ 后备厢",-
外观/防盗,电动后备厢,-,●,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,-,-,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,"● 电动天窗
● 不可开启全景天窗","● 电动天窗
● 不可开启全景天窗","● 电动天窗
● 不可开启全景天窗","● 电动天窗
● 不可开启全景天窗"
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
○ 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,副驾娱乐屏尺寸,-,-,-,○ 12.3英寸,-
互联/智能化,旋转大屏,-,-,-,-,●
互联/智能化,蓝牙/车载电话,●,●,●,●,●
互联/智能化,手机互联/映射,●,●,●,●,-
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗"
互联/智能化,语音助手唤醒词,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪,● 你好，小迪
互联/智能化,语音免唤醒词,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●
互联/智能化,车载智能系统,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
互联/智能化,后排液晶屏幕,-,-,-,●,-
互联/智能化,后排液晶屏幕尺寸,-,-,-,● 15.6英寸,-
互联/智能化,后排多媒体屏幕数量,-,-,-,● 1个,-
互联/智能化,后排控制多媒体,-,-,-,●,-
互联/智能化,车机系统内存(GB),● 12,● 12,● 12,● 16,● 12
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256
互联/智能化,车联网,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,-
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,车载KTV,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,●,●,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,●,-
方向盘/内后视镜,HUD抬头尺寸,-,-,-,● 26英寸,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,"● 自动防眩目
● 流媒体",● 手动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●
车内充电,多媒体/充电接口,"● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个
车内充电,220V/230V电源,-,-,-,●,-
车内充电,手机无线充电功能,-,-,● 前排,● 前排,-
车内充电,手机无线充电功率,-,-,● 50W,● 50W,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,"○ 真皮
● 仿皮",● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
● 按摩(仅驾驶位)","● 加热
● 通风
● 按摩
○ 头枕扬声器
● 头枕扬声器(仅驾驶位)",-
座椅配置,电动座椅记忆功能,-,-,-,"○ 驾驶位
○ 副驾驶位
● 后排",-
座椅配置,副驾驶位后排可调节按钮,-,-,-,●,-
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节"
座椅配置,第二排座椅电动调节,-,●,●,●,-
座椅配置,第二排座椅功能,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
● 按摩
● 头枕扬声器",-
座椅配置,后排小桌板,-,-,●,●,-
座椅配置,第二排独立座椅,●,●,●,●,●
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,第三排座椅电动调节,-,-,-,●,-
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,后排座椅电动放倒,-,-,-,●,-
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 12喇叭,● 12喇叭,● 12喇叭,"● 24喇叭
○ 28喇叭",● 12喇叭
音响/车内灯光,杜比全景声(Dolby Atmos),-,-,-,●,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,● 单色,● 多色,● 单色
音响/车内灯光,主动式环境氛围灯,-,-,-,●,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,○,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-
空调/冰箱,负离子发生器,-,-,-,○,-
空调/冰箱,车内香氛装置,-,-,-,○,-
空调/冰箱,空气质量监测,-,-,-,○,-
空调/冰箱,车载冰箱,-,-,●,●,-
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
选装包,舒享选装包,-,-,-,○ 选配 (16000元),-
