セクション,項目,奥迪Q2L 2025款 35TFSI 进取动感型,奥迪Q2L 2025款 35TFSI 时尚动感型,奥迪Q2L 2024款 改款 35TFSI 进取致雅型,奥迪Q2L 2024款 改款 35TFSI 进取动感型,奥迪Q2L 2024款 改款 35TFSI 时尚致雅型,奥迪Q2L 2024款 改款 35TFSI 时尚动感型,奥迪Q2L 2024款 改款 35 TFSI RS套件燃速型,奥迪Q2L 2024款 改款 35TFSI 豪华致雅型,奥迪Q2L 2024款 改款 35TFSI 豪华动感型
驾驶操控,驾驶模式切换,"● 运动
○ 经济 (500元)
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济 (500元)
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化","● 运动
○ 经济
○ 标准/舒适
○ 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,○ 倒车影像 (2500元),● 倒车影像,○ 倒车影像 (2500元),○ 倒车影像 (2500元),● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,○ 单目,● 单目,-,-,-,-,-,-,-
驾驶硬件,摄像头数量,"● 1个
○ 2个",● 2个,○ 1个,○ 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,"● 8个
○ 12个","● 8个
○ 12个",● 8个,● 8个,● 8个,● 8个,● 8个,● 8个,● 8个
驾驶功能,巡航系统,"● 定速巡航
○ 自适应巡航 (9000元)",● 自适应巡航,"● 定速巡航
○ 全速自适应巡航 (9000元)","● 定速巡航
○ 全速自适应巡航 (9000元)","● 定速巡航
○ 全速自适应巡航 (9000元)","● 定速巡航
○ 全速自适应巡航 (9000元)","● 定速巡航
○ 全速自适应巡航 (9000元)","● 定速巡航
○ 全速自适应巡航 (9000元)","● 定速巡航
○ 全速自适应巡航 (9000元)"
驾驶功能,倒车车侧预警系统,○,○,○,○,○,○,○,○,○
驾驶功能,卫星导航系统,○,●,○,○,○,○,○,●,●
驾驶功能,导航路况信息显示,○,●,○,○,○,○,○,●,●
驾驶功能,并线辅助,○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元),○ (5000元)
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元),○ (2500元)
外观/防盗,外观套件,● 运动风格,● 运动风格,-,● 运动风格,-,● 运动风格,● 运动风格,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,●,●,○ (3000元),○ (3000元),●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,○,○,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,○,●,○,○,●,●,●,●,●
外观/防盗,无钥匙进入功能,○ 前排 (3000元),● 前排,○ 前排 (3000元),○ 前排 (3000元),● 前排,● 前排,● 前排,● 前排,● 前排
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,○,○,○,○,○,○,○,○,○
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,前大灯雨雾模式,●,●,●,●,●,●,●,●,●
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●
天窗/玻璃,后排侧隐私玻璃,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元)
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
○ 电动折叠 (1000元)
● 后视镜加热
○ 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
○ 电动折叠 (1000元)
● 后视镜加热
○ 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
○ 电动折叠 (1000元)
● 后视镜加热
○ 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠
○ 自动防眩目 (1000元)","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠
○ 自动防眩目 (1000元)"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,"● 普通液晶屏
○ 触控液晶屏","● 普通液晶屏
○ 触控液晶屏","● 普通液晶屏
○ 触控液晶屏","● 普通液晶屏
○ 触控液晶屏",● 普通液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 8.8英寸,● 8.8英寸,"● 7英寸
○ 8.3英寸","● 7英寸
○ 8.3英寸","● 7英寸
○ 8.3英寸","● 7英寸
○ 8.3英寸","● 7英寸
○ 8.3英寸",● 8.3英寸,● 8.3英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay
互联/智能化,语音识别控制系统,"● 多媒体系统
○ 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
○ 导航
● 电话","● 多媒体系统
○ 导航
● 电话","● 多媒体系统
○ 导航
● 电话","● 多媒体系统
○ 导航
● 电话","● 多媒体系统
○ 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话"
互联/智能化,车载智能系统,○ 奥迪Connect,● 奥迪Connect,○ 奥迪Connect,○ 奥迪Connect,○ 奥迪Connect,○ 奥迪Connect,○ 奥迪Connect,● 奥迪Connect,● 奥迪Connect
互联/智能化,车载CD/DVD,-,-,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD,● 单碟CD
互联/智能化,触屏振动反馈,●,●,●,●,●,●,●,●,●
互联/智能化,车联网,○,●,○,○,○,○,○,●,●
互联/智能化,4G/5G网络,○ 4G,● 4G,○ 4G,○ 4G,○ 4G,○ 4G,○ 4G,● 4G,● 4G
互联/智能化,OTA升级,-,-,-,-,-,-,-,-,-
互联/智能化,Wi-Fi热点,○,●,○,○,○,○,○,●,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元)
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,"● 单色
○ 彩色 (2500元)","● 单色
○ 彩色 (2500元)","● 单色
○ 彩色 (2500元)","● 单色
○ 彩色 (2500元)","● 单色
○ 彩色 (2500元)",● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,○ (6200元),○ (6200元),○ (6200元),○ (6200元),○ (6200元),●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,○ 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,"● 手动防眩目
○ 自动防眩目 (1500元)","● 手动防眩目
○ 自动防眩目 (1500元)","● 手动防眩目
○ 自动防眩目 (1500元)","● 手动防眩目
○ 自动防眩目 (1500元)","● 手动防眩目
○ 自动防眩目 (1500元)","● 手动防眩目
○ 自动防眩目 (1500元)","● 手动防眩目
○ 自动防眩目 (1500元)",● 自动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元),○ (500元)
车内充电,多媒体/充电接口,"● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD"
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,运动风格座椅,●,●,●,●,●,●,●,●,●
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)
○ 高低调节(4向)
○ 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ○ /副 ○ (4500元),主 ○ /副 ○ (4500元),主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元),○ 加热 (2000元)
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),○ SONOS (6000元),● SONOS,● SONOS
音响/车内灯光,扬声器数量,"● 8喇叭
○ 14喇叭","● 8喇叭
○ 14喇叭","● 8喇叭
○ 14喇叭","● 8喇叭
○ 14喇叭","● 8喇叭
○ 14喇叭","● 8喇叭
○ 14喇叭","● 8喇叭
○ 14喇叭",● 14喇叭,● 14喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色
空调/冰箱,空调温度控制方式,"● 手动空调
○ 自动空调 (3000元)",● 自动空调,"● 手动空调
○ 自动空调 (3000元)","● 手动空调
○ 自动空调 (3000元)",● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,○,●,○,○,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,○ (350元),●,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–
