セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T 2WD 尊享ハイブリッド版,2025年モデル 1.5T 2WD 尊雅ハイブリッド版,2025年モデル 2.0T 2WD 尊悦版,2025年モデル 2.0T 2WD 尊享版,2025年モデル 2.0T 2WD 尊雅版,2025年モデル 2.0T 4WD 尊耀版,2024年モデル 2.0T 2WD 尊悦版,2024年モデル 2.0T 2WD 尊享版,2024年モデル 2.0T 2WD 尊雅版,2024年モデル 2.0T 4WD 尊耀版,2024年モデル 1.5T 2WD 尊享ハイブリッド版,2024年モデル 1.5T 2WD 尊雅ハイブリッド版,2024年モデル 1.5T 2WD 木蘭特別ハイブリッド版
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,マニュアルモード付AT,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,-,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,-,-
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,-,-,-,● 多板クラッチ,-,-,-,● 多板クラッチ,-,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 245/45 R20タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 245/45 R20タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 245/45 R20タイヤ,● 225/60 R18タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 245/45 R20タイヤ,● 225/60 R18タイヤ,● 225/55 R19タイヤ,● 225/55 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー","● スポーツ
● エコ
● 標準／コンフォート
● スノー"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,●,●,●,●,●,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,-,● サスペンション硬さ調整機能,-,-,-,● サスペンション硬さ調整機能,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席● / 後席●,前席● / 後席●,前／後●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前／後●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 2個,● 2個,● 2個,● 2個,● 5個,● 2個,● 2個,● 2個,● 5個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 8個,● 4個,● 8個,● 8個,● 12個,● 4個,● 8個,● 8個,● 12個,● 8個,● 8個,● 8個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 3個,-,-,● 3個,● 5個,-,-,● 3個,● 5個,-,● 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● Co-pilot360 2.1,-,-,● Co-pilot360 2.1,● Co-pilot360 2.1,-,-,● Co-pilot360 2.1,● Co-pilot360 2.1,-,● Co-pilot360 2.1,● Co-pilot360 2.1
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2（L2）,-,-,● レベル2（L2）,● レベル2（L2）,-,-,● レベル2（L2）,● レベル2（L2）,-,● レベル2（L2）,● レベル2（L2）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,-,-,●,●,-,-,●,●,-,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●
