セクション,項目,零跑A10 2026款 403舒享版,零跑A10 2026款 403悦享版,零跑A10 2026款 505悦享版,零跑A10 2026款 505激光雷达版
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,DOW开门预警,-,-,-,●
主动安全,前方碰撞预警,-,●,●,●
主动安全,后方碰撞预警,-,-,-,●
主动安全,哨兵模式/千里眼,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
主动安全,防侧翻系统,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,"● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,辅助驾驶芯片,-,-,-,● 高通骁龙8650
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 双目
驾驶硬件,摄像头数量,● 4个,● 5个,● 5个,● 11个
驾驶硬件,前方感知摄像头像素,-,● 200万,● 200万,● 800万
驾驶硬件,环境感知摄像头像素,-,-,-,● 300万
驾驶硬件,环视摄像头像素,● 130万,● 130万,● 130万,● 300万
驾驶硬件,超声波雷达数量,● 4个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,-,-,● 3个
驾驶硬件,激光雷达品牌,-,-,-,● HESAI禾赛科技
驾驶硬件,激光雷达数量,-,-,-,● 1个
驾驶硬件,激光雷达线数,-,-,-,● 128线
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,-,● Leapmotor Pilot
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,-,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,●
驾驶功能,车道保持辅助系统,-,●,●,●
驾驶功能,车道居中保持,-,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●
驾驶功能,辅助泊车入位,-,●,●,●
驾驶功能,遥控泊车,-,-,-,●
驾驶功能,记忆泊车,-,-,-,●
驾驶功能,循迹倒车,-,-,-,●
驾驶功能,辅助变道,-,-,-,●
驾驶功能,辅助匝道自动驶出(入),-,-,-,●
驾驶功能,方向盘离手检测,-,●,●,●
驾驶功能,起步提醒,-,●,●,●
驾驶功能,辅助驾驶路段,-,-,-,"● 城市路段
● 高速路段"
外观/防盗,轮圈材质,"● 钢
○ 铝合金 (2000元)","● 钢
○ 铝合金 (2000元)","● 钢
○ 铝合金 (2000元)",● 铝合金
外观/防盗,电动后备厢,-,●,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 机械钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,电池预加热,●,●,●,●
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,-,-,-,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
车外灯光,辅助驾驶灯,-,-,-,●
天窗/玻璃,天窗类型,-,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
○ 电动折叠
● 后视镜加热
○ 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,蓝牙/车载电话,●,●,●,●
互联/智能化,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热"
互联/智能化,语音助手唤醒词,● 你好，小零,● 你好，小零,● 你好，小零,● 你好，小零
互联/智能化,语音免唤醒词,-,-,-,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,● 双区域
互联/智能化,语音连续识别,-,-,-,●
互联/智能化,可见即可说,-,-,-,●
互联/智能化,应用商店,●,●,●,●
互联/智能化,车载智能系统,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS
互联/智能化,车机智能芯片,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8155P,● 高通骁龙8295P
互联/智能化,车联网,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 充电管理
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,车载KTV,-,-,-,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●
方向盘/内后视镜,方向盘加热,-,○,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,● 8.8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个,● 前排2个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,-,-,-,-
车内充电,行李厢12V电源接口,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,主 ● /副-,主 ● /副-
座椅配置,前排座椅功能,-,● 加热,● 加热,● 加热
座椅配置,电动座椅记忆功能,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-
座椅配置,后排小桌板,-,●,●,●
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 12喇叭
音响/车内灯光,车内环境氛围灯,-,● 256色,● 256色,● 256色
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,悦享套装,-,○ 选配 (2000元),-,-
