セクション,項目,坦克500新能源 2026款 Hi4-T,坦克500新能源 2026款 Hi4-T 智享版,坦克500新能源 2026款 Hi4-Z 智享版,坦克500新能源 2026款 Hi4-T 黑武士,坦克500新能源 2026款 Hi4-Z 黑武士
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,中控屏幕分辨率,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,蓝牙/车载电话,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 座椅加热
● 座椅通风"
互联/智能化,语音助手唤醒词,● 坦克坦克,● 坦克坦克,● 坦克坦克,● 坦克坦克,● 坦克坦克
互联/智能化,语音免唤醒词,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●
互联/智能化,手势控制,-,●,●,●,●
互联/智能化,声纹识别,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●
互联/智能化,车载智能系统,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS
互联/智能化,后排液晶屏幕,-,●,●,●,●
互联/智能化,后排液晶屏幕尺寸,● 7英寸,"● 7英寸
● 17.3英寸","● 7英寸
● 17.3英寸","● 7英寸
● 17.3英寸","● 7英寸
● 17.3英寸"
互联/智能化,后排液晶屏幕分辨率,-,● 3K,● 3K,● 3K,● 3K
互联/智能化,后排多媒体屏幕数量,● 1个,● 2个,● 2个,● 2个,● 2个
互联/智能化,后排控制多媒体,●,●,●,●,●
互联/智能化,车机系统内存(GB),● 24,● 24,● 24,● 24,● 24
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,● 256,● 256
互联/智能化,多指飞屏操控,-,●,●,●,●
互联/智能化,车联网,●,●,●,●,●
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,OTA升级,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修"
互联/智能化,主动降噪,●,●,●,●,●
互联/智能化,车载KTV,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,●,●,-,●,-
方向盘/内后视镜,方向盘加热,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,HUD抬头数字显示,●,●,●,●,●
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
○ 流媒体","● 自动防眩目
○ 流媒体","● 自动防眩目
○ 流媒体","● 自动防眩目
○ 流媒体","● 自动防眩目
○ 流媒体"
方向盘/内后视镜,ETC装置,●,●,●,●,●
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,220V/230V电源,●,●,●,●,●
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,行李厢12V电源接口,●,●,●,●,●
座椅配置,座椅材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩(仅驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)
○ 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)
○ 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)
○ 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩(仅驾驶位)
○ 按摩(仅副驾驶位)
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅功能,"● 加热
● 通风","● 加热
● 通风
○ 按摩","● 加热
● 通风
○ 按摩","● 加热
● 通风
○ 按摩","● 加热
● 通风
○ 按摩"
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 14喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●,●
空调/冰箱,车载冰箱,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
选装包,户外休闲包,○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元),○ 选配 (3000元)
选装包,科技包,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元)
选装包,19寸空气动力学轮毂,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),-,-
选装包,18寸轮毂+全地形轮胎,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),-,-
选装包,20寸商务轮毂,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),-,-
选装包,座椅按摩包,-,○ 选配 (8000元),○ 选配 (8000元),○ 选配 (8000元),○ 选配 (8000元)
