セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Max 後輪駆動 37kWh（896ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 53kWh（896ラインレーザーレーダー）,2026年モデル 増程 Ultra 後輪駆動 53kWh（896ラインレーザーレーダー）,2026年モデル 純電 Max 後輪駆動 100kWh（896ラインレーザーレーダー）,2026年モデル 純電 Max 4WD 100kWh（896ラインレーザーレーダー）,2026年モデル 純電 Ultra 4WD 100kWh（896ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 37kWh（192ラインレーザーレーダー）,2026年モデル 増程 Max 後輪駆動 53kWh（192ラインレーザーレーダー）,2026年モデル 純電 Max 後輪駆動 100kWh（192ラインレーザーレーダー）,2026年モデル 増程 Ultra 後輪駆動 53kWh（192ラインレーザーレーダー）,2026年モデル 純電 Max 4WD 100kWh（192ラインレーザーレーダー）,2026年モデル 純電 Ultra 4WD 100kWh（192ラインレーザーレーダー）
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,30-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),227,227,227,227,385,385,227,227,227,227,385,385
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,320,396,673,673,320,320,396,320,673,673
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,-,-,-,レンジエクステンダー 160馬力,レンジエクステンダー 160馬力,-,レンジエクステンダー 160馬力,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),309,309,309,309,524,524,309,309,309,309,524,524
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）,5160×2005×1492（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.16,7.35,7.35,6,3.92,3.92,7.16,7.35,6,7.35,3.92,3.92
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),204,202,202,210,210,210,204,202,210,202,210,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.43,0.24,0.24,-,-,-,0.43,0.24,-,0.24,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.85,5.85,5.85,-,-,-,5.85,5.85,-,5.85,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,1.53,1.73,1.73,-,-,1.53,-,1.73,1.73
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.53,2.34,2.34,-,-,-,2.53,2.34,-,2.34,-,-
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2357,2375,2375,2298,2414,2414,2357,2375,2298,2375,2414,2414
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2762,2780,2780,2703,2819,2819,2762,2780,2703,2780,2819,2819
车身,車体,长度(mm),全長(mm),5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160
车身,車体,宽度(mm),全幅(mm),2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005
车身,車体,高度(mm),全高(mm),1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492
车身,車体,轴距(mm),ホイールベース(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
车身,車体,前轮距(mm),前トレッド(mm),1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
车身,車体,后轮距(mm),後トレッド(mm),1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15,15,15,15,15,15
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）
车身,車体,油箱容积(L),燃料タンク容量(L),52,52,52,-,-,-,52,52,-,52,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,38,38,38,-,-,38,-,38,38
车身,車体,后备厢容积(L),リアトランク容量(L),375,375,375,375,375,375,375,375,375,375,375,375
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193
发动机,エンジン,发动机型号,エンジン型式,A156T2H（型式）,A156T2H（型式）,A156T2H（型式）,-,-,-,A156T2H（型式）,A156T2H（型式）,-,A156T2H（型式）,-,-
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,-,-,-,1498,1498,-,1498,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,-,-,-,1.5,1.5,-,1.5,-,-
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-,-,ターボチャージャー付き,ターボチャージャー付き,-,ターボチャージャー付き,-,-
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,-,-,-,横置きエンジン,横置きエンジン,-,横置きエンジン,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,-,-,-,L,L,-,L,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,-,-,-,4,4,-,4,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,-,-,-,4,4,-,4,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,DOHC（ダブルオーバーヘッドカムシャフト）,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,-,-,-,160,160,-,160,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,-,-,-,118,118,-,118,-,-
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大純出力(kW),115,115,115,-,-,-,115,115,-,115,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,純電動,レンジエクステンダー式,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,-,-,-,92オクタンガソリン,92オクタンガソリン,-,92オクタンガソリン,-,-
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,-,-,-,直噴,直噴,-,直噴,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,-,アルミ合金,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,アルミ合金,アルミ合金,-,アルミ合金,-,-
发动机,エンジン,环保标准,環境基準,国VI（排ガス基準）,国VI（排ガス基準）,国VI（排ガス基準）,-,-,-,国VI（排ガス基準）,国VI（排ガス基準）,-,国VI（排ガス基準）,-,-
电动机,モーター,后电动机品牌,リアモーター ブランド,-,-,-,ファーウェイ技術,ファーウェイ技術,ファーウェイ技術,-,-,ファーウェイ技術,-,ファーウェイ技術,ファーウェイ技術
电动机,モーター,前电动机型号,フロントモーター 型式,-,-,-,-,YS210XYA03（型式）,YS210XYA03（型式）,-,-,-,-,YS210XYA03（型式）,YS210XYA03（型式）
电动机,モーター,后电动机型号,リアモーター 型式,TZ210XYAP4（型式）,TZ210XYAP4（型式）,TZ210XYAP4（型式）,TZ210XYA03（型式）,TZ210XYA03（型式）,TZ210XYA03（型式）,TZ210XYAP4（型式）,TZ210XYAP4（型式）,TZ210XYA03（型式）,TZ210XYAP4（型式）,TZ210XYA03（型式）,TZ210XYA03（型式）
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,前：誘導式/非同期、後：永久磁石同期モーター,前：誘導式/非同期、後：永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,前：誘導式/非同期、後：永久磁石同期モーター,前：誘導式/非同期、後：永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),227,227,227,227,385,385,227,227,227,227,385,385
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),309,309,309,309,524,524,309,309,309,309,524,524
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),320,320,320,396,673,673,320,320,396,320,673,673
电动机,モーター,前电动机最大功率(kW),フロントモーター最大出力(kW),-,-,-,-,158,158,-,-,-,-,158,158
电动机,モーター,前电动机最大扭矩(N·m),フロントモーター最大トルク(N·m),-,-,-,-,277,277,-,-,-,-,277,277
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),227,227,227,227,227,227,227,227,227,227,227,227
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),320,320,320,396,396,396,320,320,396,320,396,396
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,前後置き,前後置き,後置,後置,後置,後置,前後置き,前後置き
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（四川時代）製,● CATL（四川時代）製,● CATL（四川時代）製,● CATL（江蘇時代）製,● CATL（江蘇時代）製,● CATL（江蘇時代）製,● CATL（四川時代）製,● CATL（四川時代）製,● CATL（江蘇時代）製,● CATL（四川時代）製,● CATL（江蘇時代）製,● CATL（江蘇時代）製
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,-,-,-,ジアジン電池,ジアジン電池,ジアジン電池,-,-,ジアジン電池,-,ジアジン電池,ジアジン電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),208,292,292,-,-,-,208,292,-,292,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),260,372,372,816,721,721,260,372,816,372,721,721
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1108,1192,1192,-,-,-,1108,1192,-,1192,-,-
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1275,1378,1378,-,-,-,1275,1378,-,1378,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),37,53.4,53.4,100,100,100,37,53.4,100,53.4,100,100
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),18.1,18.1,18.1,13.2,14.9,14.9,18.1,18.1,13.2,18.1,14.9,14.9
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,-,-,-,対応,対応,対応,-,-,対応,-,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,-,-,-,800,800,800,-,-,800,-,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,30-80,30-80,30-80,20-80,20-80,30-80,20-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,-,● 電動四輪駆動,● 電動四輪駆動,-,-,-,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架,● ダブルウィッシュボーン独立懸架
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架,● マルチリンク独立懸架
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）","● 245/45 R20
○ 255/40 R21（15,000元オプション）
○ 255/45 R20（6,000元オプション）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20","● 245/45 R20
○ 255/40 R21
○ 255/45 R20"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●,主：● / 副：●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●,前：● / 後：●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●
