セクション,項目,捷途山海L7 PLUS 2026款 121km 标准版 5座,捷途山海L7 PLUS 2026款 121km 舒适版 5座,捷途山海L7 PLUS 2026款 121km 豪华版 5座,捷途山海L7 PLUS 2026款 121km 豪华版 7座,捷途山海L7 PLUS 2026款 220km 精英版 5座,捷途山海L7 PLUS 2026款 220km 精英版 7座,捷途山海L7 PLUS 2026款 220km 豪华版 5座,捷途山海L7 PLUS 2026款 220km 豪华版 7座,捷途山海L7 PLUS 2026款 220km 旗舰版 5座,捷途山海L7 PLUS 2026款 220km 旗舰版 7座
基本参数,电动机(Ps),204,204,204,204,204,204,204,204,204,204
基本参数,长*宽*高(mm),4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705,4810*1930*1705
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.33,1.33,1.33,1.33,0.75,0.75,0.75,0.75,0.75,0.75
基本参数,最低荷电状态油耗(L/100km)WLTC,5.18,5.18,5.18,5.18,5.25,5.25,5.25,5.25,5.25,5.25
基本参数,油电综合燃料消耗量(L/100km),3.36,3.36,3.36,3.36,3.04,3.04,3.04,3.04,3.04,3.04
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1918,1918,1918,1972,1987,2043,1987,2043,2000,2055
基本参数,最大满载质量(kg),2525,2525,2525,2655,2525,2655,2525,2655,2525,2655
车身,长度(mm),4810,4810,4810,4810,4810,4810,4810,4810,4810,4810
车身,宽度(mm),1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
车身,高度(mm),1705,1705,1705,1705,1705,1705,1705,1705,1705,1705
车身,轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
车身,前轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
车身,接近角(°),20,20,20,20,20,20,20,20,20,20
车身,离去角(°),18,18,18,18,18,18,18,18,18,18
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 7,● 5,● 7,● 5,● 7,● 5,● 7
车身,油箱容积(L),70,70,70,70,70,70,70,70,70,70
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15,SQRH4J15
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),156,156,156,156,156,156,156,156,156,156
发动机,最大功率(kW),115,115,115,115,115,115,115,115,115,115
发动机,最大功率转速(rpm),5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
发动机,最大扭矩(N·m),220,220,220,220,220,220,220,220,220,220
发动机,最大扭矩转速(rpm),2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
发动机,最大净功率(kW),105,105,105,105,105,105,105,105,105,105
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0,KPTZ220YMDA0
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),150,150,150,150,150,150,150,150,150,150
电动机,电动机总马力(Ps),204,204,204,204,204,204,204,204,204,204
电动机,电动机总扭矩(N·m),310,310,310,310,310,310,310,310,310,310
电动机,前电动机最大功率(kW),150,150,150,150,150,150,150,150,150,150
电动机,前电动机最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310
电动机,系统综合功率(kW),265,265,265,265,265,265,265,265,265,265
电动机,系统综合马力(Ps),360,360,360,360,360,360,360,360,360,360
电动机,系统综合扭矩(N·m),530,530,530,530,530,530,530,530,530,530
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),95,95,95,95,167,167,167,167,167,167
电池/充电,CLTC纯电续航里程(km),121,121,121,121,220,220,220,220,220,220
电池/充电,CLTC综合续航(km),1630,1630,1630,1630,1700,1700,1700,1700,1700,1700
电池/充电,电池能量(kWh),18.67,18.67,18.67,18.67,32.66,32.66,32.66,32.66,32.66,32.66
电池/充电,百公里耗电量(kWh/100km),17.5,17.5,17.5,17.5,19.7,19.7,19.7,19.7,19.7,19.7
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),41,41,41,41,75,75,75,75,75,75
电池/充电,电池快充时间(小时),0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,"● 235/55 R19
○ 235/50 R20"
车轮制动,后轮胎规格,● 235/60 R18,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,"● 235/55 R19
○ 235/50 R20"
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,●,●,-,-,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,●,-,-,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,-,-,-,-,-,-,-,-,○
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,-,-,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 双目,● 双目,● 单目,● 单目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 5个,● 5个,● 7个,● 7个,● 5个,● 5个,● 7个,● 7个,● 7个,● 7个
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 12个,● 12个,● 4个,● 4个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,-,● 3个,● 3个,-,-,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,● 猎鹰500,● 猎鹰500,-,-,● 猎鹰500,● 猎鹰500,● 猎鹰500,● 猎鹰500
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,●,-,-,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,-,-,●,●,-,-,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,-,-,●,●,-,-,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,●,-,-,●,●,●,●
驾驶功能,遥控泊车,-,-,●,●,-,-,●,●,●,●
驾驶功能,记忆泊车,-,-,●,●,-,-,●,●,●,●
驾驶功能,循迹倒车,-,-,●,●,-,-,●,●,●,●
驾驶功能,辅助变道,-,-,●,●,-,-,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,●,●,-,-,●,●,●,●
驾驶功能,信号灯识别,-,-,●,●,-,-,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段",-,-,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,投影感应开启,-,-,-,-,-,-,-,-,● 后备厢,● 后备厢
外观/防盗,电动后备厢,-,●,●,●,●,●,●,●,●,●
外观/防盗,感应后备厢,-,-,-,-,-,-,-,-,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,-,-,●,●,-,-,●,●,●,●
天窗/玻璃,天窗类型,-,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
○ 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸,● 15.6英寸
互联/智能化,向日葵旋转屏,-,-,-,-,-,-,-,-,●,●
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持HUAWEI HiCar"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗"
互联/智能化,语音助手唤醒词,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷,● 你好，小捷
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 双区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS,● TOUR OS
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●
