セクション,項目,五菱宏光新能源 2025款 增程式混动 50KM 实用型,五菱宏光新能源 2025款 增程式混动 50KM 标准型,五菱宏光新能源 2025款 增程式混动 50KM 舒适型,五菱宏光新能源 2025款 增程式混动 150KM 标准型,五菱宏光新能源 2025款 增程式混动 150KM 舒适型,五菱宏光新能源 2024款 纯电版 300KM 实用型,五菱宏光新能源 2024款 纯电版 300KM 标准型
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,最高车速(km/h),135,135,135,135,135,135,135
基本参数,WLTC综合油耗(L/100km),2.42,2.42,2.42,1.75,1.75,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,5.18,5.18,5.18,5.20,5.20,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,4.3,4.3,4.3,4.3,4.3,-,-
基本参数,油电综合燃料消耗量(L/100km),3.89,3.89,3.89,3.48,3.48,-,-
基本参数,整车质保,-,-,-,-,-,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1400,1400,1430,1450,1490,1275,1275
基本参数,最大满载质量(kg),1990,1990,1990,2060,2060,1850,1850
车身,长度(mm),4515,4515,4515,4515,4515,4515,4515
车身,宽度(mm),1725,1725,1725,1725,1725,1725,1725
车身,高度(mm),1790,1790,1790,1785,1785,1790,1790
车身,轴距(mm),2850,2850,2850,2850,2850,2850,2850
车身,前轮距(mm),1485,1485,1485,1485,1485,1485,1485
车身,后轮距(mm),1500,1500,1500,1500,1500,1500,1500
车身,接近角(°),20,20,20,18,18,20,20
车身,离去角(°),25,25,25,23,23,25,25
车身,车身结构,客车,客车,客车,客车,客车,客车,客车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 7,● 5,● 7,● 5/6,● 5/6
车身,油箱容积(L),55,55,55,55,55,-,-
车身,后备厢容积(L),-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,LBH,LBH,LBH,LBH,LBH,-,-
发动机,排量(mL),1498,1498,1498,1498,1498,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,-,-
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-
发动机,气缸排列形式,L,L,L,L,L,-,-
发动机,气缸数(个),4,4,4,4,4,-,-
发动机,每缸气门数(个),4,4,4,4,4,-,-
发动机,配气机构,-,-,-,-,-,-,-
发动机,最大马力(Ps),99,99,99,99,99,-,-
发动机,最大功率(kW),73,73,73,73,73,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-
发动机,最大扭矩(N·m),125,125,125,125,125,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-
发动机,最大净功率(kW),70,70,70,70,70,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,增程式,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,92号,-,-
发动机,供油方式,-,-,-,-,-,-,-
发动机,缸盖材料,-,-,-,-,-,-,-
发动机,缸体材料,-,-,-,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,-,-
电动机,后电动机品牌,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克,柳州赛克
电动机,后电动机型号,TZ180XS375,TZ180XS375,TZ180XS375,TZ180XS375,TZ180XS375,TZ180XS375,TZ180XS375
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),75,75,75,75,75,75,75
电动机,电动机总马力(Ps),102,102,102,102,102,102,102
电动机,电动机总扭矩(N·m),180,180,180,180,180,180,180
电动机,后电动机最大功率(kW),75,75,75,75,75,75,75
电动机,后电动机最大扭矩(N·m),180,180,180,180,180,180,180
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 广西宁福,● 广西宁福,● 广西宁福,"● 国轩高科
● 赛克瑞浦","● 国轩高科
● 赛克瑞浦","● 国轩高科
● 赛克瑞浦","● 国轩高科
● 赛克瑞浦"
电池/充电,WLTC纯电续航里程(km),-,-,-,110,110,-,-
电池/充电,CLTC纯电续航里程(km),50,50,50,150,150,300,300
电池/充电,NEDC综合续航(km),1000,1000,1000,1150,1150,-,-
电池/充电,电池能量(kWh),8.5,8.5,8.5,18.8,18.8,32.6,32.6
电池/充电,百公里耗电量(kWh/100km),12.7,12.7,12.7,14.9,14.9,-,-
电池/充电,快充功能,支持,支持,支持,支持,支持,-,-
电池/充电,电池快充时间(小时),0.5,0.5,0.5,-,-,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,-,-,30-80,30-80
电池/充电,电池慢充时间(小时),-,-,-,6.3,6.3,9.8,9.8
电池/充电,电池慢充电量范围(%),-,-,-,20-100,20-100,20-100,20-100
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,-,-,-,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14
车轮制动,后轮胎规格,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14,● 185/70 R14
车轮制动,备胎规格,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,-,主 ● /副-,主 ● /副 ●,主 ● /副-,主 ● /副 ●,-,主 ● /副-
被动安全,前/后排侧气囊,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,-,-,-,-,-,-,-
主动安全,ISOFIX儿童座椅接口,-,-,-,-,-,-,-
主动安全,车道偏离预警系统,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,-,-,前-/后 ●,-,前-/后 ●,-,-
驾驶硬件,驾驶辅助影像,-,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,● 倒车影像
驾驶功能,巡航系统,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 铁,● 铁,● 铁,● 铁,● 铁,● 铁,● 铁
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,-,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-,-,-,-
外观/防盗,电池预加热,-,-,-,-,-,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,-,-,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,-,-,-,-,-,-,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,● 电动调节,-,● 电动调节,-,-
互联/智能化,中控彩色屏幕,-,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,● 触控液晶屏
互联/智能化,中控屏幕尺寸,-,● 8英寸,● 8英寸,● 8英寸,● 8英寸,-,● 8英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,-,-,-,-,-,-,-
互联/智能化,语音识别控制系统,-,-,-,-,-,-,-
互联/智能化,车联网,-,-,-,-,-,-,-
互联/智能化,OTA升级,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,-,-,-,-,-,-,-
方向盘/内后视镜,换挡形式,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡,● 电子式旋钮换挡
方向盘/内后视镜,多功能方向盘,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,●,●,●,●,●,●,●
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个
车内充电,手机无线充电功能,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,"● 前后调节
● 靠背调节",-,"● 前后调节
● 靠背调节",-,-
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒,● 整体放倒
座椅配置,前/后中央扶手,-,-,-,-,-,-,-
座椅配置,后排杯架,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭,● 2喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,●,●,●,●,-,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-
