セクション,セクション_ja,項目,項目_ja,2026年モデル 310km バス標準型,Unnamed 3
变速箱,トランスミッション,挡位个数,段数,1,–
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,–
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,–
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,–
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● リーフスプリング非独立サスペンション,–
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,–
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック,–
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ディスク式,–
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,–
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,-,–
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 185/70 R14,–
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 185/70 R14,–
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,–
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席,–
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,–
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,–
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,–
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,–
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,–
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,●,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,-,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,-,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,–
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前-/後 ●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,–
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,–
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,–
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,-,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,–
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼製,–
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● マニュアル,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,–
车外灯光,外部照明,自动头灯,オートヘッドライト,-,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● / 後,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,-,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,-,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,-,–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,-,–
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,–
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 8インチ,–
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,–
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,-,–
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,-,–
互联/智能化,コネクティビティ/スマート機能,车联网,車載通信システム,-,–
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,-,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,●,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,-,–
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,-,–
座椅配置,シート装備,座椅材质,シート素材,● 布製,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 背もたれ調整,–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,–
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,-,–
座椅配置,シート装備,后排杯架,後席カップホルダー,-,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● マニュアルエアコン,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,–
