セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 1380 PLUS,2026年モデル 増程 1330 Max,2026年モデル 増程 1330 Ultra SE,2026年モデル 純電 550 PLUS,2026年モデル 純電 650 PLUS,2026年モデル 純電 525 Max,2026年モデル 純電 625 Max,2026年モデル 純電 525 Ultra SE,2026年モデル 純電 625 Ultra SE
基本参数,基本仕様,最大功率(kW),最大出力(kW),183,183,183,183,183,183,183,183,183
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),280,280,280,280,280,280,280,280,280
基本参数,基本仕様,变速箱,トランスミッション,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 95馬力,レンジエクステンダー 95馬力,レンジエクステンダー 95馬力,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),249,249,249,249,249,249,249,249,249
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）,4650×1920×1600（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.8,6.8,6.8,7.5,6.6,7.5,6.6,7.5,6.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.28,0.3,0.3,-,-,-,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.96,5.16,5.16,-,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,1.34,1.37,1.38,1.44,1.38,1.44
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),2.06,2.13,2.13,-,-,-,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証,● 5年または12万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1935,1940,1940,1855,1920,1855,1920,1855,1920
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2375,2375,2375,2295,2360,2295,2360,2295,2360
车身,車体,长度(mm),全長(mm),4650,4650,4650,4650,4650,4650,4650,4650,4650
车身,車体,宽度(mm),全幅(mm),1920,1920,1920,1920,1920,1920,1920,1920,1920
车身,車体,高度(mm),全高(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,車体,轴距(mm),ホイールベース(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850
车身,車体,前轮距(mm),前トレッド(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640
车身,車体,后轮距(mm),後トレッド(mm),1658,1658,1658,1658,1658,1658,1658,1658,1658
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21,21,21,21,21,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),42,42,42,-,-,-,-,-,-
车身,車体,前备厢容积(L),フロントトランク容量(L),-,-,-,102,102,102,102,102,102
车身,車体,后备厢容积(L),リアトランク容量(L),539-1640,539-1640,539-1640,539-1640,539-1640,539-1640,539-1640,539-1640,539-1640
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228
发动机,エンジン,发动机型号,エンジン型式,H15R,H15R,H15R,-,-,-,-,-,-
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,-,-,-,-,-,-
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,-,-,-,-,-,-
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,-,-,-,-,-,-
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,-,-,-,-,-,-
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,-,-,-,-,-,-
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,-,-,-,-,-,-
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,-,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,-,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),95,95,95,-,-,-,-,-,-
发动机,エンジン,最大功率(kW),最大出力(kW),70,70,70,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),68,68,68,-,-,-,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,-,-,-,-,-,-
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,-,-,-,-,-,-
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-
电动机,モーター,后电动机品牌,リアモーター ブランド,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造
电动机,モーター,后电动机型号,リアモーター 型式,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X,TZ200XY01D03X
电动机,モーター,电机类型,モーター種類,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型,永久磁石同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),183,183,183,183,183,183,183,183,183
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),249,249,249,249,249,249,249,249,249
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),280,280,280,280,280,280,280,280,280
电动机,モーター,后电动机最大功率(kW),リアモーター最大出力(kW),183,183,183,183,183,183,183,183,183
电动机,モーター,后电动机最大扭矩(N·m),リアモーター最大トルク(N·m),280,280,280,280,280,280,280,280,280
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,後置,後置,後置,後置,後置,後置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● EVE Energy製,● EVE Energy製,● EVE Energy製,● CALB製,● CALB製,● CALB製,● CALB製,● CALB製,● CALB製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),257,249,249,-,-,-,-,-,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),325,315,315,550,650,525,625,525,625
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1380,1330,1330,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),37.2,37.2,37.2,56,69,56,69,56,69
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),15.3,15.7,15.7,11.5,11.8,11.9,12.4,11.9,12.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(分钟),バッテリー急速充電時間(分),10.1,10.1,10.1,15.8,15.8,15.8,15.8,15.8,15.8
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.17,0.17,0.17,0.26,0.26,0.26,0.26,0.26,0.26
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動,● 後置後輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）","● 225/60 R18
○ 245/45 R20（6000元追加）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20","● 225/60 R18
○ 245/45 R20"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし,● なし
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし,前席 ● / 後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両,● 全車両
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,-,-,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー","● スポーツ
● エコ
● 標準/快適
● スノー"
驾驶操控,ドライビングコントロール,单踏板模式,ワンペダルモード,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,○ サスペンション硬さ調整,○ サスペンション硬さ調整,-,-,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整,○ サスペンション硬さ調整
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,● Turing,● Turing 2基,-,-,● Turing,● Turing,● Turing 2基,● Turing 2基
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,● 750 TOPS,● 1500 TOPS,-,-,● 750 TOPS,● 750 TOPS,● 1500 TOPS,● 1500 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● ステレオカメラ,● ステレオカメラ,● 単眼カメラ,● 単眼カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 11個,● 11個,● 5個,● 5個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,● 1個,● 2個,-,-,● 1個,● 1個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 2個,● 3個,● 3個,● 2個,● 2個,● 3個,● 3個,● 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール,● 全速域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,● XNGP,● XNGP,-,-,● XNGP,● XNGP,● XNGP,● XNGP
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）,● 高徳（地図サービス）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,循迹倒车,トレースバックリバース,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,-,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間",-,-,"● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間","● 市街地区間
● 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,无框设计车门,フレームレスドア,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●
