セクション,項目,星光L 2026款 260km 六座舒享型,星光L 2026款 260km 六座臻享型,星光L 2026款 260km 六座旗舰型,
电动机,前电动机品牌,柳州赛克,柳州赛克,柳州赛克,–
电动机,前电动机型号,TZ180XY5F0,TZ180XY5F0,TZ180XY5F0,–
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,–
电动机,电动机总功率(kW),170,170,170,–
电动机,电动机总马力(Ps),231,231,231,–
电动机,电动机总扭矩(N·m),280,280,280,–
电动机,前电动机最大功率(kW),170,170,170,–
电动机,前电动机最大扭矩(N·m),280,280,280,–
电动机,驱动电机数,单电机,单电机,单电机,–
电动机,电机布局,前置,前置,前置,–
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,–
电池/充电,电芯品牌,● 瑞浦赛克,● 瑞浦赛克,● 瑞浦赛克,–
电池/充电,电池特有技术,神炼电池,神炼电池,神炼电池,–
电池/充电,电池冷却方式,液冷,液冷,液冷,–
电池/充电,WLTC纯电续航里程(km),185,185,185,–
电池/充电,CLTC纯电续航里程(km),260,260,260,–
电池/充电,CLTC综合续航(km),1260,1260,1260,–
电池/充电,电池能量(kWh),37.9,37.9,37.9,–
电池/充电,百公里耗电量(kWh/100km),19.5,19.5,19.5,–
电池/充电,快充功能,支持,支持,支持,–
电池/充电,高压平台（V）,400,400,400,–
电池/充电,电池快充时间(分钟),15,15,15,–
电池/充电,电池快充时间(小时),0.25,0.25,0.25,–
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,–
电池/充电,电池慢充时间(小时),6.3,6.3,6.3,–
电池/充电,电池慢充电量范围(%),20-100,20-100,20-100,–
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,–
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,–
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,–
变速箱,挡位个数,无级变速,无级变速,无级变速,–
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 235/55 R20,● 235/55 R20,● 235/55 R20,–
车轮制动,后轮胎规格,● 235/55 R20,● 235/55 R20,● 235/55 R20,–
车轮制动,备胎规格,-,-,-,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,-,●,●,–
主动安全,主动刹车/主动安全系统,-,●,●,–
主动安全,疲劳驾驶提示,-,-,-,–
主动安全,DOW开门预警,-,-,●,–
主动安全,前方碰撞预警,-,●,●,–
主动安全,后方碰撞预警,-,-,●,–
主动安全,低速行车警告,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,陡坡缓降,●,●,●,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,-,●,●,–
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 1个,● 5个,● 5个,–
驾驶硬件,超声波雷达数量,● 4个,● 6个,● 6个,–
驾驶硬件,毫米波雷达数量,-,-,● 2个,–
驾驶功能,巡航系统,● 定速巡航,● 自适应巡航,● 自适应巡航,–
驾驶功能,辅助驾驶系统,-,● 灵眸智驾,● 灵眸智驾,–
驾驶功能,辅助驾驶等级,-,● L2,● L2,–
驾驶功能,倒车车侧预警系统,-,-,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,● 高德,–
驾驶功能,并线辅助,-,-,●,–
驾驶功能,车道保持辅助系统,-,●,●,–
驾驶功能,道路交通标识识别,-,●,●,–
驾驶功能,辅助泊车入位,-,-,-,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动后备厢,●,●,●,–
外观/防盗,电动后备厢位置记忆,●,●,●,–
外观/防盗,车顶行李架,-,●,●,–
外观/防盗,发动机电子防盗,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,–
外观/防盗,主动闭合式进气格栅,●,●,●,–
外观/防盗,电池预加热,●,●,●,–
外观/防盗,对外放电,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,-,●,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,转向辅助灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
天窗/玻璃,天窗类型,-,-,● 分段式不可开启天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,-,"● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 12.8英寸,● 15.6英寸,● 15.6英寸,–
互联/智能化,中控屏幕分辨率,● 2K,● 2K,● 2K,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink","● 支持CarPlay
● 支持HUAWEI HiCar
● 支持Carlink",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风",–
互联/智能化,语音助手唤醒词,● 你好，小菱,● 你好，小菱,● 你好，小菱,–
互联/智能化,语音免唤醒词,●,●,●,–
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,–
互联/智能化,语音连续识别,●,●,●,–
互联/智能化,应用商店,●,●,●,–
互联/智能化,车载智能系统,● 灵语座舱,● 灵语座舱,● 灵语座舱,–
互联/智能化,车机系统内存(GB),● 8,● 8,● 8,–
互联/智能化,车机系统存储(GB),● 128,● 128,● 128,–
互联/智能化,车联网,●,●,●,–
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,–
互联/智能化,OTA升级,●,●,●,–
互联/智能化,Wi-Fi热点,●,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 充电管理
● 车灯控制
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车",–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘加热,-,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排3个/后排4个,● 前排3个/后排4个,● 前排3个/后排4个,–
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,–
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,–
车内充电,行李厢12V电源接口,●,●,●,–
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副-,主 ● /副 ●,–
座椅配置,前排座椅功能,● 加热,● 加热,"● 加热
● 通风",–
座椅配置,电动座椅记忆功能,-,-,-,–
座椅配置,副驾驶位后排可调节按钮,-,-,●,–
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",–
座椅配置,第二排座椅电动调节,-,-,●,–
座椅配置,第二排座椅功能,● 加热,● 加热,● 加热,–
座椅配置,后排小桌板,-,-,●,–
座椅配置,第二排独立座椅,●,●,●,–
座椅配置,第三排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,–
座椅配置,座椅布局,● 2-2-2,● 2-2-2,● 2-2-2,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,●,–
音响/车内灯光,扬声器品牌名称,-,-,-,–
音响/车内灯光,扬声器数量,● 6喇叭,● 12喇叭,● 21喇叭,–
音响/车内灯光,触摸式阅读灯,●,●,●,–
音响/车内灯光,车内环境氛围灯,-,-,● 1680万色,–
音响/车内灯光,主动式环境氛围灯,-,-,●,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,-,●,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,-,-,●,–
空调/冰箱,车载空气净化器,-,-,-,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
