セクション,項目,极氪7X 2026款 75kWh 后驱MAX版,极氪7X 2026款 103kWh 后驱MAX版,极氪7X 2026款 103kWh 四驱Ultra版,
主动安全,内置行车记录仪,●,●,●,–
主动安全,道路救援呼叫,●,●,●,–
主动安全,防侧翻系统,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化",–
驾驶操控,单踏板模式,●,●,●,–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,陡坡缓降,●,●,●,–
驾驶操控,可变悬架功能,"○ 悬架软硬调节
○ 悬架高低调节","○ 悬架软硬调节
○ 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",–
驾驶操控,空气悬架,○,○,●,–
驾驶操控,空气悬挂类型,○ 单腔,○ 单腔,● 单腔,–
驾驶操控,魔毯智能悬架,○ (2.00万元),○ (2.00万元),●,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,●,●,●,–
驾驶硬件,辅助驾驶芯片,● 英伟达 Drive Thor-U,● 英伟达 Drive Thor-U,● 英伟达 Drive Thor-U,–
驾驶硬件,芯片总算力,● 700 TOPS,● 700 TOPS,● 700 TOPS,–
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,–
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,–
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,–
驾驶硬件,环境感知摄像头像素,● 800万,● 800万,● 800万,–
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,–
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,–
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,–
驾驶硬件,激光雷达品牌,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,–
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个,–
驾驶硬件,前方最大探测距离,● 200米,● 200米,● 200米,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶系统,● ZEEKR AD,● ZEEKR AD,● ZEEKR AD,–
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,● 高德,–
驾驶功能,并线辅助,●,●,●,–
驾驶功能,车道保持辅助系统,●,●,●,–
驾驶功能,车道居中保持,●,●,●,–
驾驶功能,道路交通标识识别,●,●,●,–
驾驶功能,辅助泊车入位,●,●,●,–
驾驶功能,遥控泊车,●,●,●,–
驾驶功能,记忆泊车,○,○,○,–
驾驶功能,辅助变道,●,●,●,–
驾驶功能,辅助匝道自动驶出(入),○,○,○,–
驾驶功能,信号灯识别,●,●,●,–
驾驶功能,方向盘离手检测,●,●,●,–
驾驶功能,起步提醒,●,●,●,–
驾驶功能,辅助驾驶路段,"○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段","○ 城市路段
○ 高速路段",–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动吸合车门,○ 全车,○ 全车,○ 全车,–
外观/防盗,自动开合车门,○ (1.60万元),○ (1.60万元),○ (1.60万元),–
外观/防盗,无框设计车门,●,●,●,–
外观/防盗,电动后备厢,●,●,●,–
外观/防盗,电动后备厢位置记忆,●,●,●,–
外观/防盗,车顶行李架,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙",–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,–
外观/防盗,隐藏电动门把手,●,●,●,–
外观/防盗,按键式车门开启,○,○,○,–
外观/防盗,主动闭合式进气格栅,●,●,●,–
外观/防盗,远程启动功能,●,●,●,–
外观/防盗,电池预加热,●,●,●,–
外观/防盗,对外放电,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,-,-,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,-,-,●,–
车外灯光,大灯延时关闭,●,●,●,–
车外灯光,场景灯语,○ (8000元),○ (8000元),○ (8000元),–
车外灯光,辅助驾驶灯,●,●,●,–
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,● 不可开启全景天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,后排侧窗遮阳帘,● 电动,● 电动,● 电动,–
天窗/玻璃,后排侧隐私玻璃,●,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,●,●,●,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 16英寸,● 16英寸,● 16英寸,–
互联/智能化,中控屏幕类型,● MINI LED,● MINI LED,● MINI LED,–
互联/智能化,中控屏幕分辨率,● 3.5K,● 3.5K,● 3.5K,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,●,●,●,–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩",–
互联/智能化,语音助手唤醒词,● 嗨，EVA,● 嗨，EVA,● 嗨，EVA,–
互联/智能化,语音免唤醒词,●,●,●,–
互联/智能化,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,–
互联/智能化,语音连续识别,●,●,●,–
互联/智能化,可见即可说,●,●,●,–
互联/智能化,面部识别,●,●,●,–
互联/智能化,声纹识别,●,●,●,–
互联/智能化,应用商店,●,●,●,–
互联/智能化,车载智能系统,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,–
互联/智能化,车机智能芯片,● 高通骁龙8295,● 高通骁龙8295,● 高通骁龙8295,–
互联/智能化,后排液晶屏幕,○,○,○,–
互联/智能化,后排液晶屏幕尺寸,"○ 6英寸
○ 13英寸","○ 6英寸
○ 13英寸","○ 6英寸
○ 13英寸",–
互联/智能化,后排液晶屏幕类型,○ OLED,○ OLED,○ OLED,–
互联/智能化,后排液晶屏幕分辨率,○ 2K,○ 2K,○ 2K,–
互联/智能化,后排多媒体屏幕数量,○ 2个,○ 2个,○ 2个,–
互联/智能化,后排控制多媒体,○,○,○,–
互联/智能化,车机系统内存(GB),● 32,● 32,● 32,–
互联/智能化,车机系统存储(GB),● 256,● 256,● 256,–
互联/智能化,车联网,●,●,●,–
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,–
互联/智能化,OTA升级,●,●,●,–
互联/智能化,Wi-Fi热点,●,●,●,–
互联/智能化,车内生物监测系统,○,○,○,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",–
互联/智能化,模拟声浪,●,●,●,–
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,–
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘加热,●,●,●,–
方向盘/内后视镜,方向盘记忆,●,●,●,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 13.02英寸,● 13.02英寸,● 13.02英寸,–
方向盘/内后视镜,AR-HUD增强现实抬头显示,●,●,●,–
方向盘/内后视镜,HUD抬头尺寸,● 36.21英寸,● 36.21英寸,● 36.21英寸,–
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,● 自动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,"● 前排2个/后排2个
○ 前排2个/后排4个","● 前排2个/后排2个
○ 前排2个/后排4个","● 前排2个/后排2个
○ 前排2个/后排4个",–
车内充电,USB/Type-C最大充电功率,"● 27W
● 60W","● 27W
● 60W","● 27W
● 60W",–
车内充电,220V/230V电源,○,○,○,–
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,–
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,–
车内充电,行李厢12V电源接口,●,●,●,–
座椅配置,座椅材质,"○ 真皮 (8000元)
● 仿皮","○ 真皮 (8000元)
● 仿皮","○ 真皮 (8000元)
● 仿皮",–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)",–
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
○ 后排","● 驾驶位
● 副驾驶位
○ 后排","● 驾驶位
● 副驾驶位
○ 后排",–
座椅配置,副驾驶位后排可调节按钮,●,●,●,–
座椅配置,第二排座椅调节,"○ 前后调节
● 靠背调节
○ 腿托调节","○ 前后调节
● 靠背调节
○ 腿托调节","○ 前后调节
● 靠背调节
○ 腿托调节",–
座椅配置,第二排座椅电动调节,●,●,●,–
座椅配置,第二排座椅功能,"● 加热
○ 通风
○ 按摩","● 加热
○ 通风
○ 按摩","● 加热
○ 通风
○ 按摩",–
座椅配置,后排小桌板,●,●,●,–
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,–
座椅配置,后排座椅电动放倒,○,○,○,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,●,–
音响/车内灯光,扬声器品牌名称,-,-,-,–
音响/车内灯光,扬声器数量,● 21喇叭,● 21喇叭,● 21喇叭,–
音响/车内灯光,车外扬声器数量,● 1喇叭,● 1喇叭,● 1喇叭,–
音响/车内灯光,杜比全景声(Dolby Atmos),●,●,●,–
音响/车内灯光,触摸式阅读灯,●,●,●,–
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,–
音响/车内灯光,主动式环境氛围灯,●,●,●,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,热泵空调,●,●,●,–
空调/冰箱,后排独立空调,●,●,●,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,●,●,●,–
空调/冰箱,车载空气净化器,●,●,●,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
空调/冰箱,车内香氛装置,●,●,●,–
空调/冰箱,空气质量监测,●,●,●,–
空调/冰箱,车载冰箱,○ (2999元),○ (2999元),○ (2999元),–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,后排电动组合沙发,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),–
选装包,后排科技交互套装,○ 选配 (5000元),○ 选配 (5000元),○ 选配 (5000元),–
选装包,一体式智慧灯幕套装,○ 选配 (8000元),○ 选配 (8000元),○ 选配 (8000元),–
选装包,极氪魔毯空气悬架套装,○ 选配 (20000元),○ 选配 (20000元),-,–
选装包,ZEEKR AD 完全智能驾驶辅助系统,○ 选配 (35000元),○ 选配 (35000元),○ 选配 (35000元),–
