セクション,セクション_ja,項目,項目_ja,2025年モデル 615 Air版,2025年モデル 615 Pro版,2025年モデル 615 Max版,2025年モデル 560 4WD Max版,2024年モデル 615 Air版,2024年モデル 615 Pro版,2024年モデル 615 Max版,2024年モデル 560 4WD Max版
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4690×1860×1650,4690×1860×1650,4690×1860×1650,4690×1860×1650,4690×1860×1650,4690×1860×1650,4690×1860×1650,4690×1860×1650
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.8,3.8,3.8,3.4,3.8,3.8,3.8,3.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.35,1.35,1.35,1.52,1.31,1.31,1.31,1.48
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,-,-,-,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1865,1865,1905,2000,1865,1865,1905,2000
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2465,2465,2465,2550,2465,2465,2465,2550
车身,車体,长度(mm),全長(mm),4690,4690,4690,4690,4690,4690,4690,4690
车身,車体,宽度(mm),全幅(mm),1860,1860,1860,1860,1860,1860,1860,1860
车身,車体,高度(mm),全高(mm),1650,1650,1650,1650,1650,1650,1650,1650
车身,車体,轴距(mm),ホイールベース(mm),2850,2850,2850,2850,2850,2850,2850,2850
车身,車体,前轮距(mm),前トレッド(mm),1600,1600,1600,1600,1600,1600,1600,1600
车身,車体,后轮距(mm),後トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,15
车身,車体,离去角(°),デパーチャーアングル(°),23,23,23,23,23,23,23,23
车身,車体,最小转弯半径(m),最小回転半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,后备厢容积(L),トランク容量(L),452,452,452,452,452,452,452,452
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
电动机,モーター,前电动机品牌,前モーター ブランド,アイシン,アイシン,アイシン,アイシン,-,-,-,-
电动机,モーター,后电动机品牌,後モーター ブランド,-,-,-,アイシン,-,-,-,-
电动机,モーター,前电动机型号,前モーター 型番,1XM（型式）,1XM（型式）,1XM（型式）,1YM（型式）,-,-,-,-
电动机,モーター,后电动机型号,後モーター 型番,-,-,-,1YM（型式）,-,-,-,-
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),150,150,150,160,150,150,150,160
电动机,モーター,电动机总马力(Ps),モーター合計馬力(Ps),204,204,204,218,204,204,204,218
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),266.3,266.3,266.3,337,266.3,266.3,266.3,337
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),150,150,150,80,150,150,150,80
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),266.3,266.3,266.3,168.5,266.3,266.3,266.3,168.5
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),-,-,-,80,-,-,-,80
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),-,-,-,168.5,-,-,-,168.5
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,フロントエンジン配置,フロントエンジン配置,フロントエンジン配置,フロント＋リアエンジン配置,フロントエンジン配置,フロントエンジン配置,フロントエンジン配置,フロント＋リアエンジン配置
电动机,モーター,三电系统质保,三電システム保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証,● 10年または20万km保証
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製,● CATL（寧徳時代）製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,换电,バッテリー交換対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応,非対応
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),615,615,615,560,615,615,615,560
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7
电池/充电,バッテリー/充電,电池能量密度(Wh/kg),バッテリーエネルギー密度(Wh/kg),155.48,155.48,155.48,155.48,155.48,155.48,155.48,155.48
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),11.6,11.6,11.6,13.1,11.6,11.6,11.6,13.1
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),10,10,10,10,10,10,10,10
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車右前側,車右前側,車右前側,車右前側,-,-,-,-
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車左前側,車左前側,車左前側,車左前側,-,-,-,-
变速箱,トランスミッション,简称,略称,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機,電動車用単速変速機
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機,固定ギア比変速機
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● デュアルモーター四輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,-,● 電動四輪駆動,-,-,-,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
被动安全,衝突安全,膝部气囊,ニーエアバッグ,"● 運転席膝部エアバッグ
● 助手席膝部エアバッグ","● 運転席膝部エアバッグ
● 助手席膝部エアバッグ","● 運転席膝部エアバッグ
● 助手席膝部エアバッグ","● 運転席膝部エアバッグ
● 助手席膝部エアバッグ",● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,●,-,-,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,●,●,●,-,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● エコ
● スノー","● エコ
● スノー","● エコ
● スノー","● エコ
● オフロード","● エコ
● スノー","● エコ
● スノー","● エコ
● スノー","● エコ
● オフロード"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,-,-,-,●,-,-,-,●
四驱/越野,4WD/オフロード,蠕行模式,クリープモード,-,-,-,●,-,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,前席●／後席●,前席●／後席●,前席●／後席●,-,前席●／後席●,前席●／後席●,前席●／後席●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● リアビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 2個,● 5個,● 5個,● 5個,● 2個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,● 1個,-,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,-,● 8個,● 12個,● 12個,-,● 8個,● 12個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス,● トヨタセーフティセンス
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）,● レベル2（自動運転支援）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,●,●,●,-,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,-,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,-,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,-,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,●,●,-,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,●,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,●,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,-,●,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,-,●,●,-,-,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 全車両対応,● 全車両対応,● 運転席,● 運転席,● 全車両対応,● 全車両対応
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱機能,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部給電機能,-,-,-,○,-,-,-,○
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,-,-,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●,前席●／後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応,● 全車両対応
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感センサー付きワイパー,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー記憶機能
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 8インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応"
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ",-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小悦,● こんにちは、小悦,● こんにちは、小悦,● こんにちは、小悦,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,●,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,●,●,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる,●,●,●,●,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,●,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,声纹识别,声紋認証,●,●,●,●,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,-,-,-,-
