セクション,セクション_ja,項目,項目_ja,2026年モデル 初心者向け 330 Fly,2026年モデル 知的遊び版 305 Fly,2026年モデル 初心者向け 330 Air,2026年モデル 知的遊び版 305 Air,2026年モデル 初心者向け 330 Plus,2026年モデル 初心者向け 430 Air,2026年モデル 知的遊び版 305 Ultra,2026年モデル プレミアム 330 Pro,2026年モデル プレミアム 330 Ultra,2026年モデル 知的遊び版 430 Pro,2026年モデル プレミアム 430 Pro,2026年モデル Cross Pro,2026年モデル Cross Ultra,2026年モデル プレミアム 430 Ultra,2025年モデル 330 教習車版,2024年モデル 330 業務用版,2024年モデル 430 業務用版,2024年モデル リニューアル版 430 Plus智+,2024年モデル リニューアル版 430 Max智+
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/60 R16,"● 215/55 R17
○ 215/50 R18",● 215/50 R18,● 215/55 R17,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,-,-,-,-,-,前●／後,前●／後,前●／後,前●／後,前●／後,-,-,-,-,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,-,-,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧警報,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適","● スポーツ
● エコ
● 標準／快適"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前／後●,前●／後●,前●／後●,前／後●,前／後●,前／後●,前／後●,前●／後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,-,● リアビューカメラ,○ バックカメラ,● 360度全方位カメラ,● リアビューカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,-,● リアビューカメラ,● リアビューカメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,●
