セクション,項目,纳米01 2026款 初心款 330 Fly,纳米01 2026款 智趣版 305 Fly,纳米01 2026款 初心款 330 Air,纳米01 2026款 智趣版 305 Air,纳米01 2026款 初心款 330 Plus,纳米01 2026款 初心款 430 Air,纳米01 2026款 智趣版 305 Ultra,纳米01 2026款 挚爱款 330 Pro,纳米01 2026款 挚爱款 330 Ultra,纳米01 2026款 智趣版 430 Pro,纳米01 2026款 挚爱款 430 Pro,纳米01 2026款 Cross Pro,纳米01 2026款 Cross Ultra,纳米01 2026款 挚爱款 430 Ultra,纳米01 2025款 330 驾培版,纳米01 2024款 330 行业版,纳米01 2024款 430 行业版,纳米01 2024款 焕新版 430 Plus智+,纳米01 2024款 焕新版 430 Max智+
基本参数,最大扭矩(N·m),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
基本参数,车身结构,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
基本参数,电动机(Ps),95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
基本参数,长*宽*高(mm),4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4066*1810*1570,4066*1810*1570,4020*1810*1570,4020*1810*1570,4030*1810*1570,4030*1810*1570,4020*1810*1570,4020*1810*1570
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
基本参数,电能当量燃料消耗量(L/100km),1.23,1.27,1.23,1.27,1.23,1.24,1.27,1.27,1.27,1.27,1.27,1.30,1.30,1.27,1.2,1.2,1.21,1.21,1.21
基本参数,整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 三年不限公里（首任非营运车主）,● 三年不限公里（首任非营运车主）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1235,1237,1235,1237,1235,1312,1264,1264,1264,1318,1336,1336,1336,1336,1235,1235,1312,1312,1312
基本参数,最大满载质量(kg),1630,1666,1630,1666,1630,1705,1666,1666,1666,1737,1737,1737,1737,1737,1630,1630,1705,1705,1705
车身,长度(mm),4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4020,4066,4066,4020,4020,4030,4030,4020,4020
车身,宽度(mm),1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
车身,高度(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
车身,轴距(mm),2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2660,2660,2663,2663
车身,前轮距(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
车身,后轮距(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
车身,接近角(°),23,23,23,23,23,23,23,23,23,23,23,21,21,23,23,23,23,23,23
车身,离去角(°),30,30,30,30,30,30,30,30,30,30,30,31,31,30,30,30,30,30,30
车身,最小转弯半径(m),5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,-,-,5.1,5.1
车身,车身结构,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945,326-945
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机型号,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70,TZ180XSD70
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
电动机,电动机总马力(Ps),95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
电动机,电动机总扭矩(N·m),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
电动机,前电动机最大功率(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
电动机,前电动机最大扭矩(N·m),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达,● 欣旺达
电池/充电,电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,-,-,风冷,风冷
电池/充电,CLTC纯电续航里程(km),330,305,330,305,330,430,305,330,330,430,430,429,429,430,330,330,430,430,430
电池/充电,电池能量(kWh),31.45,29.5,31.45,29.5,31.45,42.3,29.5,31.45,31.45,42.3,42.3,42.3,42.3,42.3,31.45,31.45,42.3,42.3,42.3
电池/充电,百公里耗电量(kWh/100km),10.6,10.9,10.6,10.9,10.6,10.7,10.9,10.9,10.9,10.9,10.9,11.2,11.2,10.9,10.6,10.6,10.7,10.7,10.7
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),38,-,38,-,38,54,-,38,38,-,54,54,54,54,38,-,-,54,54
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 盘式,● 盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/60 R16,"● 215/55 R17
○ 215/50 R18",● 215/50 R18,● 215/55 R17,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17
车轮制动,后轮胎规格,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/55 R17,● 215/60 R16,● 215/60 R16,"● 215/55 R17
○ 215/50 R18",● 215/50 R18,● 215/55 R17,● 215/60 R16,● 215/60 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●,前 ● /后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,-,-,● 倒车影像,○ 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,-,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,●
驾驶硬件,前方感知摄像头,-,-,-,-,-,-,-,-,● 单目,-,● 单目,-,● 单目,● 单目,-,-,-,-,● 单目
驾驶硬件,摄像头数量,-,-,● 1个,○ 1个,● 4个,● 1个,● 4个,● 4个,● 5个,● 4个,● 5个,● 4个,● 5个,● 5个,-,● 1个,● 1个,● 4个,● 5个
驾驶硬件,前方感知摄像头像素,-,-,-,-,-,-,-,-,● 200万,-,● 200万,-,● 200万,● 200万,-,-,-,-,● 200万
驾驶硬件,环视摄像头像素,-,-,-,-,● 100万,-,-,● 100万,● 100万,-,● 100万,● 100万,● 100万,● 100万,-,-,-,● 100万,● 100万
驾驶硬件,超声波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 12个,● 12个,● 3个,● 3个,● 3个,● 3个,● 12个
驾驶功能,巡航系统,-,-,-,-,● 定速巡航,-,● 定速巡航,● 定速巡航,● 自适应巡航,● 定速巡航,● 自适应巡航,● 定速巡航,● 自适应巡航,● 自适应巡航,-,-,-,● 定速巡航,● 自适应巡航
驾驶功能,辅助驾驶等级,-,-,-,-,-,-,-,-,-,-,-,-,● L2,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,●,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●
驾驶功能,导航路况信息显示,-,-,●,-,●,●,-,●,●,-,●,●,●,●,-,●,●,●,●
驾驶功能,地图品牌,-,-,● 百度,-,● 百度,● 百度,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,● 高德,● 高德,● 百度,● 百度
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
驾驶功能,车道居中保持,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
驾驶功能,道路交通标识识别,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,●
驾驶功能,遥控泊车,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●
驾驶功能,循迹倒车,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,"● 钢
○ 铝合金",● 钢,● 钢,● 钢,● 钢,"● 钢
○ 铝合金",● 铝合金,● 铝合金,● 钢,● 钢,● 钢,● 铝合金,● 铝合金
外观/防盗,无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,-,-,-,● 驾驶位,-,● 驾驶位,-,● 前排,● 驾驶位,-,● 前排,● 前排,● 前排,-,-,-,● 驾驶位,● 驾驶位
外观/防盗,隐藏电动门把手,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,-,-,-,-,-,●,-,-,-,●,●,●,●,●,-,-,●,●,●
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● LED,● 卤素,● LED,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素,● LED,● LED
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● LED,● 卤素,● LED,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素,● LED,● LED
车外灯光,LED日间行车灯,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,●,-,●,-,●,●,-,-,-,-,●
车外灯光,自动头灯,-,-,-,-,●,-,●,●,●,●,●,●,●,●,-,-,-,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,●,-,●,-,●,-,-,-,●,●,-,-,-,●,●
