セクション,項目,星途ES 2025款 增程 Plus 舒适智享,星途ES 2025款 增程 Pro 高速辅助驾驶,星途ES 2025款 增程 Max 城区辅助驾驶,星途ES 2025款 增程 Ultra 四驱旗舰,星途ES 2025款 纯电 乐享版 64kWh,星途ES 2025款 纯电 尊享版 70kWh,星途ES 2025款 纯电 Pro 高速辅助驾驶,星途ES 2025款 纯电 Max 城区辅助驾驶,星途ES 2025款 纯电 Pro 77kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 77kWh,星途ES 2025款 纯电 Pro 100kWh,星途ES 2025款 纯电 Pro城区辅助驾驶 100kWh,星途ES 2025款 纯电 至臻尊享版 77kWh,星途ES 2025款 纯电 富道版 77kWh,星途ES 2025款 纯电 Pro四驱 77kWh,星途ES 2025款 纯电 Pro四驱 100kWh,星途ES 2025款 纯电 Ultra四驱旗舰 城区辅助驾驶,星途ES 2025款 纯电 Ultra旗舰 100kWh,星途ES 2027款 纯电 860 Max激光雷达版,星途ES 2027款 增程 302 Max激光雷达版,星途ES 2027款 增程 255 Ultra四驱激光雷达版
电动机,后电动机型号,TZ190XY105,TZ190XY105,TZ190XY105,TZ190XY105,TZ210XS128,TZ210XS128,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XY107,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XSG05,TZ220XY107,TZ187YMZC2,TZ190XY105
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),195,195,195,345,185,185,230,230,230,230,230,230,230,230,353,353,353,353,230,227,345
电动机,电动机总马力(Ps),265,265,265,469,252,252,313,313,313,313,313,313,313,313,480,480,480,480,313,309,469
电动机,电动机总扭矩(N·m),324,324,324,634,356,356,425,425,425,425,425,425,400,400,663,663,663,663,400,315,634
电动机,前电动机最大功率(kW),-,-,-,150,-,-,-,-,-,-,-,-,-,-,123,123,123,123,-,-,150
电动机,前电动机最大扭矩(N·m),-,-,-,310,-,-,-,-,-,-,-,-,-,-,238,238,238,238,-,-,310
电动机,后电动机最大功率(kW),195,195,195,195,185,185,230,230,230,230,230,230,230,230,230,230,230,230,230,227,195
电动机,后电动机最大扭矩(N·m),324,324,324,324,356,356,425,425,425,425,425,425,400,400,425,425,425,425,400,315,324
电动机,驱动电机数,单电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,双电机,双电机,双电机,单电机,单电机,双电机
电动机,电机布局,后置,后置,后置,前置+后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,前置+后置,前置+后置,前置+后置,前置+后置,后置,后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,-,-,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里,● 八年或16万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 弗迪,● 弗迪,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 得壹能源,● 国轩高科
电池/充电,电池特有技术,-,-,-,-,-,-,-,-,神行电池,神行电池,-,-,神行电池,神行电池,神行电池,-,-,-,-,-,-
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),205,205,205,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,205
电池/充电,CLTC纯电续航里程(km),255,255,255,255,550,605,705,705,680,680,880,880,680,680,605,775,710,710,860,302,255
电池/充电,WLTC综合续航(km),1550,1550,1550,1370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1530,1370
电池/充电,CLTC综合续航(km),1645,1645,1645,1570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1685,1570
电池/充电,电池能量(kWh),34.7,34.7,34.7,41.16,64,70,77,77,77,77,100,100,77,77,77,100,100,100,100.2,41.1,41.1
电池/充电,电池能量密度(Wh/kg),125,125,125,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,百公里耗电量(kWh/100km),16.4,16.4,16.4,19.6,12.4,12.7,12.1,12.1,12.4,12.4,12.1,12.1,12.4,12.4,14.2,14.4,14.9,14.9,12.4,18.2,19.6
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),107,107,107,107,-,-,420,420,420,420,297,297,420,420,420,297,297,297,297,107,107
电池/充电,高压快充,-,-,-,-,-,-,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,-,-
电池/充电,高压平台（V）,400,400,400,400,400,400,800,800,800,800,800,800,800,800,800,800,800,800,800,400,400
电池/充电,电池快充时间(小时),0.29,0.29,0.29,0.29,0.47,0.47,0.15,0.15,0.15,0.15,0.25,0.25,0.17,0.15,0.15,0.25,0.25,0.25,0.25,0.29,0.29
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,30-80,30-80,30-80,30-80,30-80,30-80,20-80,20-80
电池/充电,电池慢充时间(小时),5.5,5.5,5.5,6.8,-,-,13.5,13.5,13.5,13.5,16.5,16.5,11,13.5,13.5,16.5,16.5,16.5,-,-,-
电池/充电,电池慢充电量范围(%),5-100,5-100,5-100,5-100,-,-,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,-,-,-
电池/充电,充电桩价格（元）,3199,3199,3199,3199,-,-,-,-,3399,3399,3399,3399,3399,3399,3399,3399,-,3399,3399,3199,3199
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,6,6,6,6,6,6,3.3,6,6,6,6,6,6,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 后置后驱,● 后置后驱,● 双电机四驱
底盘转向,四驱形式,-,-,-,● 电动四驱,-,-,-,-,-,-,-,-,-,-,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,-,-,● 电动四驱
