セクション,セクション_ja,項目,項目_ja,2025年モデル 増程 Plus 快適スマート,2025年モデル 増程 Pro 高速運転支援,2025年モデル 増程 Max 市街地運転支援,2025年モデル 増程 Ultra 4WD フラッグシップ,2025年モデル 純電 動楽版 64kWh,2025年モデル 純電 尊享版 70kWh,2025年モデル 純電 Pro 高速運転支援,2025年モデル 純電 Max 市街地運転支援,2025年モデル 純電 Pro 77kWh,2025年モデル 純電 Pro 市街地運転支援 77kWh,2025年モデル 純電 Pro 100kWh,2025年モデル 純電 Pro 市街地運転支援 100kWh,2025年モデル 純電 至高尊享版 77kWh,2025年モデル 純電 富道版 77kWh,2025年モデル 純電 Pro 4WD 77kWh,2025年モデル 純電 Pro 4WD 100kWh,2025年モデル 純電 Ultra 4WD フラッグシップ 市街地運転支援,2025年モデル 純電 Ultra フラッグシップ 100kWh,2027年モデル 純電 860 Maxレーザーレーダー版,2027年モデル 増程 302 Maxレーザーレーダー版,2027年モデル 増程 255 Ultra4WDレーザーレーダー版
基本参数,基本仕様,变速箱,トランスミッション,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機,電動車単速変速機
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,レンジエクステンダー 156馬力,レンジエクステンダー 156馬力
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),265,265,265,469,252,252,313,313,313,313,313,313,313,313,480,480,480,480,313,309,469
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1467（mm）,4945×1978×1467（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）,4945×1978×1480（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.6,7.6,7.6,4.6,7.1,7.4,5.6,5.6,5.6,5.6,5.6,5.6,5.9,5.9,3.7,3.7,3.7,3.7,5.9,7.4,4.9
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速(s),3.4,3.4,3.4,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),205,205,205,190,200,200,200,200,200,200,200,200,200,200,210,210,210,210,200,205,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.47,0.47,0.47,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,0.62
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,4.9,4.9,4.9,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.1,5.7
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.91,1.91,1.91,2.28,-,-,1.40,1.40,1.44,1.44,1.40,1.40,1.44,1.44,1.65,1.67,1.73,1.73,1.44,-,-
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃料消費量(L/100km),2.37,2.37,2.37,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.54,2.9
基本参数,基本仕様,整车质保,車両保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),2080,2080,2080,2285,1870,1975,2080,2080,2080,2080,2040,2040,2080,2080,2210,2250,2250,2250,2050,2135,2285
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2548,2548,2548,2701,-,2375,2495,2495,2495,2495,2455,2455,2495,2495,2625,2660,2660,2660,2480,2600,2701
车身,車体,长度(mm),全長(mm),4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945
车身,車体,宽度(mm),全幅(mm),1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978
车身,車体,高度(mm),全高(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1467,1467,1480,1480,1480
车身,車体,轴距(mm),ホイールベース(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
车身,車体,前轮距(mm),前トレッド(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
车身,車体,后轮距(mm),後トレッド(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),120,120,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),-,-,-,-,123,123,123,123,123,123,123,123,123,123,123,123,132,132,-,-,-
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.88,5.88,5.88,5.88,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.88,5.88
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）
车身,車体,油箱容积(L),燃料タンク容量(L),67,67,67,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,67
车身,車体,后备厢容积(L),トランク容量(L),396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500,396-1500
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.23,0.23,0.23,0.23,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.23,0.23
发动机,エンジン,发动机型号,エンジン型式,SQRH4J15（エンジン型式）,SQRH4J15（エンジン型式）,SQRH4J15（エンジン型式）,SQRH4J15（エンジン型式）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SQRH4J15（エンジン型式）,SQRH4J15（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
发动机,エンジン,压缩比,圧縮比,14.5,14.5,14.5,14.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.5,14.5
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,缸径(mm),ボア(mm),72,72,72,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,72
发动机,エンジン,行程(mm),ストローク(mm),92,92,92,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,92
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5200,5200,5200,5200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,5200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),220,220,220,220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,220
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500,2500,2500,2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2500,2500
发动机,エンジン,最大净功率(kW),最大出力(kW),105,105,105,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,105
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル／VVT／インテリジェント燃焼,ミラーサイクル／VVT／インテリジェント燃焼,ミラーサイクル／VVT／インテリジェント燃焼,ミラーサイクル／VVT／インテリジェント燃焼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミラーサイクル／VVT／インテリジェント燃焼,ミラーサイクル／VVT／インテリジェント燃焼
发动机,エンジン,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI（排ガス規制）,国VI（排ガス規制）
电动机,モーター,前电动机品牌,前モーターブランド,-,-,-,エコパワー（ブランド名）,-,-,-,-,-,-,-,-,-,-,蘇州インバーター（メーカー名）,蘇州インバーター（メーカー名）,蘇州インバーター（メーカー名）,蘇州インバーター（メーカー名）,-,-,エコパワー（ブランド名）
电动机,モーター,后电动机品牌,後モーターブランド,蘇州インバーター（メーカー名）,蘇州インバーター（メーカー名）,蘇州インバーター（メーカー名）,蘇州インバーター（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,蘇州インバーター（メーカー名）,インバーターエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,ユナイテッドエレクトロニクス（メーカー名）,蘇州インバーター（メーカー名）,-,蘇州インバーター（メーカー名）
电动机,モーター,前电动机型号,前モーター型式,-,-,-,KPTZ220YMDA0（部品番号）,-,-,-,-,-,-,-,-,-,-,YS190XY101（部品番号）,YS190XY101（部品番号）,YS190XY101（部品番号）,YS190XY101（部品番号）,-,-,KPTZ220YMDA0（部品番号）
电动机,モーター,后电动机型号,後モーター型式,TZ190XY105（部品番号）,TZ190XY105（部品番号）,TZ190XY105（部品番号）,TZ190XY105（部品番号）,TZ210XS128（部品番号）,TZ210XS128（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XY107（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XSG05（部品番号）,TZ220XY107（部品番号）,TZ187YMZC2,TZ190XY105（部品番号）
电动机,モーター,电机类型,モーター種類,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,前誘導／非同期、後永久磁石／同期モーター,前誘導／非同期、後永久磁石／同期モーター,前誘導／非同期、後永久磁石／同期モーター,前誘導／非同期、後永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター,永久磁石／同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),195,195,195,345,185,185,230,230,230,230,230,230,230,230,353,353,353,353,230,227,345
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),265,265,265,469,252,252,313,313,313,313,313,313,313,313,480,480,480,480,313,309,469
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),324,324,324,634,356,356,425,425,425,425,425,425,400,400,663,663,663,663,400,315,634
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,150,-,-,-,-,-,-,-,-,-,-,123,123,123,123,-,-,150
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,310,-,-,-,-,-,-,-,-,-,-,238,238,238,238,-,-,310
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),195,195,195,195,185,185,230,230,230,230,230,230,230,230,230,230,230,230,230,227,195
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),324,324,324,324,356,356,425,425,425,425,425,425,400,400,425,425,425,425,400,315,324
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,デュアルモーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,単モーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,単モーター,単モーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,後置,後置,後置,前後配置,後置,後置,後置,後置,後置,後置,後置,後置,後置,後置,前後配置,前後配置,前後配置,前後配置,後置,後置,前後配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,-,-,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証,● 8年または16万km保証
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 国軒高科（バッテリーメーカー）,● 国軒高科（バッテリーメーカー）,● 国軒高科（バッテリーメーカー）,● 国軒高科（バッテリーメーカー）,● フォーディ（バッテリーメーカー）,● フォーディ（バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● CATL（寧徳時代、バッテリーメーカー）,● 得壹エナジー,● 国軒高科（バッテリーメーカー）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,-,-,-,-,-,-,-,-,シェンシン電池（ブランド名）,シェンシン電池（ブランド名）,-,-,シェンシン電池（ブランド名）,シェンシン電池（ブランド名）,シェンシン電池（ブランド名）,-,-,-,-,-,-
