セクション,セクション_ja,項目,項目_ja,2026年モデル 28T 臻享版,2026年モデル 28T 奢享版,2026年モデル 28T 旗舰版,Unnamed 5
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,–
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,–
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,–
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,–
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,–
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,–
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,–
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,–
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,–
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,–
主动安全,アクティブセーフティ,移动物体预警系统,移動物体警告システム,●,●,●,–
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,–
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● 標準/コンフォート
● スノー
● カスタム/パーソナライズ","● スポーツ
● 標準/コンフォート
● スノー
● カスタム/パーソナライズ","● スポーツ
● 標準/コンフォート
● スノー
● カスタム/パーソナライズ",–
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,●,●,●,–
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,–
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,–
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,● サスペンション硬さ調整,–
驾驶操控,ドライビングコントロール,电磁感应悬架,電磁誘導サスペンション,-,-,●,–
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,–
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前● / 後●,前● / 後●,前● / 後●,–
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,–
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,–
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 6個,–
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 8個,● 8個,● 12個,–
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 4個,● 4個,● 4個,–
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,–
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,–
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,–
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,–
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,–
驾驶功能,運転機能,地图品牌,地図ブランド,● バイドゥ,● バイドゥ,● バイドゥ,–
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,–
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,–
驾驶功能,運転機能,车道居中保持,レーンセンタリング保持,●,●,●,–
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,–
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,–
驾驶功能,運転機能,起步提醒,発進お知らせ機能,●,●,●,–
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,–
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,–
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,●,–
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,●,●,●,–
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,–
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,–
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,–
车外灯光,外部照明,灯光特色功能,ライト特長機能,● マトリクス式,● マトリクス式,● マトリクス式,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,–
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,–
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,● セグメント式電動サンルーフ,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前● / 後●,前● / 後●,前● / 後●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ／ダウン,● 全車,● 全車,● 全車,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,–
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインド多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（感応式ワイパー）,● 雨量感知式,● 雨量感知式,● 雨量感知式,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラーメモリー
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラーメモリー
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラーメモリー
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納
● 自動防眩目",–
互联/智能化,コネクティビティ／スマート化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,–
互联/智能化,コネクティビティ／スマート化,中控屏幕尺寸,センターディスプレイサイズ,● 33インチ,● 33インチ,● 33インチ,–
互联/智能化,コネクティビティ／スマート化,中控屏幕分辨率,センターコンソール画面解像度,● 9K,● 9K,● 9K,–
互联/智能化,コネクティビティ／スマート化,中控屏幕像素密度,センターコンソール画面ピクセル密度,● 271PPI,● 271PPI,● 271PPI,–
互联/智能化,コネクティビティ／スマート化,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,–
互联/智能化,コネクティビティ／スマート化,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応,● CarPlay対応,● CarPlay対応,–
互联/智能化,コネクティビティ／スマート化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ",–
互联/智能化,コネクティビティ／スマート化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、キャデラック,● こんにちは、キャデラック,● こんにちは、キャデラック,–
互联/智能化,コネクティビティ／スマート化,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,–
互联/智能化,コネクティビティ／スマート化,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,–
互联/智能化,コネクティビティ／スマート化,语音连续识别,連続音声認識,●,●,●,–
互联/智能化,コネクティビティ／スマート化,应用商店,アプリストア,●,●,●,–
互联/智能化,コネクティビティ／スマート化,车载智能系统,車載インテリジェントシステム,● VCSインテリジェントコックピット,● VCSインテリジェントコックピット,● VCSインテリジェントコックピット,–
互联/智能化,コネクティビティ／スマート化,车机智能芯片,車載システム用チップ,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,–
互联/智能化,コネクティビティ／スマート化,车机系统内存(GB),車載システムメモリ(GB),● 12,● 12,● 12,–
互联/智能化,コネクティビティ／スマート化,车机系统存储(GB),車載システムストレージ(GB),● 64,● 64,● 64,–
互联/智能化,コネクティビティ／スマート化,车联网,コネクテッドカー,●,●,●,–
互联/智能化,コネクティビティ／スマート化,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,–
互联/智能化,コネクティビティ／スマート化,OTA升级,OTAアップデート,●,●,●,–
互联/智能化,コネクティビティ／スマート化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,–
互联/智能化,コネクティビティ／スマート化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両探索",–
互联/智能化,コネクティビティ／スマート化,主动降噪,アクティブノイズキャンセリング,●,●,●,–
互联/智能化,コネクティビティ／スマート化,模拟声浪,エンジンサウンドシミュレーション,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩機能,● 手動防眩機能,"● 自動防眩機能
● ストリーミングミラー",–
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,–
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,● 前席,● 前席,● 前席,–
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
● ヘッドレストスピーカー","● シートヒーター
● ベンチレーション
● ヘッドレストスピーカー",–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,"● 運転席
● 助手席","● 運転席
● 助手席",–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,–
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,● シートヒーター,● シートヒーター,–
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,-,-,-,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前● / 後●,前● / 後●,前● / 後●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,● AKG,● AKG,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 19スピーカー,● 19スピーカー,–
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 26色,● 26色,● 26色,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,●,●,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,–
特色配置,特徴装備,流媒体后视镜AR导航版,ストリーミングミラーARナビ版,-,-,-,–
特色配置,特徴装備,Brembo刹车系统,Bremboブレーキシステム,●,●,●,–
特色配置,特徴装備,Super Cruise超级智能驾驶系统,Super Cruise高度運転支援システム,-,-,-,–
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
