セクション,項目,凯迪拉克CT6 2026款 28T 臻享版,凯迪拉克CT6 2026款 28T 奢享版,凯迪拉克CT6 2026款 28T 旗舰版,
发动机,发动机特有技术,带Tripower可变气门管理技术,带Tripower可变气门管理技术,带Tripower可变气门管理技术,–
发动机,能源类型,汽油,汽油,汽油,–
发动机,燃油标号,95号,95号,95号,–
发动机,供油方式,直喷,直喷,直喷,–
发动机,缸盖材料,铝合金,铝合金,铝合金,–
发动机,缸体材料,铝合金,铝合金,铝合金,–
发动机,环保标准,国VI,国VI,国VI,–
变速箱,简称,10挡手自一体,10挡手自一体,10挡手自一体,–
变速箱,挡位个数,10,10,10,–
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),–
底盘转向,驱动方式,● 前置后驱,● 前置后驱,● 前置后驱,–
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,–
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 235/50 R18,● 245/45 R19,● 245/45 R19,–
车轮制动,后轮胎规格,● 235/50 R18,● 245/45 R19,● 245/45 R19,–
车轮制动,备胎规格,● 无,● 无,● 无,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
被动安全,缺气保用轮胎,●,●,●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,●,●,●,–
主动安全,主动刹车/主动安全系统,●,●,●,–
主动安全,疲劳驾驶提示,-,-,-,–
主动安全,前方碰撞预警,●,●,●,–
主动安全,后方碰撞预警,●,●,●,–
主动安全,移动物体预警系统,●,●,●,–
主动安全,道路救援呼叫,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 标准/舒适
● 雪地
● 自定义/个性化","● 运动
● 标准/舒适
● 雪地
● 自定义/个性化",–
驾驶操控,发动机启停技术,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,可变悬架功能,-,-,● 悬架软硬调节,–
驾驶操控,电磁感应悬架,-,-,●,–
驾驶操控,可变转向比,●,●,●,–
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 5个,● 5个,● 6个,–
驾驶硬件,超声波雷达数量,● 8个,● 8个,● 12个,–
驾驶硬件,毫米波雷达数量,● 4个,● 4个,● 4个,–
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,–
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,–
驾驶功能,倒车车侧预警系统,●,●,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 百度,● 百度,● 百度,–
驾驶功能,并线辅助,●,●,●,–
驾驶功能,车道保持辅助系统,●,●,●,–
驾驶功能,车道居中保持,●,●,●,–
驾驶功能,道路交通标识识别,●,●,●,–
驾驶功能,辅助泊车入位,-,-,●,–
驾驶功能,起步提醒,●,●,●,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动后备厢,●,●,●,–
外观/防盗,感应后备厢,-,-,●,–
外观/防盗,发动机电子防盗,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,–
外观/防盗,主动闭合式进气格栅,●,●,●,–
外观/防盗,远程启动功能,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,● 矩阵式,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,●,●,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,转向辅助灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
天窗/玻璃,天窗类型,● 分段式电动天窗,● 分段式电动天窗,● 分段式电动天窗,–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排",–
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,-,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 33英寸,● 33英寸,● 33英寸,–
互联/智能化,中控屏幕分辨率,● 9K,● 9K,● 9K,–
互联/智能化,中控屏幕像素密度,● 271PPI,● 271PPI,● 271PPI,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,● 支持CarPlay,● 支持CarPlay,● 支持CarPlay,–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",–
互联/智能化,语音助手唤醒词,● 你好，凯迪拉克,● 你好，凯迪拉克,● 你好，凯迪拉克,–
互联/智能化,语音免唤醒词,●,●,●,–
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,–
互联/智能化,语音连续识别,●,●,●,–
互联/智能化,应用商店,●,●,●,–
互联/智能化,车载智能系统,● VCS智能座舱,● VCS智能座舱,● VCS智能座舱,–
互联/智能化,车机智能芯片,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,–
互联/智能化,车机系统内存(GB),● 12,● 12,● 12,–
互联/智能化,车机系统存储(GB),● 64,● 64,● 64,–
互联/智能化,车联网,●,●,●,–
互联/智能化,4G/5G网络,● 5G,● 5G,● 5G,–
互联/智能化,OTA升级,●,●,●,–
互联/智能化,Wi-Fi热点,●,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",–
互联/智能化,主动降噪,●,●,●,–
互联/智能化,模拟声浪,●,●,●,–
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,–
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘换挡拨片,●,●,●,–
方向盘/内后视镜,方向盘加热,●,●,●,–
方向盘/内后视镜,方向盘记忆,●,●,●,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,●,●,●,–
方向盘/内后视镜,液晶仪表尺寸,-,-,-,–
方向盘/内后视镜,HUD抬头数字显示,-,-,●,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,"● 自动防眩目
● 流媒体",–
方向盘/内后视镜,ETC装置,●,●,●,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,–
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,–
座椅配置,座椅材质,● 仿皮,● 仿皮,● 真皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,"● 加热
● 通风","● 加热
● 通风
● 头枕扬声器","● 加热
● 通风
● 头枕扬声器",–
座椅配置,电动座椅记忆功能,● 驾驶位,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位",–
座椅配置,副驾驶位后排可调节按钮,-,●,●,–
座椅配置,第二排座椅调节,-,-,-,–
座椅配置,第二排座椅功能,-,● 加热,● 加热,–
座椅配置,后排座椅放倒形式,-,-,-,–
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,●,●,●,–
音响/车内灯光,扬声器品牌名称,-,● AKG,● AKG,–
音响/车内灯光,扬声器数量,● 8喇叭,● 19喇叭,● 19喇叭,–
音响/车内灯光,触摸式阅读灯,●,●,●,–
音响/车内灯光,车内环境氛围灯,● 26色,● 26色,● 26色,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,●,●,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,●,●,●,–
空调/冰箱,车载空气净化器,-,-,●,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
空调/冰箱,空气质量监测,●,●,●,–
特色配置,流媒体后视镜AR导航版,-,-,-,–
特色配置,Brembo刹车系统,●,●,●,–
特色配置,Super Cruise超级智能驾驶系统,-,-,-,–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
