セクション,項目,豹5 2025款 125KM 天神智驾Max版,豹5 2025款 125KM 天神智驾Ultra版,豹5 2025款 210KM 天神Ultra版,豹5 2025款 210KM 云辇天神Ultra版,豹5 2025款 210KM 乾崑Ultra版,豹5 2025款 210KM 云辇乾崑Ultra+版,豹5 2025款 激光乾崑智驾版,豹5 2025款 云辇激光乾崑智驾版
空调/冰箱,负离子发生器,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,●,●,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,●,●,●,●,●
空调/冰箱,车载冰箱,-,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–
选装包,拖车钩及2.5t拖车资质+前桥差速锁,○ 选配 (8000元),○ 选配 (8000元),-,-,-,-,○ 选配 (8000元),-
选装包,拖车钩及拖车资质+前桥差速锁,-,-,○ 选配 (8000元),○ 选配 (8000元),○ 选配 (8000元),-,-,-
选装包,拖车钩及拖车资质,-,-,-,-,-,○ 选配 (4000元),-,-
选装包,帝瓦雷联名便携音箱,-,-,-,-,-,○ 选配 (4999元),-,-
选装包,2.5t拖挂资质,-,-,-,-,-,-,-,○ 选配 (4000元)
