セクション,セクション_ja,項目,項目_ja,2025年モデル 125KM 天神智驾Max版,2025年モデル 125KM 天神智驾Ultra版,2025年モデル 210KM 天神Ultra版,2025年モデル 210KM 雲輦天神Ultra版,2025年モデル 210KM 乾崑Ultra版,2025年モデル 210KM 雲輦乾崑Ultra+版,2025年モデル レーザー乾崑智駕版,2025年モデル 雲輦レーザー乾崑智駕版
车身,車体,最大涉水深度(mm),最大渡河深度(mm),700,700,700,790,700,790,700,790
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),83,83,83,83,83,83,83,83
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF,BYD476ZQF
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,1497,1497,1497,1497
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),194,194,194,194,194,194,194,194
发动机,エンジン,最大功率(kW),最大出力(kW),143,143,143,143,143,143,143,143
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),273,273,273,273,273,273,273,273
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大ネット出力(kW),135,135,135,135,135,135,135,135
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,前电动机型号,前モーター型式,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB,TZ220XYAB
电动机,モーター,后电动机型号,後モーター型式,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA,TZ200XYA
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),485,485,485,485,485,485,485,485
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),660,660,660,660,660,660,660,660
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),760,760,760,760,760,760,760,760
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),200,200,200,200,200,200,200,200
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),360,360,360,360,360,360,360,360
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),285,285,285,285,285,285,285,285
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),400,400,400,400,400,400,400,400
电动机,モーター,系统综合功率(kW),システム総合出力(kW),505,505,505,505,505,505,505,505
电动机,モーター,系统综合马力(Ps),システム総合馬力(Ps),687,687,687,687,687,687,687,687
电动机,モーター,系统综合扭矩(N·m),システム総合トルク(N·m),760,760,760,760,760,760,760,760
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電システム初回オーナー保証政策,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ,● フォーディ
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー,ブレードバッテリー
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式,直冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),100,100,160,160,160,160,100,100
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),125,125,210,210,210,210,125,125
电池/充电,バッテリー/充電,NEDC综合续航(km),NEDC総合航続距離(km),1200,1200,-,-,-,-,1200,1200
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),31.8,31.8,47.8,47.8,47.8,47.8,31.8,31.8
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),23.5,23.5,25.1,25.1,25.1,25.1,23.5,23.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),100,100,150,150,150,150,100,100
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.27,0.27,0.25,0.25,0.25,0.25,0.27,0.27
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクタ位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクタ位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6,6
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）,電子無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動,● 前置四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,非一体式ボディ,非一体式ボディ,非一体式ボディ,非一体式ボディ,非一体式ボディ,非一体式ボディ,非一体式ボディ,非一体式ボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）","● 265/65 R18
○ 275/55 R20（10,000元）"
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20","● 265/65 R18
○ 275/55 R20"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ,● フルサイズ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式,● 背負式
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
被动安全,衝突安全,膝部气囊,ニーエアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,●,●,●,●,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,●,●,● 全車,● 全車,● 全車,● 全車,●,●
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定用インターフェース,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ","● スポーツ
● エコノミー
● 標準／快適
● オフロード
● スノー
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ技術,-,-,●,●,●,●,-,-
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,"● サスペンション硬さ調整
● サスペンション高さ調整",-,"● サスペンション硬さ調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,拖挂模式,トレーラーモード,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,中央差速器锁止功能,センターデフロック機能,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,"○ フロントアクスルデフロック
● リアアクスルデフロック","○ フロントアクスルデフロック
● リアアクスルデフロック","○ フロントアクスルデフロック
● リアアクスルデフロック","○ フロントアクスルデフロック
● リアアクスルデフロック","○ フロントアクスルデフロック
● リアアクスルデフロック","● フロントアクスルデフロック
● リアアクスルデフロック","○ フロントアクスルデフロック
● リアアクスルデフロック","● フロントアクスルデフロック
● リアアクスルデフロック"
四驱/越野,4WD/オフロード,涉水感应系统,渡河感知システム,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,低速四驱,低速4WD,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,蠕行模式,クローリングモード,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,坦克转弯,タンクターン,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,拖挂钩,トレーラーフック,"○ マニュアル（4,000元）","○ マニュアル（4,000元）",○ マニュアル,○ マニュアル,○ マニュアル,○ マニュアル,"○ マニュアル（4,000元）","○ マニュアル（4,000元）"
四驱/越野,4WD/オフロード,拖车取电口,トレーラー電源取出口,○,○,○,○,○,○,○,○
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,● NVIDIA Orin-N,-,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,● 84 TOPS,● 84 TOPS,● 84 TOPS,● 84 TOPS,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● トリプルカメラ,● デュアルカメラ,● デュアルカメラ,● デュアルカメラ,● デュアルカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 12個,● 12個,● 11個,● 11個,● 11個,● 12個,● 11個,● 12個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达品牌,レーザーレーダーブランド,-,-,-,-,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）,● HUAWEI（ファーウェイ）
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,-,-,-,-,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,-,-,-,-,● 192ライン,● 192ライン,● 192ライン,● 192ライン
