セクション,項目,博越REV 2026款 220km 长续航铂金增程智享版,博越REV 2026款 220km 长续航铂金增程智尊版,博越REV 2026款 375km 超长续航铂金增程智尊版,
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,–
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,–
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,–
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,–
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,–
底盘转向,车体结构,承载式,承载式,承载式,–
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,–
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,–
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,–
车轮制动,前轮胎规格,● 215/60 R17,● 215/55 R18,● 215/55 R18,–
车轮制动,后轮胎规格,● 215/60 R17,● 215/55 R18,● 215/55 R18,–
车轮制动,备胎规格,● 无,● 无,● 无,–
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,–
被动安全,前/后排头部气囊(气帘),-,前 ● /后 ●,前 ● /后 ●,–
主动安全,ABS防抱死,●,●,●,–
主动安全,制动力分配(EBD/CBC等),●,●,●,–
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,–
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,–
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,–
主动安全,胎压监测功能,● 胎压报警,● 胎压显示,● 胎压显示,–
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,–
主动安全,ISOFIX儿童座椅接口,●,●,●,–
主动安全,车道偏离预警系统,-,●,●,–
主动安全,主动刹车/主动安全系统,-,●,●,–
主动安全,疲劳驾驶提示,-,-,-,–
主动安全,DOW开门预警,-,●,●,–
主动安全,前方碰撞预警,-,●,●,–
主动安全,后方碰撞预警,-,●,●,–
主动安全,低速行车警告,●,●,●,–
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",–
驾驶操控,能量回收系统,●,●,●,–
驾驶操控,自动驻车,●,●,●,–
驾驶操控,上坡辅助,●,●,●,–
驾驶操控,陡坡缓降,●,●,●,–
驾驶操控,可变悬架功能,● 悬架软硬调节,● 悬架软硬调节,● 悬架软硬调节,–
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,–
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,–
驾驶硬件,透明底盘/540度影像,-,●,●,–
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,–
驾驶硬件,摄像头数量,● 1个,● 5个,● 5个,–
驾驶硬件,超声波雷达数量,● 4个,● 4个,● 4个,–
驾驶硬件,毫米波雷达数量,-,● 2个,● 2个,–
驾驶功能,巡航系统,● 定速巡航,● 自适应巡航,● 自适应巡航,–
驾驶功能,辅助驾驶等级,-,● L2,● L2,–
驾驶功能,倒车车侧预警系统,-,●,●,–
驾驶功能,卫星导航系统,●,●,●,–
驾驶功能,导航路况信息显示,●,●,●,–
驾驶功能,地图品牌,● 高德,● 高德,● 高德,–
驾驶功能,并线辅助,-,●,●,–
驾驶功能,车道保持辅助系统,-,●,●,–
驾驶功能,道路交通标识识别,-,●,●,–
驾驶功能,辅助泊车入位,-,-,-,–
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,–
外观/防盗,电动后备厢,-,●,○ (3000元),–
外观/防盗,电动后备厢位置记忆,-,●,○,–
外观/防盗,发动机电子防盗,●,●,●,–
外观/防盗,车内中控锁,●,●,●,–
外观/防盗,钥匙类型,"● 机械钥匙
● 蓝牙钥匙","● 机械钥匙
● 蓝牙钥匙","● 机械钥匙
● 蓝牙钥匙",–
外观/防盗,无钥匙启动系统,●,●,●,–
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,–
外观/防盗,远程启动功能,●,●,●,–
外观/防盗,对外放电,●,●,●,–
车外灯光,近光灯光源,● LED,● LED,● LED,–
车外灯光,远光灯光源,● LED,● LED,● LED,–
车外灯光,LED日间行车灯,●,●,●,–
车外灯光,自适应远近光,-,●,●,–
车外灯光,自动头灯,●,●,●,–
车外灯光,车前雾灯,-,-,-,–
车外灯光,大灯高度可调,●,●,●,–
车外灯光,大灯延时关闭,●,●,●,–
天窗/玻璃,天窗类型,○ 不可开启全景天窗 (3000元),● 不可开启全景天窗,○ 不可开启全景天窗 (3000元),–
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,–
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,–
天窗/玻璃,车窗防夹手功能,●,●,●,–
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯",–
天窗/玻璃,后雨刷,-,-,-,–
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,–
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
○ 后视镜记忆
● 后视镜加热
● 锁车自动折叠",–
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,–
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,–
互联/智能化,蓝牙/车载电话,●,●,●,–
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link",–
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗",–
互联/智能化,语音助手唤醒词,● 嗨，EVA,● 嗨，EVA,● 嗨，EVA,–
互联/智能化,语音免唤醒词,●,●,●,–
互联/智能化,语音分区域唤醒识别,● 双区域,● 双区域,● 双区域,–
互联/智能化,语音连续识别,●,●,●,–
互联/智能化,可见即可说,●,●,●,–
互联/智能化,应用商店,●,●,●,–
互联/智能化,车载智能系统,● Flyme Auto,● Flyme Auto,● Flyme Auto,–
互联/智能化,车联网,●,●,●,–
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,–
互联/智能化,OTA升级,●,●,●,–
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",–
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,–
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,–
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,–
方向盘/内后视镜,多功能方向盘,●,●,●,–
方向盘/内后视镜,方向盘加热,-,-,-,–
方向盘/内后视镜,方向盘记忆,-,-,-,–
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,–
方向盘/内后视镜,全液晶仪表盘,-,●,●,–
方向盘/内后视镜,液晶仪表尺寸,● 8.8英寸,● 8.8英寸,● 8.8英寸,–
方向盘/内后视镜,HUD抬头数字显示,-,-,○,–
方向盘/内后视镜,HUD抬头尺寸,-,-,○ 15英寸,–
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,–
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",–
车内充电,USB/Type-C接口数量,● 前排3个/后排2个,● 前排3个/后排2个,● 前排3个/后排2个,–
车内充电,手机无线充电功能,-,● 前排,● 前排,–
车内充电,手机无线充电功率,-,● 50W,● 50W,–
车内充电,行李厢12V电源接口,-,●,○,–
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,–
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",–
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
○ 腿托调节",–
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,–
座椅配置,前排座椅功能,● 加热(仅驾驶位),"● 加热
● 通风
● 按摩
○ 头枕扬声器","○ 通风
○ 按摩
● 加热(仅驾驶位)
○ 加热(仅副驾驶位)
○ 头枕扬声器",–
座椅配置,电动座椅记忆功能,-,"● 驾驶位
● 副驾驶位","○ 驾驶位
○ 副驾驶位",–
座椅配置,副驾驶位后排可调节按钮,-,-,-,–
座椅配置,第二排座椅调节,-,-,-,–
座椅配置,后排座椅放倒形式,● 整体放倒,● 比例放倒,● 比例放倒,–
座椅配置,前/后中央扶手,-,前 ● /后 ●,前 ● /后 ●,–
座椅配置,后排杯架,-,-,-,–
音响/车内灯光,扬声器品牌名称,-,-,-,–
音响/车内灯光,扬声器数量,● 6喇叭,"● 6喇叭
○ 16喇叭 (8800元)","● 6喇叭
○ 16喇叭",–
音响/车内灯光,车内环境氛围灯,-,● 128色,○ 128色,–
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,–
空调/冰箱,后排独立空调,-,-,-,–
空调/冰箱,后座出风口,●,●,●,–
空调/冰箱,温度分区控制,-,●,○,–
空调/冰箱,车载空气净化器,-,-,-,–
空调/冰箱,车内PM2.5过滤装置,●,●,●,–
颜色,外观颜色,–,–,–,–
颜色,内饰颜色,–,–,–,–
选装包,舒享套装,-,-,○ 选配 (9000元),–
