セクション,セクション_ja,項目,項目_ja,2024年モデル 栄光版 100KM快適型 5人乗り,2024年モデル 栄光版 100KM快適型 7人乗り,2024年モデル 栄光版 100KM上級型 5人乗り,2024年モデル 栄光版 100KM上級型 7人乗り,2024年モデル 栄光版 100KMプレミアム型 5人乗り,2024年モデル 栄光版 100KMプレミアム型 7人乗り,2023年モデル 1.5L DE i 100KM快適型 5人乗り,2023年モデル 1.5L DE i 100KM快適型 7人乗り,2023年モデル 1.5L DE i 100KMプレミアム型 5人乗り,2023年モデル 1.5L DE i 100KMプレミアム型 7人乗り,2023年モデル 1.5L DE i 110KMフラッグシップ型 5人乗り,2023年モデル 1.5L DE i 110KMフラッグシップ型 7人乗り
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4,1.5L 110馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),176,176,176,176,176,176,177,177,177,177,177,177
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）,4760×1865×1710（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,8.21,8.21,8.21,8.21,7.4,7.4
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),2.9,2.9,2.9,2.9,2.9,2.9,2.91,2.91,2.91,2.91,2.9,2.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),165,165,165,165,165,165,165,165,165,165,165,165
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.23,1.23
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低充電状態燃費(L/100km),-,-,-,-,-,-,5.4,5.4,5.4,5.4,5.5,5.5
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,5.4,5.4,5.4,5.4,5.4,5.4,-,-,-,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km,● 6年または15万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1800,1800
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2325,2325
车身,車体,长度(mm),全長(mm),4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760
车身,車体,宽度(mm),全幅(mm),1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
车身,車体,高度(mm),全高(mm),1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710
车身,車体,轴距(mm),ホイールベース(mm),2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785
车身,車体,前轮距(mm),前トレッド(mm),1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
车身,車体,后轮距(mm),後トレッド(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
车身,車体,空载最小离地间隙(mm),無負荷最小最低地上高(mm),180,180,180,180,180,180,180,180,180,180,180,180
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25,25,25,25,25,25,25,25,25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60,60,60,60,60,60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),465-1432,-,465-1432,-,465-1432,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),110,110,110,110,110,110,110,110,110,110,110,110
发动机,エンジン,最大功率(kW),最大出力(kW),81,81,81,81,81,81,81,81,81,81,81,81
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),135,135,135,135,135,135,135,135,135,135,135,135
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),4500,4500,4500,4500,4500,4500,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大正味出力(kW),75,75,75,75,75,75,75,75,75,75,75,75
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,前电动机品牌,前モーター製造ブランド,フォーディ,フォーディ,フォーディ,フォーディ,フォーディ,フォーディ,-,-,-,-,-,-
电动机,モーター,前电动机型号,前モーター型式,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL,TZ220XYL
电动机,モーター,电机类型,モーター種類,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期,永久磁石同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),130,130,130,130,130,130,130,130,130,130,130,130
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),176,176,176,176,176,176,176,176,176,176,176,176
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),300,300,300,300,300,300,300,300,300,300,300,300
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),130,130,130,130,130,130,130,130,130,130,130,130
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),300,300,300,300,300,300,300,300,300,300,300,300
电动机,モーター,驱动电机数,駆動モーター数,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター,単一モーター
电动机,モーター,电机布局,モーター配置,前置き,前置き,前置き,前置き,前置き,前置き,前置き,前置き,前置き,前置き,前置き,前置き
电动机,モーター,三电系统质保,三電システム保証,-,-,-,-,-,-,● 初代オーナーは年数・走行距離無制限（免責条項は公式基準による）,● 初代オーナーは年数・走行距離無制限（免責条項は公式基準による）,● 初代オーナーは年数・走行距離無制限（免責条項は公式基準による）,● 初代オーナーは年数・走行距離無制限（免責条項は公式基準による）,● 初代オーナーは年数・走行距離無制限（免責条項は公式基準による）,● 初代オーナーは年数・走行距離無制限（免責条項は公式基準による）
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● 国軒高科製,● ユアンジンパワー製,● ユアンジンパワー製
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,NEDC纯电续航里程(km),NEDC純電航続距離(km),100,100,100,100,100,100,100,100,100,100,110,110
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),87,87,87,87,87,87,87,87,87,87,94,94
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1150,1150,1150,1150,1150,1150,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,19.4,19.4
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力(kWh/100km),16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,非対応,非対応,対応,対応,対応,対応,非対応,非対応,非対応,非対応,非対応,非対応
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,0.8,0.8,0.8,0.8,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),-,-,30-80,30-80,30-80,30-80,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),3,3,3,3,3,3,-,-,-,-,-,-
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),25-100,25-100,25-100,25-100,25-100,25-100,-,-,-,-,-,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,-,-,車両右後方,車両右後方,車両右後方,車両右後方,-,-,-,-,-,-
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,トランスミッション,简称,略称,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
变速箱,トランスミッション,挡位个数,段数,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速,無段変速
变速箱,トランスミッション,变速箱类型,トランスミッション形式,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）,電子制御無段変速機（E-CVT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 225/55 R18タイヤ,● 225/55 R18タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット,● パンク修理キット
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,-,-,前席●／後席なし,前席●／後席なし,-,-,前席●／後席なし,前席●／後席なし,前席●／後席なし,前席●／後席なし
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,前席●／後席●,前席●／後席●,-,-,前席●／後席●,前席●／後席●,前席○／後席○,前席○／後席○
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,-,-,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,-,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,●,●,●,-,-,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●
