セクション,項目,帝豪 2027款 第5代 1.5L i-HEV智擎混动驭风版,帝豪 2027款 第5代 1.5L i-HEV智擎混动追光版,帝豪 2027款 第5代 1.5L i-HEV智擎混动登峰版,帝豪 2027款 向上 1.5L 手动豪华型,帝豪 2027款 向上 1.5L CVT舒适型,帝豪 2027款 向上 1.5L CVT豪华型,帝豪 2026款 第5代 1.5L CVT豪华型,帝豪 2026款 第5代 1.5L CVT尊贵型,帝豪 2026款 第5代 1.5T DCT尊贵型,帝豪 2026款 第5代 1.5T DCT旗舰型,帝豪 2026款 400万纪念款 1.5L 手动超越型,帝豪 2026款 400万纪念款 1.5L CVT星耀型,帝豪 2026款 400万纪念款 1.5L CVT超越型,帝豪 2026款 400万纪念款 1.5L CVT飞越型,帝豪 2025款 1.5L 手动星耀版
基本参数,发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 127马力 L4
基本参数,电动机(Ps),190,190,190,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,长*宽*高(mm),4815*1885*1480,4815*1885*1480,4815*1885*1480,4630*1820*1470,4630*1820*1470,4630*1820*1470,4815*1885*1480,4815*1885*1480,4815*1885*1480,4815*1885*1480,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),160,160,160,175,175,175,170,170,200,200,175,175,175,175,175
基本参数,WLTC综合油耗(L/100km),3.83,3.83,3.83,5.99,6.19,6.19,6.25,6.25,5.95,5.95,5.99,6.19,6.19,6.19,5.62
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1450,1450,1450,1205,1255,1255,1355,1355,1405,1405,1205,1255,1255,1255,1195
基本参数,最大满载质量(kg),1845,1845,1845,1595,1665,1665,1745,1745,1820,1820,1595,1665,1665,1665,1595
车身,长度(mm),4815,4815,4815,4630,4630,4630,4815,4815,4815,4815,4638,4638,4638,4638,4638
车身,宽度(mm),1885,1885,1885,1820,1820,1820,1885,1885,1885,1885,1820,1820,1820,1820,1820
车身,高度(mm),1480,1480,1480,1470,1470,1470,1480,1480,1480,1480,1460,1460,1460,1460,1460
车身,轴距(mm),2755,2755,2755,2650,2650,2650,2755,2755,2755,2755,2650,2650,2650,2650,2650
车身,前轮距(mm),1624,1624,1624,1549,1549,1549,1624,1624,1624,1624,1549,1549,1549,1549,1549
车身,后轮距(mm),1609,1609,1609,1551,1551,1551,1609,1609,1609,1609,1551,1551,1551,1551,1551
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
车身,最小转弯半径(m),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,-,-,5.5,5.5,5.5,5.5,5.5
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),58,58,58,53,53,53,58,58,58,58,53,53,53,53,53
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,后排车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 平开门
发动机,发动机型号,BHE15-BFN,BHE15-BFN,BHE15-BFN,BHE15-CFN,BHE15-CFN,BHE15-CFN,BHE15-CFN,BHE15-CFN,BHE15-EFZ,BHE15-EFZ,BHE15-CFN,BHE15-CFN,BHE15-CFN,BHE15-CFN,BHE15-AFD
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),112,112,112,120,120,120,120,120,181,181,120,120,120,120,127
发动机,最大功率(kW),82,82,82,88,88,88,88,88,133,133,88,88,88,88,93
发动机,最大功率转速(rpm),-,-,-,6100,6100,6100,6100,6100,5500,5500,6100,6100,6100,6100,6300
发动机,最大扭矩(N·m),136,136,136,150,150,150,150,150,290,290,150,150,150,150,152
发动机,最大扭矩转速(rpm),-,-,-,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000,2000-3500,2000-3500,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000
发动机,最大净功率(kW),79,79,79,85,85,85,85,85,128,128,85,85,85,85,90
发动机,发动机特有技术,-,-,-,DVVT,DVVT,DVVT,DVVT,DVVT,-,-,DVVT,DVVT,DVVT,DVVT,DVVT
发动机,能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-,-,-,-,-,-,-,-
电动机,电动机总功率(kW),140,140,140,-,-,-,-,-,-,-,-,-,-,-,-
电动机,电动机总马力(Ps),190,190,190,-,-,-,-,-,-,-,-,-,-,-,-
电动机,电动机总扭矩(N·m),240,240,240,-,-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机最大功率(kW),140,140,140,-,-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),240,240,240,-,-,-,-,-,-,-,-,-,-,-,-
电动机,驱动电机数,单电机,单电机,单电机,-,-,-,-,-,-,-,-,-,-,-,-
电动机,电机布局,前置,前置,前置,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-,-,-,-,-,-,-,-
电池/充电,电芯品牌,● 欣旺达,● 欣旺达,● 欣旺达,-,-,-,-,-,-,-,-,-,-,-,-
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),7挡湿式双离合,7挡湿式双离合,5挡手动,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),5挡手动
变速箱,挡位个数,1,1,1,5,8,8,8,8,7,7,5,8,8,8,5
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 鼓式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 手刹
车轮制动,前轮胎规格,● 215/60 R16,● 215/55 R17,● 215/55 R17,● 195/55 R16,● 195/55 R16,● 195/55 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17,"● 215/55 R17
○ 235/45 R18 (1000元)",● 195/55 R16,● 195/55 R16,● 195/55 R16,● 205/50 R17,● 195/65 R15
车轮制动,后轮胎规格,● 215/60 R16,● 215/55 R17,● 215/55 R17,● 195/55 R16,● 195/55 R16,● 195/55 R16,● 215/60 R16,● 215/55 R17,● 215/55 R17,"● 215/55 R17
○ 235/45 R18",● 195/55 R16,● 195/55 R16,● 195/55 R16,● 205/50 R17,● 195/65 R15
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,-,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 无,● 非全尺寸,● 非全尺寸,-
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,● 后备厢内,● 后备厢内,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,-,-,-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,-,-,-,前 ● /后-,-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,-,-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-,-,前 ● /后 ●,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 前排,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位,● 主驾驶位
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,-,-,-,-,○,○,●,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,●,●,-,-,-,-,○,○,●,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
主动安全,DOW开门预警,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
主动安全,前方碰撞预警,-,●,●,-,-,-,-,○,○,●,-,-,-,-,-
主动安全,后方碰撞预警,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
主动安全,内置行车记录仪,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",-,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化",-,"● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适","● 运动
● 经济
● 标准/舒适",-
驾驶操控,自动驻车,●,●,●,-,●,●,●,●,●,●,-,●,●,●,-
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
驾驶硬件,前/后驻车雷达,-,前-/后 ●,前-/后 ●,前-/后 ●,-,前-/后 ●,-,前-/后 ●,前-/后 ●,前 ○ /后 ●,前-/后 ●,-,前-/后 ●,前-/后 ●,-
驾驶硬件,驾驶辅助影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像",● 倒车影像
驾驶硬件,透明底盘/540度影像,-,●,●,-,-,●,-,●,●,●,-,-,●,●,-
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,-,-,-,-,○ 单目,○ 单目,● 单目,-,-,-,-,-
驾驶硬件,摄像头数量,● 1个,● 5个,● 5个,● 1个,● 1个,● 4个,● 1个,"● 4个
○ 5个","● 4个
○ 5个",● 5个,● 1个,● 1个,● 4个,● 4个,● 1个
驾驶硬件,超声波雷达数量,-,● 4个,● 4个,● 3个,-,● 3个,-,● 4个,● 4个,● 4个,● 3个,-,● 3个,● 3个,-
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 定速巡航,● 定速巡航,● 定速巡航,"● 定速巡航
○ 全速自适应巡航","● 定速巡航
○ 全速自适应巡航",● 全速自适应巡航,-,● 定速巡航,● 定速巡航,● 定速巡航,-
驾驶功能,辅助驾驶等级,-,● L2,● L2,-,-,-,-,○ L2,○ L2,● L2,-,-,-,-,-
驾驶功能,倒车车侧预警系统,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,-,●,●,●,●,●,●,-,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,-,-,-,● 高德,● 高德,● 高德,● 高德,● 高德,-,● 高德,● 高德,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,●,●,-,-,-,-,○,○,●,-,-,-,-,-
驾驶功能,车道居中保持,-,-,-,-,-,-,-,○,○,●,-,-,-,-,-
驾驶功能,道路交通标识识别,-,●,●,-,-,-,-,○,○,●,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,遥控泊车,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,记忆泊车,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,辅助变道,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,辅助匝道自动驶出(入),-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,信号灯识别,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
驾驶功能,辅助驾驶路段,-,-,-,-,-,-,-,-,-,"○ 城市路段
○ 高速路段",-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,-,●,●,●,●,●,●,-,●,●,●,-
外观/防盗,无钥匙进入功能,-,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位,● 驾驶位,-
外观/防盗,主动闭合式进气格栅,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,远程启动功能,●,●,●,-,-,-,●,●,●,●,-,-,●,●,-
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● 卤素
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● 卤素
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,-,-,-,-,○,○,●,-,-,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-
天窗/玻璃,天窗类型,-,● 电动天窗,● 电动天窗,○ 电动天窗 (1500元),-,○ 电动天窗 (1500元),-,● 电动天窗,● 电动天窗,● 电动天窗,○ 电动天窗,-,○ 电动天窗,● 电动天窗,-
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,-,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,-,● 全车,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,●,-,●,●,●,●,●,●,-,●,●,●,-
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾位
● 副驾驶",-,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶",-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式,● 速度感应式
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热","● 电动调节
● 后视镜加热"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 12.3英寸,● 8英寸,● 12.3英寸,● 10.1英寸,● 14.6英寸,● 14.6英寸,● 14.6英寸,● 12.3英寸,● 8英寸,● 12.3英寸,● 12.3英寸,● 8英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link",-,●,-,"● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link","● 支持HUAWEI HiCar
● 支持Carlink
● 支持Flyme link",-,●,-,-,●
