セクション,項目,思域 2026款 180TURBO CVT 智趣版,思域 2026款 240TURBO CVT 智趣Plus版,思域 2026款 240TURBO CVT 思域中国20年限定版,思域 2026款 240TURBO CVT 智趣Max版,思域 2025款 2.0L e:HEV 混动,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max,思域 2025款 180TURBO CVT 智趣,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 240TURBO CVT 智趣Max
发动机,发动机特有技术,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,阿特金森循环,阿特金森循环,阿特金森循环,阿特金森循环,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO
发动机,能源类型,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-
电动机,电动机总功率(kW),-,-,-,-,135,135,135,135,-,-,-,-
电动机,电动机总马力(Ps),-,-,-,-,184,184,184,184,-,-,-,-
电动机,电动机总扭矩(N·m),-,-,-,-,315,315,315,315,-,-,-,-
电动机,前电动机最大功率(kW),-,-,-,-,135,135,135,135,-,-,-,-
电动机,前电动机最大扭矩(N·m),-,-,-,-,315,315,315,315,-,-,-,-
电动机,系统综合功率(kW),-,-,-,-,149,149,149,149,-,-,-,-
电动机,系统综合马力(Ps),-,-,-,-,203,203,203,203,-,-,-,-
电动机,驱动电机数,-,-,-,-,单电机,单电机,单电机,单电机,-,-,-,-
电动机,电机布局,-,-,-,-,前置,前置,前置,前置,-,-,-,-
电池/充电,电池类型,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-
变速箱,简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/50 R17,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 225/45 R18
车轮制动,后轮胎规格,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/50 R17,● 215/50 R17,● 225/45 R18,● 215/55 R16,● 215/55 R16,● 215/50 R17,● 225/45 R18
车轮制动,备胎规格,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,膝部气囊,"● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊","● 主驾膝部气囊
● 副驾膝部气囊"
被动安全,被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 前排,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,●,●,●,-,-,●,●,-,●,●,●
主动安全,主动刹车/主动安全系统,-,●,●,●,-,-,●,●,-,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,-,●,●,●,-,-,●,●,-,●,●,●
主动安全,低速行车警告,-,-,-,-,●,●,●,●,-,-,-,-
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济","● 运动
● 经济"
驾驶操控,发动机启停技术,●,●,●,●,-,-,-,-,●,●,●,●
驾驶操控,能量回收系统,-,-,-,-,●,●,●,●,-,-,-,-
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变转向比,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,-,前-/后 ●,-,-,前-/后 ●,前-/后 ●,-,-,-,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,前方感知摄像头,-,● 单目,● 单目,● 单目,-,-,● 单目,● 单目,-,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 1个,● 2个,● 2个,● 2个,● 1个,● 1个,● 2个,● 2个,● 1个,● 2个,● 2个,● 2个
驾驶硬件,超声波雷达数量,-,-,-,● 4个,-,-,● 4个,● 4个,-,-,-,● 4个
驾驶功能,巡航系统,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,-,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Honda SENSING,● Honda SENSING,● Honda SENSING,-,-,● Honda SENSING,● Honda SENSING,-,● Honda SENSING,● Honda SENSING,● Honda SENSING
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,-,-,● L2,● L2,-,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,●,-,●,-,-,●,●,-,●,-,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,●,-,●,-,-,●,●,-,●,-,●
驾驶功能,车道保持辅助系统,-,●,●,●,-,-,●,●,-,●,●,●
驾驶功能,车道居中保持,-,●,●,●,-,-,●,●,-,●,●,●
驾驶功能,道路交通标识识别,-,●,●,●,-,-,●,●,-,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,-,● 运动风格,● 运动风格,-,-,● 运动风格,● 运动风格,-,-,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED
车外灯光,远光灯光源,● 卤素,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● 卤素,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,●,●,●,-,-,●,●,-,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,转向辅助灯,-,-,-,●,-,-,-,●,-,-,-,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗,● 电动天窗,● 电动天窗,● 电动天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 前排,● 前排,● 前排,● 全车,● 前排,● 前排,● 全车,● 全车,● 前排,● 前排,● 前排,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶","● 主驾位
● 副驾驶"
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠",● 电动调节,"● 电动调节
● 电动折叠
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜加热
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸,● 9英寸
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田,● 你好，本田
互联/智能化,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域,● 单区域
互联/智能化,车载智能系统,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0,● Honda Connect 4.0
互联/智能化,车联网,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机APP远程功能,"● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车"
互联/智能化,主动降噪,-,-,-,-,-,●,●,●,-,-,-,-
互联/智能化,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 真皮,● 真皮,● 塑料,● 塑料,● 真皮,● 真皮,● 塑料,● 塑料,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 按键式换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,●,●,●,-,-,●,●,-,●,●,●
