セクション,項目,畅巡 2023款 星河版,畅巡 2023款 星云版,畅巡 2023款 星宇版,畅巡 2023款 星享版,畅巡 2023款 星享版 Plus
互联/智能化,中控屏幕尺寸,● 10.1英寸,● 10.1英寸,● 10.1英寸,-,● 8英寸
互联/智能化,蓝牙/车载电话,●,●,●,-,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife",-,"● 支持CarPlay
● 支持CarLife"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗",-,"● 多媒体系统
● 导航
● 电话
● 空调"
互联/智能化,语音助手唤醒词,● 你好，小雪,● 你好，小雪,● 你好，小雪,● 你好，小雪,● 你好，小雪
互联/智能化,语音分区域唤醒识别,● 单区域,● 单区域,● 单区域,-,● 单区域
互联/智能化,车载智能系统,● 小雪OS,● 小雪OS,● 小雪OS,-,● 小雪OS
互联/智能化,车联网,●,●,●,-,●
互联/智能化,4G/5G网络,● 4G,● 4G,● 4G,-,● 4G
互联/智能化,OTA升级,●,●,●,-,●
互联/智能化,Wi-Fi热点,●,●,●,-,●
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD",● USB,"● USB
● AUX
● SD"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,主 ● /副-,-,-
座椅配置,前排座椅功能,-,● 加热,● 加热,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 7喇叭,● 7喇叭,● 4喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 单色,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●
空调/冰箱,空气质量监测,●,●,●,-,-
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
