セクション,項目,江豚 2023款 宽体版 中航锂电38.64kWh,江豚 2023款 宽心版 中航锂电38.64kWh,江豚 2023款 宽体版 国轩高科38.7kWh,江豚 2023款 宽心版 国轩高科38.7kWh,江豚 2023款 宽体版 国轩高科40.55kWh,江豚 2023款 宽心版 国轩高科40.55kWh,江豚 2023款 宽裕版 宁德时代41.86kWh,江豚 2022款 江豚I号超运版国轩高科,江豚 2022款 江豚I号智运版国轩高科,江豚 2022款 江豚II号超运版宁德时代,江豚 2022款 江豚II号智运版宁德时代
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,-,-,-,-
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 2,● 2,● 2,● 2,● 2,● 2,● 2,● 2,● 2,● 2,● 2
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-
车身,货箱尺寸(mm),-,-,-,-,-,-,-,2785x1595x1310,2785x1595x1310,2785x1595x1310,2785x1595x1310
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
车身,后排车门开启方式,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门,● 侧滑门
车身,最大载重质量(kg),1065,1038,1070,1050,1050,1028,1038,1028,1028,1038,1038
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),60,60,60,60,60,60,60,60,60,60,60
电动机,电动机总马力(Ps),82,82,82,82,82,82,82,-,-,-,-
电动机,电动机总扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220
电动机,后电动机最大功率(kW),60,60,60,60,60,60,60,60,60,60,60
电动机,后电动机最大扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机,三电系统质保,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中航锂电,● 中航锂电,● 国轩高科,● 国轩高科,● 国轩高科,● 国轩高科,● 宁德时代,-,-,-,-
电池/充电,NEDC纯电续航里程(km),260,260,260,260,276,276,285,276,276,285,285
电池/充电,电池能量(kWh),38.64,38.64,38.7,38.7,40.55,40.55,41.86,40.5,40.5,41.86,41.86
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池/充电,电池快充电量范围(%),80,80,80,80,80,80,80,80,80,80,80
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架,● 钢板弹簧非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,后制动器类型,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式,● 鼓式
车轮制动,驻车制动类型,-,-,-,-,-,-,-,-,-,-,-
车轮制动,前轮胎规格,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT
车轮制动,后轮胎规格,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT,● 185/65 R15LT
车轮制动,备胎规格,-,-,-,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-
主动安全,牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-
主动安全,车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
主动安全,胎压监测功能,-,-,-,-,-,-,-,-,-,-,-
主动安全,安全带未系提醒,-,-,-,-,-,-,-,-,-,-,-
主动安全,ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-
主动安全,车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●,前-/后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,-,-,-,-,-,-,-
驾驶功能,巡航系统,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,卫星导航系统,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢,● 钢
外观/防盗,侧滑门形式,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,-,-,-,-,● 触控液晶屏,-,● 触控液晶屏
互联/智能化,中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,车联网,-,-,-,-,-,-,-,-,-,-,-
互联/智能化,OTA升级,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料,● 塑料
方向盘/内后视镜,方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,多功能方向盘,-,-,-,-,-,-,-,-,●,-,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,●,●,●,●
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,-,-,-,-,-,-,-,-,-,-,-
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,-,-,-,-,-,-,-,-,-,-,-
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物,● 织物
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,副座椅调节方式,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排杯架,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查,● 待查
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
