セクション,項目,海狮05 DM-i 2026款 DM-i 220启航版,海狮05 DM-i 2026款 DM-i 220领航版,海狮05 DM-i 2026款 DM-i 220智航版,海狮05 DM-i 2026款 DM-i 305领航版,海狮05 DM-i 2026款 DM-i 305智航版,海狮05 DM-i 2025款 DM-i 智驾版 75KM豪华型,海狮05 DM-i 2025款 DM-i 75KM豪华型,海狮05 DM-i 2025款 DM-i 智驾版 75KM尊贵型,海狮05 DM-i 2025款 DM-i 75KM尊贵型,海狮05 DM-i 2025款 DM-i 智驾版 115KM尊荣型,海狮05 DM-i 2025款 DM-i 115KM尊荣型,海狮05 DM-i 2025款 DM-i 智驾版 115KM旗舰型,海狮05 DM-i 2025款 DM-i 115KM旗舰型
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,-,-,-,-,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4
基本参数,电动机(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163
基本参数,长*宽*高(mm),4620*1860*1630,4620*1860*1630,4620*1860*1630,4620*1860*1630,4620*1860*1630,4726*1880*1720,4710*1880*1720,4726*1880*1720,4710*1880*1720,4726*1880*1720,4710*1880*1720,4726*1880*1720,4710*1880*1720
基本参数,官方0-100km/h加速(s),8.4,8.4,8.4,8.6,8.6,8.3,8.3,8.3,8.3,8.5,8.5,8.5,8.5
基本参数,最高车速(km/h),175,175,175,175,175,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.76,0.76,0.74,0.58,0.58,1.86,1.86,1.86,1.86,1.14,1.14,1.14,1.14
基本参数,最低荷电状态油耗(L/100km)WLTC,4.5,4.5,4.35,4.4,4.4,4.85,4.85,4.85,4.85,4.9,4.9,4.9,4.9
基本参数,最低荷电状态油耗(L/100km)NEDC,3.2,3.2,3.1,3.1,3.1,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79
基本参数,油电综合燃料消耗量(L/100km),2.52,2.52,2.47,2.44,2.44,3.38,3.38,3.38,3.38,2.97,2.97,2.97,2.97
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,首任车主质保政策,-,-,-,-,-,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1720,1720,1720,1780,1780,1670,1635,1670,1635,1765,1765,1765,1765
基本参数,最大满载质量(kg),2160,2160,2160,2220,2220,2045,2010,2045,2010,2140,2140,2140,2140
车身,长度(mm),4620,4620,4620,4620,4620,4726,4710,4726,4710,4726,4710,4726,4710
车身,宽度(mm),1860,1860,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880
车身,高度(mm),1630,1630,1630,1630,1630,1720,1720,1720,1720,1720,1720,1720,1720
车身,轴距(mm),2770,2770,2770,2770,2770,2712,2712,2712,2712,2712,2712,2712,2712
车身,前轮距(mm),1575,1575,1575,1575,1575,1573,1573,1573,1573,1573,1573,1573,1573
车身,后轮距(mm),1575,1575,1575,1575,1575,1582,1582,1582,1582,1582,1582,1582,1582
车身,接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18
车身,离去角(°),23,23,23,23,23,22,22,22,22,22,22,22,22
车身,最小转弯半径(m),5.25,5.25,5.25,5.25,5.25,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),65,65,65,65,65,52,52,52,52,52,52,52,52
车身,后备厢容积(L),-,-,-,-,-,407-1430,407-1430,407-1430,407-1430,407-1430,407-1430,407-1430,407-1430
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC
发动机,排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),101,101,101,101,101,101,101,101,101,101,101,101,101
发动机,最大功率(kW),74,74,74,74,74,74,74,74,74,74,74,74,74
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),126,126,126,126,126,126,126,126,126,126,126,126,126
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,最大净功率(kW),70,70,70,70,70,70,70,70,70,70,70,70,70
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电动机,前电动机型号,TZ210QYA,TZ210QYA,TZ210QYA,TZ210QYA,TZ210QYA,TZ210XYB,TZ210XYB,TZ210XYB,TZ210XYB,TZ210XYB,TZ210XYB,TZ210XYB,TZ210XYB
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),120,120,120,120,120,120,120,120,120,120,120,120,120
电动机,电动机总马力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163
电动机,电动机总扭矩(N·m),210,210,210,210,210,210,210,210,210,210,210,210,210
电动机,前电动机最大功率(kW),120,120,120,120,120,120,120,120,120,120,120,120,120
电动机,前电动机最大扭矩(N·m),210,210,210,210,210,210,210,210,210,210,210,210,210
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-,-,-,-
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,-,-,-,-,-,-,-,-
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,WLTC纯电续航里程(km),151,151,155,205,205,64,64,64,64,93,93,93,93
电池/充电,CLTC纯电续航里程(km),220,220,220,305,305,75,75,75,75,115,115,115,115
电池/充电,CLTC综合续航(km),2020,2020,2020,2105,2105,1360,1360,1360,1360,1400,1400,1400,1400
电池/充电,电池能量(kWh),26.628,26.628,26.628,34.275,34.275,12.9,12.9,12.9,12.9,18.3,18.3,18.3,18.3
电池/充电,百公里耗电量(kWh/100km),15.2,15.2,14.9,16,16,13.1,13.1,13.1,13.1,15.8,15.8,15.8,15.8
电池/充电,快充功能,支持,支持,支持,支持,支持,-,-,-,-,支持,支持,支持,支持
电池/充电,快充功率(kW),57,57,57,74,74,-,-,-,-,18,18,18,18
电池/充电,电池快充时间(小时),0.27,0.27,0.27,0.31,0.31,-,-,-,-,0.57,0.57,0.57,0.57
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,-,-,-,-,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-,-,-,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 四连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R17,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/50 R19,● 235/50 R19
车轮制动,后轮胎规格,● 215/60 R17,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 215/55 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 225/60 R18,● 235/50 R19,● 235/50 R19
车轮制动,备胎规格,-,-,-,-,-,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,-,●,●,●,●,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,●,-,●,●,-,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,-,-,●,-,●,●,-,●,●,●,●,●,●
主动安全,疲劳驾驶提示,-,-,●,-,●,-,-,-,-,-,-,-,-
主动安全,DOW开门预警,-,-,●,-,●,●,-,●,-,●,-,●,●
主动安全,前方碰撞预警,-,-,●,-,●,●,-,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,-,●,●,-,●,-,●,-,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,-,●,-,●,-,●,-
主动安全,低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,-,●,●,●,●,●,-,●,-,●,●,●,●
主动安全,道路救援呼叫,-,-,●,-,●,-,-,-,-,-,-,-,-
主动安全,防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地","● 运动
● 经济
● 标准/舒适
● 雪地"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,-,-,-,-,● 悬架软硬调节,-,-,-,-,-,-,-,-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,辅助驾驶芯片,-,-,-,-,-,● 英伟达 Orin-N,-,● 英伟达 Orin-N,-,● 英伟达 Orin-N,-,● 英伟达 Orin-N,-
驾驶硬件,芯片总算力,-,-,-,-,-,● 84 TOPS,-,● 84 TOPS,-,● 84 TOPS,-,● 84 TOPS,-
驾驶硬件,前方感知摄像头,-,-,● 双目,-,● 双目,● 三目,-,● 三目,● 单目,● 三目,● 单目,● 三目,● 单目
驾驶硬件,摄像头数量,● 4个,● 4个,● 11个,● 4个,● 11个,● 12个,● 4个,● 12个,● 5个,● 12个,● 5个,● 12个,● 5个
驾驶硬件,车内摄像头数量,-,-,● 1个,-,● 1个,-,-,-,-,-,-,-,-
驾驶硬件,超声波雷达数量,● 6个,● 6个,● 12个,● 6个,● 12个,● 12个,● 6个,● 12个,● 6个,● 12个,● 6个,● 12个,● 6个
驾驶硬件,毫米波雷达数量,-,-,● 3个,-,● 3个,● 5个,-,● 5个,-,● 5个,-,● 5个,-
驾驶硬件,激光雷达数量,-,-,○ 1个,-,○ 1个,-,-,-,-,-,-,-,-
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,-,"● DiPilot 100
○ DiPilot 300 (1.20万元)",-,"● DiPilot 100
○ DiPilot 300 (1.20万元)",● DiPilot 100,-,● DiPilot 100,● DiPilot,● DiPilot 100,● DiPilot,● DiPilot 100,● DiPilot
驾驶功能,辅助驾驶等级,-,-,● L2,-,● L2,● L2,-,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,-,●,●,-,●,-,●,-,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 百度,● 高德,● 百度,● 高德,● 百度,● 高德,● 百度,● 高德
驾驶功能,并线辅助,-,-,●,-,●,●,-,●,-,●,-,●,●
驾驶功能,车道保持辅助系统,-,-,●,-,●,●,-,●,●,●,●,●,●
驾驶功能,车道居中保持,-,-,●,-,●,●,-,●,●,●,●,●,●
驾驶功能,道路交通标识识别,-,-,●,-,●,●,-,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,遥控泊车,-,-,●,-,●,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,辅助匝道自动驶出(入),-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,方向盘离手检测,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,辅助驾驶路段,-,-,"○ 城市路段
● 高速路段",-,"○ 城市路段
● 高速路段",● 高速路段,-,● 高速路段,-,● 高速路段,-,● 高速路段,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,●,●,●,-,-,●,●,●,-,●,●
外观/防盗,电动后备厢位置记忆,-,●,●,●,●,-,-,●,●,●,-,●,●
外观/防盗,车顶行李架,-,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,主动闭合式进气格栅,-,-,●,●,●,-,-,-,-,-,-,-,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,●,-,●,●,-,●,●,●,●,●,●
