セクション,セクション_ja,項目,項目_ja,2026年モデル トラベラー 1.5T ハイブリッド 2WD版,2026年モデル トラベラー 1.5T ハイブリッド 標準版,2026年モデル トラベラー 1.5T ハイブリッド 上級版,2026年モデル トラベラー 1.5T ハイブリッド 営業用版,2026年モデル トラベラー 1.5T DCT 2WD 標準版,2026年モデル トラベラー 1.5T DCT 2WD 上級版,2026年モデル トラベラー 1.5T DCT 2WD 7人乗り版,2024年モデル 1.5T ライトワイルド Air版,2024年モデル 1.5T ライトワイルド Pro版,2024年モデル 1.5T ライトワイルド Max版,2024年モデル 1.5T マホコア 電動駆動 標準版,2024年モデル 1.5T マホコア 電動駆動 上級版
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ,● 235/60 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ,● 235/65 R18タイヤ,● 235/60 R19タイヤ,● 235/65 R18タイヤ,● 235/60 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,-,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● パンク修理キット,● パンク修理キット
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,-,-,-,-,● トランク内収納,● トランク内収納,-,● トランク内収納,● トランク内収納,● トランク内収納,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,前 ● / 後,前 ● / 後,前 ● / 後,-,前 ● / 後,前 ● / 後,-,前 ● / 後,前 ● / 後,前 ● / 後,前 ● / 後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,-,前 ● / 後 ●,前 ● / 後 ●,-,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,-,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,-,-,-,-,-,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,●,-,-,-,-,-,-,○,-,○
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● スノー","● スポーツ
● エコ
● 標準／快適
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,4WD/オフロード,涉水感应系统,水深感知システム,-,●,●,●,-,-,-,-,-,-,-,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前- / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前- / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前- / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● バックカメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,-,●,●,-,-,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 5個,● 5個,● 4個,● 5個,● 5個,● 1個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個,● 8個,● 8個,● 8個,● 4個,● 8個,● 8個,● 4個,● 8個,● 8個,● 8個,● 8個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール,● 全速度域自動追従クルーズコントロール
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,-,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,-,●,●,-,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,-,●,●,-,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,-,●,●,-,●,●,●,●
