セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T 6MT 快適型,2025年モデル 1.5T CVT エリート型,Unnamed 4
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,–
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,–
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,●,–
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,● 前席,–
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,–
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,–
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,–
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,–
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,–
车外灯光,外部照明,转向辅助灯,コーナリングランプ,●,●,–
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,–
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,–
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,–
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,-,–
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前● / 後●,前● / 後●,–
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 運転席,● 全車,–
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,–
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,–
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,-,"● 運転席＋照明灯
● 助手席＋照明灯",–
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,●,–
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,-,–
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● ドアミラー加熱",–
互联/智能化,互联/智能化,中控彩色屏幕,センターカラーディスプレイ,-,● タッチ液晶ディスプレイ,–
互联/智能化,互联/智能化,中控屏幕尺寸,センターディスプレイサイズ,-,● 12.8インチ,–
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話機能,●,●,–
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,-,"● 純正連携/ミラーリング対応
● HUAWEI HiCar対応
● Carlink対応",–
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,-,-,–
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,-,● Ling OS,–
互联/智能化,互联/智能化,车联网,コネクテッドカー機能,-,-,–
互联/智能化,互联/智能化,OTA升级,OTAアップデート,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● レザー,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下＋前後調整,–
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,–
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,–
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,–
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 3.5インチ,● 3.5インチ,–
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,● 手動防眩機能,–
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C",–
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,–
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,–
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 合成皮革,–
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）",–
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整",–
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席●／助手席,–
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● リクライニング調整","● 前後調整
● リクライニング調整",–
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,–
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● リクライニング調整,● リクライニング調整,–
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3（シート配列）,● 2-2-3（シート配列）,–
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方式,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前● / 後●,前● / 後●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,● 6スピーカー,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● マニュアルエアコン,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,●,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,-,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,-,-,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,–
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
