セクション,項目,极氪8X 2026款 Max版 55kWh,极氪8X 2026款 Max版 70kWh,极氪8X 2026款 Ultra版 55kWh,极氪8X 2026款 Ultra版 70kWh,极氪8X 2026款 Ultra+版 55kWh,极氪8X 2026款 Ultra+版 70kWh,极氪8X 2026款 曜影 70kWh
电池/充电,电芯品牌,● 宁德时代(时代吉利),● 宁德时代(时代吉利),● 宁德时代(时代吉利),● 宁德时代(时代吉利),● 宁德时代(时代吉利),● 宁德时代(时代吉利),● 宁德时代(时代吉利)
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),257,328,256,328,256,328,268
电池/充电,CLTC纯电续航里程(km),320,410,318,410,318,410,330
电池/充电,WLTC综合续航(km),1152,1205,1148,1205,1148,1205,1037
电池/充电,CLTC综合续航(km),1362,1416,1357,1416,1357,1416,1210
电池/充电,电池能量(kWh),55,70,55,70,55,70,70
电池/充电,百公里耗电量(kWh/100km),21.4,21.7,21.5,21.7,21.5,21.7,25.9
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,900,900,900,900,900,900,900
电池/充电,电池快充时间(分钟),9,9,9,9,9,9,9
电池/充电,电池快充时间(小时),0.15,0.15,0.15,0.15,0.15,0.15,0.15
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6
电池/充电,对外直流放电功率(kW),60,60,60,60,60,60,60
变速箱,简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
变速箱,挡位个数,1,1,1,1,1,1,1
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/55 R20
○ 255/50 R21 (2.00万元)
○ 275/40 R22 (3.50万元)","● 255/55 R20
○ 255/50 R21 (2.00万元)
○ 275/40 R22 (3.50万元)","● 255/55 R20
○ 255/50 R21 (2.00万元)
○ 275/40 R22 (3.50万元)","● 255/55 R20
○ 255/50 R21 (2.00万元)
○ 275/40 R22 (3.50万元)","● 255/50 R21
○ 275/40 R22 (3.50万元)","● 255/50 R21
○ 275/40 R22 (3.00万元)",● 275/40 R22
车轮制动,后轮胎规格,"● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/50 R21
○ 275/40 R22","● 255/50 R21
○ 275/40 R22",● 315/35 R22
车轮制动,备胎规格,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●,●,●,●
驾驶操控,空气悬挂类型,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔
驾驶操控,拖挂模式,○,○,○,○,○,○,-
四驱/越野,涉水感应系统,○,○,○,○,○,○,●
四驱/越野,蠕行模式,●,●,●,●,●,●,●
四驱/越野,坦克转弯,-,-,-,-,-,-,●
四驱/越野,拖挂钩,○ 电动 (7000元),○ 电动 (7000元),○ 电动 (7000元),○ 电动 (7000元),○ 电动 (7000元),○ 电动 (7000元),-
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,"● 英伟达 Drive Thor
○ 2颗 英伟达 Drive Thor","● 英伟达 Drive Thor
○ 2颗 英伟达 Drive Thor","● 英伟达 Drive Thor
○ 2颗 英伟达 Drive Thor","● 英伟达 Drive Thor
○ 2颗 英伟达 Drive Thor","● 英伟达 Drive Thor
○ 2颗 英伟达 Drive Thor","● 英伟达 Drive Thor
○ 2颗 英伟达 Drive Thor",● 2颗 英伟达 Drive Thor
驾驶硬件,芯片总算力,"● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS",● 1400 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,"● 10个
○ 11个","● 10个
○ 11个",● 11个,● 11个,● 11个,● 11个,● 11个
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达数量,"● 1个
○ 5个","● 1个
○ 5个","● 1个
○ 5个","● 1个
○ 5个","● 1个
○ 5个","● 1个
○ 5个",● 5个
驾驶硬件,激光雷达线数,○ 520线,○ 520线,○ 520线,○ 520线,○ 520线,○ 520线,● 520线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,"● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9",● 千里浩瀚H9
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●
驾驶功能,夜视系统,○,○,○,○,○,○,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●
驾驶功能,远程召唤,○,○,○,○,○,○,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,外观套件,-,-,-,-,-,-,● 运动风格
外观/防盗,电动扰流板,-,-,-,-,-,-,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,自动开合车门,-,-,●,●,●,●,●
外观/防盗,电动后备厢,●,●,●,●,●,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,主动闭合式进气格栅,●,●,●,●,●,●,●
外观/防盗,远程启动功能,●,●,●,●,●,●,●
外观/防盗,车侧脚踏板,○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元),○ 电动 (10000元)
外观/防盗,电池预加热,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,"● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式","● 矩阵式
● 像素式"
车外灯光,LED日间行车灯,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●
车外灯光,转向头灯,-,-,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●
车外灯光,场景灯语,●,●,●,●,●,●,●
车外灯光,辅助驾驶灯,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动,● 电动
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸
互联/智能化,中控屏幕类型,● MINI LED,● MINI LED,"● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED","● OLED
○ MINI LED"
互联/智能化,中控屏幕分辨率,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K
互联/智能化,副驾娱乐屏尺寸,-,-,● 16英寸,● 16英寸,● 16英寸,● 16英寸,● 16英寸
互联/智能化,副驾屏幕类型,-,-,● OLED,● OLED,● OLED,● OLED,● OLED
互联/智能化,副驾屏幕分辨率,-,-,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar,● 支持HUAWEI HiCar
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
互联/智能化,语音助手唤醒词,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,"● 四区域
○ 六区域","● 四区域
○ 六区域","● 四区域
○ 六区域","● 四区域
○ 六区域","● 四区域
○ 六区域","● 四区域
○ 六区域",● 四区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●
互联/智能化,面部识别,●,●,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS
互联/智能化,车机智能芯片,"● 高通骁龙8295
○ 2颗 高通骁龙8295","● 高通骁龙8295
○ 2颗 高通骁龙8295",● 2颗 高通骁龙8295,● 2颗 高通骁龙8295,● 2颗 高通骁龙8295,● 2颗 高通骁龙8295,● 2颗 高通骁龙8295
互联/智能化,后排液晶屏幕,●,●,●,●,●,●,●
