セクション,セクション_ja,項目,項目_ja,2026年モデル Max版 55kWh,2026年モデル Max版 70kWh,2026年モデル Ultra版 55kWh,2026年モデル Ultra版 70kWh,2026年モデル Ultra+版 55kWh,2026年モデル Ultra+版 70kWh,2026年モデル 曜影 70kWh
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),2000,2000,2000,2000,2000,2000,-
车身,車体,长度(mm),全長(mm),5100,5100,5100,5100,5100,5100,5108
车身,車体,宽度(mm),全幅(mm),1998,1998,1998,1998,1998,1998,2026
车身,車体,高度(mm),全高(mm),1780,1780,1780,1780,1780,1780,1780
车身,車体,轴距(mm),ホイールベース(mm),3069,3069,3069,3069,3069,3069,3069
车身,車体,前轮距(mm),前トレッド(mm),1732,1732,1732,1732,1732,1732,1738
车身,車体,后轮距(mm),後トレッド(mm),1745,1745,1745,1745,1745,1745,1758
车身,車体,最小离地间隙(mm),最低地上高(mm),191,191,191,191,191,191,180
车身,車体,接近角(°),アプローチアングル(°),20,20,20,20,20,20,20
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,21
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),"● 5
○ 6（1万円）","● 5
○ 6（1万円）","● 5
○ 6（1万円）","● 5
○ 6（1万円）","● 5
○ 6（1万円）","● 5
○ 6（1万円）",● 5
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,55,55,55,55,55
车身,車体,后备厢容积(L),トランク容量(L),1133-2200,1133-2200,1133-2200,1133-2200,1133-2200,1133-2200,1133-2200
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ
发动机,エンジン,排量(mL),排気量(mL),1974,1974,1974,1974,1974,1974,1974
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),279,279,279,279,279,279,279
发动机,エンジン,最大功率(kW),最大出力(kW),205,205,205,205,205,205,205
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),410,410,410,410,410,410,410
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500
发动机,エンジン,最大净功率(kW),最大正味出力(kW),202,202,202,202,202,202,202
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン,95オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01
电动机,モーター,后电动机型号,後モーター型式,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04/TZ230XYC04
电动机,モーター,电机类型,モーター種類,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター,永久磁石/同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),660,660,660,660,660,660,1030
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),898,898,898,898,898,898,1401
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),935,935,935,935,935,935,1410
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),290,290,290,290,290,290,290
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),370,370,370,370,370,370,740
电动机,モーター,驱动电机数,駆動モーター数,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,デュアルモーター,トリプルモーター
电动机,モーター,电机布局,モーター配置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置,前置＋後置
电动机,モーター,三电首任车主质保政策,三電初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）,● 寧徳時代（時代ジーリー）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,WLTC纯电续航里程(km),WLTC航続距離(km),257,328,256,328,256,328,268
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),320,410,318,410,318,410,330
电池/充电,バッテリー/充電,WLTC综合续航(km),WLTC総合航続距離(km),1152,1205,1148,1205,1148,1205,1037
电池/充电,バッテリー/充電,CLTC综合续航(km),CLTC総合航続距離(km),1362,1416,1357,1416,1357,1416,1210
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),55,70,55,70,55,70,70
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力量(kWh/100km),21.4,21.7,21.5,21.7,21.5,21.7,25.9
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,900,900,900,900,900,900,900
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.15,0.15,0.15,0.15,0.15,0.15,0.15
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6,6,6,6
电池/充电,バッテリー/充電,对外直流放电功率(kW),外部直流放電出力(kW),60,60,60,60,60,60,60
变速箱,トランスミッション,简称,略称,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT,1速DHT
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD,● 前置4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD,● 電動4WD
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション,● ダブルウィッシュボーン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,"● 255/55 R20
○ 255/50 R21（2万円）
○ 275/40 R22（3.5万円）","● 255/55 R20
○ 255/50 R21（2万円）
○ 275/40 R22（3.5万円）","● 255/55 R20
○ 255/50 R21（2万円）
○ 275/40 R22（3.5万円）","● 255/55 R20
○ 255/50 R21（2万円）
○ 275/40 R22（3.5万円）","● 255/50 R21
○ 275/40 R22（3.5万円）","● 255/50 R21
○ 275/40 R22（3万円）",● 275/40 R22
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/55 R20
○ 255/50 R21
○ 275/40 R22","● 255/50 R21
○ 275/40 R22","● 255/50 R21
○ 275/40 R22",● 315/35 R22
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●,メイン●／サブ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応,● 全車対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● オフロード
● 雪道
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー,● ダブルチャンバー
驾驶操控,ドライビングコントロール,拖挂模式,トレーラーモード,○,○,○,○,○,○,-
四驱/越野,四輪駆動/オフロード,涉水感应系统,水深感知システム,○,○,○,○,○,○,●
四驱/越野,四輪駆動/オフロード,蠕行模式,クリープモード,●,●,●,●,●,●,●
四驱/越野,四輪駆動/オフロード,坦克转弯,タンクターン,-,-,-,-,-,-,●
四驱/越野,四輪駆動/オフロード,拖挂钩,トレーラーフック,○ 電動（7000元）,○ 電動（7000元）,○ 電動（7000元）,○ 電動（7000元）,○ 電動（7000元）,○ 電動（7000元）,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,"● NVIDIA Drive Thor
○ 2基 NVIDIA Drive Thor","● NVIDIA Drive Thor
○ 2基 NVIDIA Drive Thor","● NVIDIA Drive Thor
○ 2基 NVIDIA Drive Thor","● NVIDIA Drive Thor
○ 2基 NVIDIA Drive Thor","● NVIDIA Drive Thor
○ 2基 NVIDIA Drive Thor","● NVIDIA Drive Thor
○ 2基 NVIDIA Drive Thor",● NVIDIA Drive Thor 2基
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,"● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS","● 700 TOPS
○ 1400 TOPS",● 1400 TOPS
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,"● 10個
○ 11個","● 10個
○ 11個",● 11個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個,● 5個
驾驶硬件,運転ハードウェア,激光雷达数量,レーザーレーダー数,"● 1個
○ 5個","● 1個
○ 5個","● 1個
○ 5個","● 1個
○ 5個","● 1個
○ 5個","● 1個
○ 5個",● 5個
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,○ 520本,○ 520本,○ 520本,○ 520本,○ 520本,○ 520本,● 520本
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール,● 全速度域アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,"● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9","● 千里浩瀚H7
○ 千里浩瀚H9",● 千里浩瀚H9
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況表示,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●
驾驶功能,運転機能,夜视系统,ナイトビジョン,○,○,○,○,○,○,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,●
驾驶功能,運転機能,远程召唤,リモート呼び出し,○,○,○,○,○,○,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●,●
驾驶功能,運転機能,起步提醒,発進リマインダー,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,"● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路","● 市街地
● 高速道路"
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,● スポーティスタイル
外观/防盗,エクステリア・盗難防止,电动扰流板,電動スポイラー,-,-,-,-,-,-,●
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
