セクション,項目,捷途旅行者 2026款 1.5TD 探索,捷途旅行者 2026款 1.5TD 探索+,捷途旅行者 2026款 2.0TD XWD 发现,捷途旅行者 2026款 2.0TD XWD 穿越,捷途旅行者 2026款 2.0TD XWD 征服,捷途旅行者 2026款 2.0TD XWD 远征,捷途旅行者 2026款 2.0TD XWD 悦野,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD发现,捷途旅行者 2026款 2.0TD DCT 骏马版 XWD穿越,捷途旅行者 2026款 PLUS 2.0TD XWD征服 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服 7座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 5座,捷途旅行者 2026款 PLUS 2.0TD XWD征服+ 7座,捷途旅行者 2026款 1.5TD DCT 骏马版 探索+,捷途旅行者 2025款 1.5TD DCT 探索+畅行版,捷途旅行者 2025款 2.0TD DCT 四驱星际卫士,捷途旅行者 2025款 2.0TD DCT XWD 发现畅行版,捷途旅行者 2025款 2.0TD XWD 自动征服+畅行版,捷途旅行者 2025款 1.5TD DCT两驱探索,捷途旅行者 2025款 1.5TD DCT两驱探索+,捷途旅行者 2025款 2.0TD DCT XWD发现,捷途旅行者 2025款 2.0TD DCT XWD穿越,捷途旅行者 2025款 2.0TD DCT XWD穿越+,捷途旅行者 2025款 2.0TD XWD 自动悦野,捷途旅行者 2025款 2.0TD XWD 自动征服,捷途旅行者 2025款 2.0TD XWD 自动征服加长版 7座,捷途旅行者 2025款 2.0TD XWD 自动征服+,捷途旅行者 2025款 2.0TD XWD 自动征服+加长版 7座,捷途旅行者 2025款 2.0T DCT 星月女神,捷途旅行者 2025款 2.0T 自动四驱20万纪念版,捷途旅行者 2025款 2.0TD DCT 四驱银龙之翼Air,捷途旅行者 2024款 2.0T 四驱悦野PRO,捷途旅行者 2024款 2.0T 四驱穿越PRO娱乐版,捷途旅行者 2024款 2.0T 四驱穿越PRO+娱乐版,捷途旅行者 2024款 2.0T 四驱和平精英战神版,捷途旅行者 2023款 1.5T 两驱发现PRO
基本参数,长*宽*高(mm),4795*2006*1870,4795*2006*1870,4795*2006*1880,4795*2006*1880,4795*2006*1880,4795*2006*1880,4795*2006*1880,4795*2006*1880,4795*2006*1880,5034*2006*1880,5034*2006*1880,5034*2006*1880,5034*2006*1880,4795*2006*1870,4785*2006*1880,4785*2022*1910,4785*2006*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,5034*2006*1880,4785*2006*1880,5034*2006*1880,4785*2006*1880,4785*2006*1880,4782*2036*1880,4785*2006*1880,4785*2006*1880,4785*2006*1880,4782*2036*1960,4785*2006*1880
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,190,180,180,180,180,190,190,190,190,180,180,180,180,180,180,180,180,180,180,180,180,190,180,190,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),8.35,8.35,8.83,8.83,9.58,8.83,8.83,8.83,8.83,9.83,9.83,9.83,9.83,8.35,8.35,10.2,8.83,9.58,8.35,8.35,8.83,8.83,8.83,8.83,9.58,9.83,9.58,9.83,8.83,9.58,10.89,9.58,8.83,8.83,10.89,8.35
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1700,1700,1869,1869,1927,1869,1869,1869,1869,2008,2041,2008,2041,1700,1700,1924,1843,1843,1700,1700,1843,1869,1869,1869,1927,2008,1927,2008,1869,1919,1934,1919,1869,1869,1934,1700
基本参数,最大满载质量(kg),2450,2450,2450,2450,2450,2450,2450,2450,2450,2458,2700,2458,2700,2450,2450,2299,2450,2450,2450,2450,2450,2450,2450,2450,2450,2700,2450,2700,2450,2450,2450,2450,2450,2450,2450,2450
基本参数,准拖挂车总质量(kg),-,-,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,-,-,-,1600,1600,-,-,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,-,1600,1600,1600,-,-
车身,长度(mm),4795,4795,4795,4795,4795,4795,4795,4795,4795,5034,5034,5034,5034,4795,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,5034,4785,5034,4785,4785,4782,4785,4785,4785,4782,4785
车身,宽度(mm),2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2022,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2036,2006,2006,2006,2036,2006
车身,高度(mm),1870,1870,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1870,1880,1910,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1960,1880
车身,轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
车身,前轮距(mm),1690,1690,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1690,1690,1685,1685,1685,1690,1690,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1720,1685,1685,1685,1720,1690
车身,后轮距(mm),1700,1700,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1700,1700,1685,1695,1695,1700,1700,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1730,1695,1695,1695,1730,1700
车身,最小离地间隙(mm),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,215,220,220,220,215,220
车身,接近角(°),28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,24,28,28,28,24,28
车身,离去角(°),30,30,30,30,30,30,30,30,30,23,23,23,23,30,28,28,28,28,28,28,28,28,28,28,28,23,28,23,28,28,28,28,28,28,28,28
车身,最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,-,-,-,-,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,最大涉水深度(mm),700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 7,● 5,● 7,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 7,● 5,● 7,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,SQRG4J15,SQRG4J15,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRG4J15,SQRG4J15,SQRF4J20,SQRF4J20,SQRF4J20,SQRG4J15,SQRG4J15,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRF4J20,SQRG4J15
发动机,排量(mL),1498,1498,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1498,1498,1998,1998,1998,1498,1498,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1499
发动机,排量(L),1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,11.6,11.6,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,11.6,11.6,10.2,10.2,10.2,11.6,11.6,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,11.6
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),74.5,74.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,74.5,74.5,80.5,80.5,80.5,74.5,74.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,74.5
发动机,行程(mm),85.9,85.9,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,85.9,85.9,98.12,98.12,98.12,85.9,85.9,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,98.12,85.9
发动机,最大马力(Ps),184,184,254,254,254,254,254,254,254,254,254,254,254,184,184,254,254,254,184,184,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,184
发动机,最大功率(kW),135,135,187,187,187,187,187,187,187,187,187,187,187,135,135,187,187,187,135,135,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,135
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),290,290,390,390,390,390,390,390,390,390,390,390,390,290,290,390,390,390,290,290,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,290
发动机,最大扭矩转速(rpm),2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500
发动机,最大净功率(kW),125,125,180,180,180,180,180,180,180,180,180,180,180,125,125,180,180,180,125,125,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,125
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡湿式双离合,8挡手自一体,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,7,8,7,7,7,7,8,8,8,8,7,7,7,7,8,7,7,7,7,7,7,8,8,8,8,7,8,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),湿式双离合变速箱(DCT),手自一体变速箱(AT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
