セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD 探索,2026年モデル 1.5TD 探索+,2026年モデル 1.5TD DCT 駿馬版 探索+,2026年モデル 2.0TD XWD 発見,2026年モデル 2.0TD XWD 越境,2026年モデル 2.0TD XWD 征服,2026年モデル 2.0TD XWD 悦野,2026年モデル 2.0TD DCT 駿馬版 XWD 発見,2026年モデル 2.0TD DCT 駿馬版 XWD 越境,2025年モデル 1.5TD DCT 探索+ 快適版,2025年モデル 2.0TD DCT 4WD 星際衛士,2025年モデル 2.0TD DCT XWD 発見 快適版,2025年モデル 2.0TD XWD 自動 征服+ 快適版,2025年モデル 1.5TD DCT 2WD 探索,2025年モデル 1.5TD DCT 2WD 探索+,2025年モデル 2.0TD DCT XWD 発見,2025年モデル 2.0TD DCT XWD 越境,2025年モデル 2.0TD DCT XWD 越境+,2025年モデル 2.0TD XWD 自動 悦野,2025年モデル 2.0TD XWD 自動 征服,2025年モデル 2.0TD XWD 自動 征服 ロング版 7人乗り,2025年モデル 2.0TD XWD 自動 征服+,2025年モデル 2.0TD XWD 自動 征服+ ロング版 7人乗り,2025年モデル 2.0T DCT 星月女神,2025年モデル 2.0T 自動 4WD 20万記念版,2025年モデル 2.0TD DCT 4WD 銀龍の翼 Air,2024年モデル 2.0T 4WD 悦野PRO,2024年モデル 2.0T 4WD 越境PRO エンタメ版,2024年モデル 2.0T 4WD 越境PRO+ エンタメ版,2024年モデル 2.0T 4WD 平和精英 戦神版,2023年モデル 1.5T 2WD 発見PRO,2026年モデル 2.0TD XWD 征服 5人乗り,2026年モデル 2.0TD XWD 征服 7人乗り,2026年モデル 2.0TD XWD 征服+ 5人乗り,2026年モデル 2.0TD XWD 征服+ 7人乗り
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1700,1700,1700,1869,1869,1927,1869,1869,1869,1700,1924,1843,1843,1700,1700,1843,1869,1869,1869,1927,2008,1927,2008,1869,1919,1934,1919,1869,1869,1934,1700,2008,2041,2008,2041
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2299,2450,2450,2450,2450,2450,2450,2450,2450,2450,2700,2450,2700,2450,2450,2450,2450,2450,2450,2450,2450,2458,2700,2458,2700
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),-,-,-,1600,1600,1600,1600,1600,1600,-,-,1600,1600,-,-,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,-,1600,1600,1600,-,-,1600,1600,1600,1600
车身,車体,长度(mm),全長(mm),4795,4795,4795,4795,4795,4795,4795,4795,4795,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,5034,4785,5034,4785,4785,4782,4785,4785,4785,4782,4785,5034,5034,5034,5034
车身,車体,宽度(mm),全幅(mm),2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2022,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2036,2006,2006,2006,2036,2006,2006,2006,2006,2006
车身,車体,高度(mm),全高(mm),1870,1870,1870,1880,1880,1880,1880,1880,1880,1880,1910,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1960,1880,1880,1880,1880,1880
车身,車体,轴距(mm),ホイールベース(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
车身,車体,前轮距(mm),前トレッド(mm),1690,1690,1690,1685,1685,1685,1685,1685,1685,1690,1685,1685,1685,1690,1690,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1720,1685,1685,1685,1720,1690,1685,1685,1685,1685
车身,車体,后轮距(mm),後トレッド(mm),1700,1700,1700,1695,1695,1695,1695,1695,1695,1700,1685,1695,1695,1700,1700,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1730,1695,1695,1695,1730,1700,1695,1695,1695,1695
车身,車体,最小离地间隙(mm),最低地上高(mm),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,215,220,220,220,215,220,220,220,220,220
车身,車体,接近角(°),アプローチアングル(°),28,28,28,28,28,28,28,28,28,28,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,24,28,28,28,24,28,28,28,28,28
车身,車体,离去角(°),デパーチャーアングル(°),30,30,30,30,30,30,30,30,30,28,28,28,28,28,28,28,28,28,28,28,23,28,23,28,28,28,28,28,28,28,28,23,23,23,23
车身,車体,最小转弯半径(m),最小回転半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,最大涉水深度(mm),最大渡水深度(mm),700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 7人乗り,● 5人乗り,● 7人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SQRG4J15（型式）,SQRG4J15（型式）,SQRG4J15（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRG4J15（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRG4J15（型式）,SQRG4J15（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRG4J15（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）,SQRF4J20（型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1998,1998,1998,1998,1998,1998,1498,1998,1998,1998,1498,1498,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1499,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11.6,11.6,11.6,10.2,10.2,10.2,10.2,10.2,10.2,11.6,10.2,10.2,10.2,11.6,11.6,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,11.6,10.2,10.2,10.2,10.2
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」,DOHC（ダブルカム）」
发动机,エンジン,缸径(mm),ボア(mm),74.5,74.5,74.5,80.5,80.5,80.5,80.5,80.5,80.5,74.5,80.5,80.5,80.5,74.5,74.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,74.5,80.5,80.5,80.5,80.5
