セクション,セクション_ja,項目,項目_ja,2026年モデル 青春版 1.5T 6MT 快適版,2026年モデル 青春版 1.5T 6DCT エリート版,2026年モデル 青春版 1.5T 6DCT 豪華版,2026年モデル 青春版 1.5T 6DCT 豪華＋版,2026年モデル 1.5T DCT エリート版,2026年モデル 1.5T DCT 豪華版,2026年モデル 1.5T DCT ブラックウォリアー版,2026年モデル 1.5TD DCT フラッグシップ版,2025年モデル 1.5T DCT エリート版,2025年モデル 1.5T DCT 豪華版,2025年モデル 1.5T DCT 至高版,2025年モデル 1.5TD DCT プレミアム版,2025年モデル 1.5TD DCT フラッグシップ版,2025年モデル 1.5T DCT 超越版,2025年モデル 1.5T DCT 青春UP,2024年モデル 1.5T DCT 星耀 ピーナッツ版
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 184馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 184馬力 L4,1.5T 184馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4590×1900×1685mm,4590×1900×1685mm,4590×1900×1685mm,4590×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1685mm,4600×1900×1690mm,4590×1900×1685mm,4590×1900×1685mm,4590×1900×1685mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.8,7.8,7.8,7.8,7.63,7.63,7.63,6.93,7.63,7.63,7.63,6.93,6.93,7.8,7.8,7.8
基本参数,基本仕様,整车质保,車両保証,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証制度,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1530,1530,1530,1530,1484,1484,1484,1530,1484,1484,1545,1518,1535,1530,1530,1530
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
车身,車体,长度(mm),全長(mm),4590,4590,4590,4590,4600,4600,4600,4600,4600,4600,4600,4600,4600,4590,4590,4590
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1690,1685,1685,1685
车身,車体,轴距(mm),ホイールベース(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
车身,車体,前轮距(mm),前トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,后轮距(mm),後トレッド(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),-,-,-,-,160,160,160,160,-,-,-,-,-,-,-,-
车身,車体,空载最小离地间隙(mm),空車時最小地上高(mm),-,-,-,-,210,210,210,210,-,-,-,-,-,-,-,-
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,486-977,486-977,486-977,486-977,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRG4J15,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRG4J15,SQRG4J15,SQRE4T15C,SQRE4T15C,SQRE4T15C
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1498,1498,1499,1498,1498,1498,1499,1499,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,9.5,9.5,9.5,9.5,9.5,9.5,9.5,-,9.5,9.5,9.5,-,-,9.5,9.5,9.5
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）,DOHC（ダブルカム）
发动机,エンジン,缸径(mm),ボア(mm),77,77,77,77,77,77,77,-,77,77,77,-,-,77,77,77
发动机,エンジン,行程(mm),ストローク(mm),80.5,80.5,80.5,80.5,80.5,80.5,80.5,-,80.5,80.5,80.5,-,-,80.5,80.5,80.5
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156,156,156,156,184,156,156,156,184,184,156,156,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115,115,115,115,135,115,115,115,135,135,115,115,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),230,230,230,230,230,230,230,290,230,230,230,290,290,230,230,230
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500,1750-4000,1750-4000,1750-4000,2000-3500,2000-3500,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),108,108,108,108,108,108,108,125,108,108,108,125,125,108,108,108
发动机,エンジン,发动机特有技术,エンジン独自技術,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）,DVVT（可変バルブタイミング）
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）
发动机,エンジン,供油方式,燃料供給方式,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射,直噴,直噴,マルチポイント燃料噴射,マルチポイント燃料噴射,マルチポイント燃料噴射
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,鋳鉄,アルミ合金,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,6速マニュアル,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,7速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT,7速湿式DCT,7速湿式DCT,6速湿式DCT,6速湿式DCT,6速湿式DCT
变速箱,トランスミッション,挡位个数,段数,6,6,6,6,6,6,6,7,6,6,6,7,7,6,6,6
变速箱,トランスミッション,变速箱类型,トランスミッション形式,マニュアルトランスミッション（MT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/60 R17タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/60 R18タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/60 R18タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/55 R19タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/55 R19タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/60 R17タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/60 R18タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/60 R18タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/55 R19タイヤ,"● 235/60 R18
○ 235/55 R19タイヤ",● 235/55 R19タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ,● 235/60 R18タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,-,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,-,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●,運転席●／助手席●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,-,-,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,前席●／後席,-,前席●／後席,前席●／後席,前席●／後席,前席●／後席,-,前席●／後席,-
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,-,-,-,-,-,-,前席●／後席●,-,-,-,-,前席●／後席●,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,-,-,-,-,-,●,-,-,-,-,○,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコ
● 標準／コンフォート","● スポーツ
● エコモード","● スポーツ
● エコモード","● スポーツ
● エコモード"
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
