セクション,項目,传祺M8 2025款 宗师系列 超级混动版,传祺M8 2024款 领秀系列 390T 豪华版,传祺M8 2024款 领秀系列 390T 尊享版,传祺M8 2024款 大师系列 400T 尊贵版,传祺M8 2024款 宗师系列 400T 先锋版,传祺M8 2024款 宗师系列 400T 至尊版,传祺M8 2024款 宗师系列 400T 科技关爱版,传祺M8 2024款 大师系列 超级混动版,传祺M8 2023款 宗师系列 400T 旗舰版,传祺M8 2026款 HEV尊贵版,传祺M8 2026款 HEV至尊版
车内充电,多媒体/充电接口,"● USB
● Type-C",● USB,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排3个/后排5个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排3个,● 前排3个/后排6个,● 前排3个/后排5个,-,● 前排2个/后排3个,● 前排3个/后排6个,● 前排3个/后排5个,● 前排3个/后排5个
车内充电,220V/230V电源,-,-,-,-,-,-,●,-,-,-,-
车内充电,手机无线充电功能,● 前排,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,行李厢12V电源接口,-,●,●,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 真皮,● 皮/织物混搭,"● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮","● 真皮
● 仿皮",● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副-,主 ● /副 ●
座椅配置,前排座椅功能,"● 加热
● 通风",-,-,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风",-,"● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,● 驾驶位,-,-,-,"● 驾驶位
● 后排",● 驾驶位,● 驾驶位,● 驾驶位,"● 驾驶位
● 后排",-,"● 驾驶位
● 后排"
座椅配置,副驾驶位后排可调节按钮,●,-,-,-,●,●,●,-,●,-,●
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节
● 旋转调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节","● 前后调节
● 靠背调节
● 腿托调节"
座椅配置,第二排座椅电动调节,●,-,-,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩",-,-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,福祉座椅,-,-,-,-,-,-,●,-,-,-,-
座椅配置,后排小桌板,●,-,-,-,●,-,-,-,●,-,●
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节",● 靠背调节,● 靠背调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●
座椅配置,加热/制冷杯架,-,-,-,-,● 加热/制冷,-,-,-,● 加热/制冷,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,● YAMAHA雅马哈,-,-,-,● YAMAHA雅马哈,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 16喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 16喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,触摸式阅读灯,●,-,-,●,-,-,-,●,-,●,●
音响/车内灯光,车内环境氛围灯,● 多色,-,-,-,● 多色,● 多色,● 多色,● 32色,● 多色,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,-,-,-,-,-,-,-,-,-,●,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,●,●,●,-,●,●,●,●,●,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,●,●,●,-,●,●,●,●,●,-,●
空调/冰箱,空气质量监测,●,-,-,-,●,●,●,●,-,-,●
特色配置,福祉座椅,-,-,-,-,-,-,-,-,-,-,-
特色配置,影子车手,●,-,-,●,●,●,-,●,●,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,-,-
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,-,-
