セクション,項目,豪越L 2026款 1.5TD DCT 欢乐 5座,豪越L 2026款 1.5TD DCT 幸福 5座,豪越L 2026款 1.5TD DCT 幸福 7座,豪越L 2026款 1.5TD DCT 美满 6座,豪越L 2026款 1.5TD DCT 美满 7座,豪越L 2026款 2.0TD DCT 美满 6座,豪越L 2026款 2.0TD DCT 美满 7座,豪越L 2025款 2.0T DCT尊享款,豪越L 2024款 2.0T DCT豪华型,豪越L 2024款 2.0T DCT尊贵型,豪越L 2024款 2.0T DCT旗舰型
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,主 ● /副-,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,主 ● /副-,主 ● /副 ●
座椅配置,前排座椅功能,-,-,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风",-,-,"● 加热
● 通风"
座椅配置,电动座椅记忆功能,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,第二排座椅电动调节,-,-,-,●,-,●,-,-,-,-,-
座椅配置,第二排座椅功能,-,-,-,"● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩",-,-,-,-,-
座椅配置,第二排独立座椅,-,-,●,●,●,●,●,●,●,●,●
座椅配置,第三排座椅调节,-,-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-,-,-,-
座椅配置,座椅布局,-,-,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-3-2,● 2-3-2
座椅配置,后排座椅放倒形式,● 整体放倒,● 整体放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,-,●,●,●,●,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,●,●,●,●,●,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,●,●,●,●,●,-,-,●
空调/冰箱,空气质量监测,-,-,-,●,●,●,●,-,-,-,-
特色配置,三指飞屏（双屏导航共享）,-,-,-,-,-,-,-,-,●,●,●
特色配置,第二排魔法吧台,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–
