セクション,セクション_ja,項目,項目_ja,2026年モデル 102kWh 行政通路ラグジュアリー版,2026年モデル 102kWh 行政センターラグジュアリー版,2026年モデル 102kWh 行政通路サイン版,2026年モデル 102kWh 行政センターサイン版,2026年モデル 102kWh ホライゾン通路特別版,2026年モデル 102kWh ホライゾンセンター特別版
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,"● 265/50 R21
○ 275/45 R22
○ 275/40 R23","● 265/50 R21
○ 275/45 R22
○ 275/40 R23","● 275/45 R22
○ 275/40 R23","● 275/45 R22
○ 275/40 R23","● 275/45 R22
○ 275/40 R23","● 275/45 R22
○ 275/40 R23"
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●,●,●
被动安全,衝突安全,后排座椅防下滑气囊,後席滑り防止エアバッグ,●,●,●,●,●,●
被动安全,衝突安全,后排中央安全气囊,後席中央エアバッグ,-,●,-,●,-,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ","● スポーツ
● エコ
● 標準/快適
● オフロード
● 雪道
● カスタム/パーソナライズ"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,"● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整","● サスペンション硬軟調整
● サスペンション高さ調整"
驾驶操控,ドライビングコントロール,空气悬架,エアサスペンション,●,●,-,-,-,-
驾驶操控,ドライビングコントロール,空气悬挂类型,エアサスペンションタイプ,● ダブルチャンバー,● ダブルチャンバー,-,-,-,-
驾驶操控,ドライビングコントロール,魔毯智能悬架,マジックカーペットインテリジェントサスペンション,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,整体主动转向系统,統合アクティブステアリングシステム,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,后轮转向角度(°),後輪操舵角度(°),● ±8.4,● ±8.4,● ±8.4,● ±8.4,● ±8.4,● ±8.4
四驱/越野,四輪駆動／オフロード,涉水感应系统,渡河感知システム,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,"● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像","● 360度パノラマ映像
● 車側死角映像"
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャシー/540度カメラ映像,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,● Dimensity NX9031,● Dimensity NX9031,● Dimensity NX9031 ×2,● Dimensity NX9031 ×2,● Dimensity NX9031 ×2,● Dimensity NX9031 ×2
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ,● ステレオカメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,● 11個,● 11個,● 11個,● 11個,● 11個,● 11個
驾驶硬件,運転ハードウェア,前方感知摄像头像素,前方検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环境感知摄像头像素,環境検知カメラ画素数,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素,● 800万画素
驾驶硬件,運転ハードウェア,环视摄像头像素,全周囲カメラ画素数,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素,● 300万画素
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 2個,● 2個,● 2個,● 2個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー台数,● 12個,● 12個,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,● 1個,● 1個,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）,● Innovusion（トゥーダートン）
驾驶硬件,運転ハードウェア,激光雷达型号,LiDAR型式,● Falcon（ファルコン）,● Falcon（ファルコン）,● Falcon（ファルコン）,● Falcon（ファルコン）,● Falcon（ファルコン）,● Falcon（ファルコン）
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
驾驶硬件,運転ハードウェア,激光雷达线数,レーザーレーダーライン数,● 300ライン,● 300ライン,● 300ライン,● 300ライン,● 300ライン,● 300ライン
驾驶硬件,運転ハードウェア,激光雷达10%反射率探测距离,レーザーレーダー10%反射率検出距離,● 250m,● 250m,● 250m,● 250m,● 250m,● 250m
驾驶硬件,運転ハードウェア,前方最大探测距离,前方最大検出距離,● 500m,● 500m,● 500m,● 500m,● 500m,● 500m
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズ,● 全速度域対応アダプティブクルーズ,● 全速度域対応アダプティブクルーズ,● 全速度域対応アダプティブクルーズ,● 全速度域対応アダプティブクルーズ,● 全速度域対応アダプティブクルーズ
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● Aquila NIO超感システム,● Aquila NIO超感システム,● Aquila NIO超感システム,● Aquila NIO超感システム,● Aquila NIO超感システム,● Aquila NIO超感システム
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ路況情報表示,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）
驾驶功能,運転機能,高精定位,高精度測位,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,○,○,○,○,○,○
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●
驾驶功能,運転機能,远程召唤,リモートサモン（遠隔呼び出し）,●,●,●,●,●,●
驾驶功能,運転機能,方向盘离手检测,ハンドル手放し検知,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,"○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間","○ 市街地区間
○ 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,自动开合车门,自動開閉ドア,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动前备厢,電動フロントトランク,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应前备厢,感応式フロントトランク,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動リアトランク位置メモリー,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● UWBデジタルキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,"● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式","● マトリクス式
● ピクセル式"
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウインドウ挟み込み防止機能,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席サイドウインドウサンシェード,● 電動,● 電動,● 電動,● 電動,● 電動,● 電動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席サイドプライバシーガラス,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排调光隐私玻璃,後席調光プライバシーガラス,○ （3.00万元）,○ （3.00万元）,●,●,●,●
