セクション,項目,昊铂HL 2025款 350 Pro五座激光雷达版,昊铂HL 2025款 350 Pro六座激光雷达版,昊铂HL 2025款 改款 350 Max五座激光雷达版,昊铂HL 2025款 改款 350 Max六座激光雷达版,昊铂HL 2025款 750 Max五座激光雷达版,昊铂HL 2025款 750 Max六座激光雷达版,昊铂HL 2025款 700 Ultra六座四驱激光雷达版,昊铂HL 2025款 350 Pro五座荣耀定制版
电动机,三电系统质保,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里,● 八年或15万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 中创新航,● 中创新航,● 中创新航,● 宁德时代
电池/充电,电池特有技术,骁遥电池,骁遥电池,骁遥电池,骁遥电池,弹匣电池,弹匣电池,弹匣电池,骁遥电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),282,282,282,282,-,-,-,-
电池/充电,CLTC纯电续航里程(km),350,350,350,350,750,750,700,350
电池/充电,WLTC综合续航(km),1073,1073,1073,1073,-,-,-,-
电池/充电,CLTC综合续航(km),1200,1200,1200,1200,-,-,-,1200
电池/充电,电池能量(kWh),60.33,60.33,60.33,60.33,108.35,108.35,108.35,60.33
电池/充电,百公里耗电量(kWh/100km),23,23,23,23,15.8,15.8,16.9,15.9
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),310,310,310,310,560,560,560,300
电池/充电,高压快充,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,800,800,800,800,800,800,800,800
电池/充电,电池快充时间(小时),0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱,● 双电机四驱,● 后置后驱
底盘转向,四驱形式,-,-,-,-,-,-,● 电动四驱,-
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 255/50 R20
○ 265/45 R21 (6000元)","● 255/50 R20
○ 265/45 R21 (6000元)","● 255/50 R20
○ 265/45 R21 (6000元)","● 255/50 R20
○ 265/45 R21 (6000元)","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21",● 265/45 R21,"● 255/50 R20
○ 265/45 R21"
车轮制动,后轮胎规格,"● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21","● 255/50 R20
○ 265/45 R21",● 265/45 R21,"● 255/50 R20
○ 265/45 R21"
车轮制动,备胎规格,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 越野
● 雪地
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节"
驾驶操控,空气悬架,●,●,●,●,●,●,●,●
驾驶操控,空气悬挂类型,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,● 双腔,-
驾驶操控,魔毯智能悬架,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X,● 英伟达 Orin-X
驾驶硬件,芯片总算力,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS,● 254 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,-
驾驶硬件,环境感知摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,-
驾驶硬件,环视摄像头像素,● 200万,● 200万,● 200万,● 200万,● 200万,● 200万,● 200万,-
驾驶硬件,车内摄像头数量,"● 2个
○ 3个","● 2个
○ 3个","● 2个
○ 3个",● 3个,"● 2个
○ 3个",● 3个,● 3个,"● 2个
○ 3个"
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,● RoboSense速腾聚创,● RoboSense速腾聚创,● RoboSense速腾聚创,● RoboSense速腾聚创,● RoboSense速腾聚创,● RoboSense速腾聚创,● RoboSense速腾聚创,-
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,前方最大探测距离,● 200米,● 200米,● 200米,● 200米,● 200米,● 200米,● 200米,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德
驾驶功能,并线辅助,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,○
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,○
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","○ 城市路段
○ 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●
外观/防盗,车顶行李架,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,-,-,-,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●
外观/防盗,主动闭合式进气格栅,-,-,-,-,-,-,●,-
外观/防盗,远程启动功能,●,●,●,●,●,●,●,●
外观/防盗,电池预加热,●,●,●,●,●,●,●,●
外观/防盗,对外放电,●,●,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●
车外灯光,场景灯语,○ (10000元),○ (10000元),○ (10000元),○ (10000元),○,○,●,○
天窗/玻璃,天窗类型,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗,● 分段式不可开启天窗
天窗/玻璃,前/后电动车窗,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,"● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排","● 前排
● 后排"
天窗/玻璃,后排侧窗遮阳帘,○,○,●,●,-,-,-,●
天窗/玻璃,后排侧隐私玻璃,●,●,●,●,●,●,●,●
天窗/玻璃,车内化妆镜,"● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯","● 主驾驶+照明灯
● 副驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●,●,●,●
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式,● 雨量感应式
外后视镜,外后视镜功能,"● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠"
互联/智能化,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
互联/智能化,中控屏幕尺寸,● 17.3英寸,● 17.3英寸,● 17.3英寸,● 17.3英寸,● 17.3英寸,● 17.3英寸,● 17.3英寸,● 17.3英寸
互联/智能化,中控屏幕分辨率,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K,● 3K
互联/智能化,蓝牙/车载电话,●,●,●,●,●,●,●,●
互联/智能化,手机互联/映射,"● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联","● 支持CarPlay
● 原厂互联/映射
● 支持HUAWEI HiCar
● 支持Carlink
● 荣耀车联"
互联/智能化,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩",●
互联/智能化,语音助手唤醒词,● 你好，昊铂,● 你好，昊铂,● 你好，昊铂,● 你好，昊铂,● 你好，昊铂,● 你好，昊铂,● 你好，昊铂,● 你好，昊铂
互联/智能化,语音免唤醒词,●,●,●,●,●,●,●,●
互联/智能化,语音分区域唤醒识别,● 四区域,● 六区域,● 四区域,● 六区域,● 四区域,● 六区域,● 六区域,● 四区域
互联/智能化,语音连续识别,●,●,●,●,●,●,●,●
互联/智能化,可见即可说,●,●,●,●,●,●,●,-
互联/智能化,面部识别,●,●,●,●,●,●,●,●
互联/智能化,声纹识别,●,●,●,●,●,●,●,●
互联/智能化,应用商店,●,●,●,●,●,●,●,●
互联/智能化,车载智能系统,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO,● ADiGO
互联/智能化,车机智能芯片,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P,● 高通骁龙8295P
互联/智能化,后排液晶屏幕,○,○,●,●,○,●,●,○
