セクション,セクション_ja,項目,項目_ja,2026年モデル 2.3T 遠湾,2026年モデル 2.3T 墨ダイヤモンド,2026年モデル 2.3T 墨ダイヤモンド 大径オフロード版,2026年モデル 2.3T 長浜,2026年モデル 2.3T 長浜 大径オフロード版,2026年モデル 2.3T 荒地,2025年モデル 2.3T 1966標準版,2025年モデル 2.3T 1966大径版,2025年モデル 2.3T 大砂丘限定カスタム版,2024年モデル 2.3T 遠湾,2024年モデル 2.3T 墨ダイヤモンド,2024年モデル 2.3T 墨ダイヤモンド大径オフロード版,2024年モデル 2.3T 長浜,2024年モデル 2.3T 長浜大径オフロード版,2024年モデル 2.3T 荒地
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV,4ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒,2.3T 275馬力 直列4気筒
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4800×1990×1835mm,4800×1990×1835mm,4800×2070×1900mm,4800×1990×1840mm,4800×2070×1900mm,4825×2070×1900mm,4800×1990×1840mm,4800×2070×1900mm,4825×2070×1990mm,4800×1990×1835mm,4800×1990×1835mm,4800×2070×1900mm,4800×1990×1840mm,4800×2070×1900mm,4825×2070×1900mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),169,169,161,169,161,161,169,161,161,169,169,161,169,161,161
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),11.26,11.26,12.01,10.71,11.88,12.01,10.71,11.88,12.28,11.26,11.26,12.34,11.23,12.55,12.34
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),2160,2222,2289,2172,2267,2322,2172,2267,2370,2160,2222,2289,2172,2267,2322
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2725,2725,2725,2685,2710,2760,2685,2710,2760,2725,2725,2725,2685,2710,2760
基本参数,基本仕様,准拖挂车总质量(kg),準牽引車総重量(kg),-,1500,1500,1500,1500,1500,1500,1500,1500,-,1500,1500,1500,1500,1500
车身,車体,长度(mm),全長(mm),4800,4800,4800,4800,4800,4825,4800,4800,4825,4800,4800,4800,4800,4800,4825
车身,車体,宽度(mm),全幅(mm),1990,1990,2070,1990,2070,2070,1990,2070,2070,1990,1990,2070,1990,2070,2070
车身,車体,高度(mm),全高(mm),1835,1835,1900,1840,1900,1900,1840,1900,1990,1835,1835,1900,1840,1900,1900
车身,車体,轴距(mm),ホイールベース(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车身,車体,前轮距(mm),前トレッド(mm),1650,1650,1700,1650,1700,1700,1650,1700,1700,1650,1650,1700,1650,1700,1700
车身,車体,后轮距(mm),後トレッド(mm),1650,1650,1700,1650,1700,1700,1650,1700,1700,1650,1650,1700,1650,1700,1700
车身,車体,最小离地间隙(mm),最低地上高(mm),237,237,273,242,273,273,242,273,273,237,237,273,242,273,273
车身,車体,接近角(°),アプローチアングル(°),38,38,45,38,45,45,38,45,45,38,38,45,38,45,45
车身,車体,离去角(°),デパーチャーアングル(°),31,31,37,31,37,37,31,37,37,31,31,37,31,37,37
车身,車体,纵向通过角(°),縦方向通過角(°),22,22,26,22,26,26,22,26,26,22,22,26,22,26,26
车身,車体,最大涉水深度(mm),最大渡河深度(mm),800,800,850,800,850,850,800,850,850,800,800,850,800,850,850
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸,開き戸
车身,車体,车门数(个),ドア数(枚),● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本,● 4本
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK,CAF488WQGK
发动机,エンジン,排量(mL),排気量(mL),2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
发动机,エンジン,排量(L),排気量(L),2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン,縦置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
发动机,エンジン,最大功率(kW),最大出力(kW),202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）,レギュラーガソリン（92号）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）,10速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD,● フロントエンジン4WD
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,● パートタイム4WD,● パートタイム4WD,● フルタイム4WD,● パートタイム4WD,● フルタイム4WD,● フルタイム4WD,● パートタイム4WD,● フルタイム4WD,● フルタイム4WD,● パートタイム4WD,● パートタイム4WD,● フルタイム4WD,● パートタイム4WD,● フルタイム4WD,● フルタイム4WD
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,-,● 多板クラッチ,● 多板クラッチ,-,● 多板クラッチ,● 多板クラッチ,-,-,● 多板クラッチ,-,● 多板クラッチ,● 多板クラッチ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション,● マルチリンク非独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）,ラダーフレーム（非一体式）
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 265/70 R17タイヤ,● 265/70 R17タイヤ,● 315/70 R17タイヤ,● 255/70 R18タイヤ,● 315/70 R17タイヤ,● 315/70 R17タイヤ,● 255/70 R18タイヤ,● 315/70 R17タイヤ,● 315/70 R17タイヤ,● 265/70 R17タイヤ,● 265/70 R17タイヤ,● 315/70 R17タイヤ,● 255/70 R18タイヤ,● 315/70 R17タイヤ,● 315/70 R17タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 265/70 R17タイヤ,● 265/70 R17タイヤ,● 315/70 R17タイヤ,● 255/70 R18タイヤ,● 315/70 R17タイヤ,● 315/70 R17タイヤ,● 255/70 R18タイヤ,● 315/70 R17タイヤ,● 315/70 R17タイヤ,● 265/70 R17タイヤ,● 265/70 R17タイヤ,● 315/70 R17タイヤ,● 255/70 R18タイヤ,● 315/70 R17タイヤ,● 315/70 R17タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ,● フルサイズスペアタイヤ
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ,● キャリア式スペアタイヤ
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後,前 ● /後
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー","● スポーツ
● エコ
● 標準/快適
● オフロード
● スノー"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,四驱/越野,中央差速器锁止功能,センターデフロック機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,四驱/越野,限滑差速器/差速锁,リミテッドスリップデフ/デフロック,● リアデフロック,● リアデフロック,"● フロントデフロック
● リアデフロック",● リアデフロック,"● フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック",● リアデフロック,"● フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック",● リアデフロック,● リアデフロック,"● フロントデフロック
● リアデフロック",● リアデフロック,"● フロントデフロック
● リアデフロック","● フロントデフロック
● リアデフロック"
四驱/越野,四驱/越野,稳定杆断开功能,スタビライザーディスコネクト機能,-,-,-,-,-,●,-,-,●,-,-,-,-,-,●
四驱/越野,四驱/越野,低速四驱,低速4WD,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,四驱/越野,蠕行模式,クローリングモード,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
四驱/越野,四驱/越野,坦克转弯,タンクターン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
